True Event,Mode,Precision,Recall,Accuracy
a certain number of persons fighting,0,0.7027052432168575,0.9916307986609277,0.6988403390090263
a certain number of persons fighting,1,0.6613371178732241,0.5863548168605832,0.6337581644104017
a certain number of persons fighting,2,0.5612280022522502,0.9899893050503026,0.5728188409155779
a certain number of persons fighting,3,0.7448227908102573,0.6226011737093728,0.6703039444563887
a certain number of persons fighting,4,0.6685044260133834,0.6754003974171865,0.6293672873656242
a group of persons playing,0,0.5852761519670507,0.6363636363636364,0.5852761519670507
a group of persons playing,1,0.8330774376918434,0.9734494204570759,0.8120670574208885
a group of persons playing,2,0.8171155086074258,1.0,0.8171155086074258
a group of persons playing,3,0.5852761519670507,0.6363636363636364,0.5852761519670507
a group of persons playing,4,0.8954959957322486,0.23033644016992338,0.3560926643449608
a person chasing other person,0,0.6088529117940883,0.6764705882352942,0.6088529117940883
a person chasing other person,1,0.4771478614046779,1.0,0.4771478614046779
a person chasing other person,2,0.4771478614046779,1.0,0.4771478614046779
a person chasing other person,3,0.6088529117940883,0.6764705882352942,0.6088529117940883
a person chasing other person,4,0.6076680672268907,0.07703727656890653,0.528734618485122
a person falling,0,0.6519360269360269,1.0,0.6519360269360269
a person falling,1,0.8156176058943494,0.7105536983232401,0.7124609929425894
a person falling,2,0.5420444204837487,0.9806507508663842,0.5416519467768823
a person falling,3,0.8303321328531412,0.7615646258503401,0.7445563695563696
a person falling,4,0.6044889008234874,0.12618566401350154,0.47344564296671887
a person guiding other person,0,0.8886131789357595,1.0,0.8886131789357595
a person guiding other person,1,0.5845819773936944,1.0,0.5845819773936944
a person guiding other person,2,0.5845819773936944,1.0,0.5845819773936944
a person guiding other person,3,0.8886131789357595,1.0,0.8886131789357595
a person guiding other person,4,0.8501568526303483,0.5238267654563024,0.6930160692894685
a person jumping,0,0.38916256157635465,0.42857142857142855,0.38916256157635465
a person jumping,1,0.52899285083116,0.9961389961389961,0.5572773482885898
a person jumping,2,0.5270510098890105,1.0,0.5352993263105679
a person jumping,3,0.38916256157635465,0.42857142857142855,0.4301959962268106
a person jumping,4,0.44604205318491036,0.08784641491408408,0.4709172780308738
a person lying in the floor,0,0.86989898989899,0.8888888888888888,0.86989898989899
a person lying in the floor,1,0.7522035556687814,0.8687631267230324,0.7165836211084958
a person lying in the floor,2,0.6455720122533882,0.9766126431220771,0.6511709933027211
a person lying in the floor,3,0.8747089947089948,0.8888888888888888,0.874949494949495
a person lying in the floor,4,0.8551413255360624,0.09460497370143386,0.42389344049500904
a person riding a bicycle,0,0.9130434782608695,0.9130434782608695,0.9130434782608695
a person riding a bicycle,1,0.7167739757945902,0.6528393963485257,0.6206237995475172
a person riding a bicycle,2,0.6320396300079069,0.9377279848744706,0.5969843578344965
a person riding a bicycle,3,0.9130434782608695,0.8231298621660715,0.8231298621660715
a person riding a bicycle,4,0.9992094861660078,0.8088984389823213,0.8106234343153161
a person running,0,0.5346391001502913,0.8436781609195402,0.5392309878417085
a person running,1,0.5741207636428577,0.7840748649067864,0.6373586126197957
a person running,2,0.44243883557170816,0.9723024361670825,0.49126448734404565
a person running,3,0.5934718139829017,0.7232260006477863,0.6307766376448295
a person running,4,0.4682011087811103,0.4828391908237605,0.5656409293070359
a person stealing other person,0,0.5076999688764394,0.6666666666666666,0.5076999688764394
a person stealing other person,1,0.46039762608575546,0.3794827432793566,0.6638833908458006
a person stealing other person,2,0.35022963082451175,0.9394641932141933,0.4464713753867785
a person stealing other person,3,0.21481481481481482,0.2222222222222222,0.27304077186430126
a person stealing other person,4,0.4106280193236715,0.034699625993454886,0.6550556192906342
a person stealing other person's pocket,0,0.6476037652281013,1.0,0.6476037652281013
a person stealing other person's pocket,1,0.35019677173437413,0.4763610742105366,0.6869596254893224
a person stealing other person's pocket,2,0.2831869788694267,0.9971509971509972,0.42420616018747737
a person stealing other person's pocket,3,0.6349383305905045,0.5576923076923077,0.59502933963581
a person stealing other person's pocket,4,0.6946996819878176,0.239306227941835,0.6561812005861116
a person throwing trash in the floor,0,0.3892999658331177,0.9340277777777778,0.3895264869971389
a person throwing trash in the floor,1,0.3830858217247991,0.7203510495027413,0.610064553544851
a person throwing trash in the floor,2,0.29632116795485625,0.9913690476190476,0.3354393877249857
a person throwing trash in the floor,3,0.4390166552957424,0.748028600630686,0.549569551078517
a person throwing trash in the floor,4,0.38628403450584037,0.6215078182394977,0.5818150145618554
a person tripping,0,0.6305555555555555,1.0,0.6305555555555555
a person tripping,1,0.474412745132992,1.0,0.4889444255737633
a person tripping,2,0.47227775890709667,1.0,0.47227775890709667
a person tripping,3,0.663888888888889,1.0,0.7305555555555555
a person tripping,4,0.8296581196581198,0.2533826015697413,0.6337963323508218
