Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
2_069_1.mp4,0,19,3,0,0,a person chasing other person,a person chasing other person,22,25.0,35.51432132720947
1_082_1.mp4,0,4,0,0,0,a person chasing other person,a person chasing other person,4,14.981633333333331,16.987061977386475
3_093_1.mp4,0,13,1,0,0,a person chasing other person,a person chasing other person,14,35.00163333333333,41.82168984413147
2_071_1.mp4,0,5,2,0,0,a person chasing other person,a person chasing other person,7,30.0,34.01654863357544
3_080_1.mp4,0,5,0,2,0,a person chasing other person,a person chasing other person,7,29.99663333333333,33.89456653594971
4_101_1.mp4,0,0,0,7,2,a person chasing other person,a person chasing other person,9,23.966666666666665,27.022374868392944
4_108_1.mp4,0,2,0,0,0,a person chasing other person,a person chasing other person,2,11.966666666666669,12.71712327003479
4_107_1.mp4,0,4,0,0,0,a person chasing other person,a person chasing other person,4,24.966666666666665,26.27173852920532
4_114_1.mp4,0,14,0,3,0,a person chasing other person,a person chasing other person,17,11.933333333333334,17.770487070083618
3_096_1.mp4,0,7,2,0,0,a person chasing other person,a person chasing other person,9,14.981633333333331,19.15785121917725
1_073_1.mp4,0,6,0,0,0,a person chasing other person,a person chasing other person,6,14.981633333333331,17.670507669448853
3_091_1.mp4,0,4,5,0,0,a person chasing other person,a person chasing other person,9,19.986633333333334,24.564775705337524
4_083_1.mp4,0,0,0,0,0,a person chasing other person,a person chasing other person,0,19.966666666666665,19.894346237182617
2_078_1.mp4,0,0,0,0,0,a person chasing other person,a person chasing other person,0,15.0,15.79780387878418
2_077_1.mp4,0,12,1,0,0,a person chasing other person,a person chasing other person,13,12.0,17.565199851989746
1_087_1.mp4,0,3,2,2,0,a person chasing other person,a person chasing other person,7,16.983633333333334,20.20650744438172
2_088_1.mp4,0,0,0,0,0,a person chasing other person,a person chasing other person,0,22.0,23.142597913742065
1_085_1.mp4,0,13,0,0,0,a person chasing other person,a person chasing other person,13,110.07663333333332,118.8870530128479
2_083_1.mp4,0,0,2,0,0,a person chasing other person,a person chasing other person,2,95.0,100.59905743598938
1_092_1.mp4,0,0,0,1,2,a person falling,a person falling,3,14.981633333333331,16.654536485671997
2_089_1.mp4,0,0,0,22,9,a person falling,a person falling,31,35.0,48.31964302062988
3_100_1.mp4,0,0,0,6,3,a person falling,a person falling,9,19.986633333333334,24.30576515197754
4_089_1.mp4,0,19,5,2,44,a person jumping,a person jumping,70,74.96666666666667,98.66881322860718
2_080_1.mp4,0,3,5,3,5,a person jumping,a person jumping,16,60.0,68.96764707565308
1_090_1.mp4,0,0,14,2,0,a person jumping,a person jumping,16,14.981633333333331,21.492130279541016
1_078_1.mp4,0,23,8,19,42,a person jumping,a person jumping,92,40.00663333333333,75.87900304794312
3_086_1.mp4,0,22,8,4,16,a person jumping,a person jumping,50,90.05663333333334,113.27406096458436
2_074_1.mp4,0,13,10,4,2,a person jumping,a person jumping,29,35.0,47.6778404712677
1_084_1.mp4,0,4,11,2,14,a person jumping,a person jumping,31,40.00663333333333,52.94704484939575
4_106_1.mp4,0,38,1,0,0,a person guiding other person,a person guiding other person,39,23.966666666666665,37.11081576347351
3_098_1.mp4,0,16,10,0,0,a person guiding other person,a person guiding other person,26,50.01663333333333,62.20833468437195
4_097_1.mp4,0,30,1,0,0,a person guiding other person,a person guiding other person,31,23.066666666666663,33.66562914848328
1_089_1.mp4,0,98,0,0,0,a person guiding other person,a person guiding other person,98,29.99663333333333,67.49877691268921
2_087_1.mp4,0,24,7,0,0,a person guiding other person,a person guiding other person,31,25.0,37.71207141876221
3_088_1.mp4,0,6,2,0,5,a person throwing trash in the floor,a person throwing trash in the floor,13,19.986633333333334,25.8582124710083
1_080_1.mp4,0,0,3,2,9,a person throwing trash in the floor,a person throwing trash in the floor,14,14.981633333333331,20.688372373580933
1_076_1.mp4,0,21,15,2,8,a person throwing trash in the floor,a person throwing trash in the floor,46,14.981633333333331,32.55628180503845
2_072_1.mp4,0,7,6,3,28,a person throwing trash in the floor,a person throwing trash in the floor,44,15.0,32.302170276641846
3_074_1.mp4,0,0,18,0,21,a person throwing trash in the floor,a person throwing trash in the floor,39,19.986633333333334,35.58267879486084
4_103_1.mp4,0,2,0,39,8,a person throwing trash in the floor,a person throwing trash in the floor,49,17.966666666666665,34.563188791275024
2_092_1.mp4,0,7,20,3,8,a person throwing trash in the floor,a person throwing trash in the floor,38,15.0,29.98880743980408
