Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,0,16,0,0,0,a person riding a bicycle,a person riding a bicycle,16,13.966666666666669,20.46094846725464
3_106_1.mp4,0,19,0,0,0,a person riding a bicycle,a person riding a bicycle,19,14.981633333333331,24.008726596832275
1_067_1.mp4,0,15,0,0,0,a person riding a bicycle,a person riding a bicycle,15,9.976633333333334,15.811140060424805
1_066_1.mp4,0,16,0,0,0,a person riding a bicycle,a person riding a bicycle,16,14.981633333333331,21.296114921569824
2_096_1.mp4,0,29,0,0,0,a person riding a bicycle,a person riding a bicycle,29,15.0,26.3769850730896
4_077_1.mp4,0,20,0,0,0,a person riding a bicycle,a person riding a bicycle,20,10.966666666666669,17.57968521118164
3_105_1.mp4,0,18,0,0,0,a person riding a bicycle,a person riding a bicycle,18,20.053366666666665,27.56723570823669
2_067_1.mp4,0,8,3,16,55,a certain number of persons fighting,a certain number of persons fighting,82,25.0,56.73002123832703
4_082_1.mp4,0,31,0,44,0,a certain number of persons fighting,a certain number of persons fighting,75,30.966666666666665,56.33972883224487
3_079_1.mp4,0,0,0,87,45,a certain number of persons fighting,a certain number of persons fighting,132,45.011633333333336,96.7592387199402
2_065_1.mp4,0,0,0,50,4,a certain number of persons fighting,a certain number of persons fighting,54,45.0,67.04549074172974
1_081_1.mp4,0,0,0,26,0,a certain number of persons fighting,a certain number of persons fighting,26,12.979633333333334,23.123445987701416
3_089_1.mp4,0,0,0,51,0,a certain number of persons fighting,a certain number of persons fighting,51,29.99663333333333,50.5133798122406
1_088_1.mp4,0,29,0,59,44,a certain number of persons fighting,a certain number of persons fighting,132,45.011633333333336,96.61079454421996
2_068_1.mp4,0,0,0,39,3,a certain number of persons fighting,a certain number of persons fighting,42,35.0,51.55522704124451
1_071_1.mp4,0,24,7,4,7,a certain number of persons fighting,a certain number of persons fighting,42,19.986633333333334,35.9682776927948
4_079_1.mp4,0,0,0,62,47,a certain number of persons fighting,a certain number of persons fighting,109,34.96666666666667,71.09806966781616
3_076_1.mp4,0,43,0,58,11,a certain number of persons fighting,a certain number of persons fighting,112,49.78306666666667,93.030916929245
2_081_1.mp4,0,0,0,1,0,a certain number of persons fighting,a certain number of persons fighting,1,17.0,18.03519606590271
1_072_1.mp4,0,68,11,29,1,a certain number of persons fighting,a certain number of persons fighting,109,24.991633333333333,66.11870241165161
2_077_1.mp4,0,21,1,1,22,a certain number of persons fighting,a certain number of persons fighting,45,12.0,29.20003771781921
4_096_1.mp4,0,0,0,46,0,a certain number of persons fighting,a certain number of persons fighting,46,22.966666666666665,38.28840446472168
2_076_1.mp4,0,0,0,10,6,a certain number of persons fighting,a certain number of persons fighting,16,25.0,31.885932683944706
4_103_1.mp4,0,9,0,52,27,a certain number of persons fighting,a certain number of persons fighting,88,17.966666666666665,47.40101456642151
