Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,0,16,0,0,0,a person riding a bicycle,a person riding a bicycle,16,13.966666666666669,28.60679340362549
3_106_1.mp4,0,19,0,0,0,a person riding a bicycle,a person riding a bicycle,19,14.981633333333331,32.151265382766724
1_067_1.mp4,0,15,0,0,0,a person riding a bicycle,a person riding a bicycle,15,9.976633333333334,25.303902864456177
1_066_1.mp4,0,16,0,0,0,a person riding a bicycle,a person riding a bicycle,16,14.981633333333331,29.26876306533813
2_096_1.mp4,0,29,0,0,0,a person riding a bicycle,a person riding a bicycle,29,15.0,40.47262477874756
4_077_1.mp4,0,20,0,0,0,a person riding a bicycle,a person riding a bicycle,20,10.966666666666669,27.31476855278015
3_105_1.mp4,0,18,0,0,0,a person riding a bicycle,a person riding a bicycle,18,20.053366666666665,36.51830196380615
2_067_1.mp4,0,22,37,2,21,a certain number of persons fighting,a certain number of persons fighting,82,25.0,96.48471784591676
4_082_1.mp4,0,74,0,1,0,a certain number of persons fighting,a certain number of persons fighting,75,30.966666666666665,92.53103876113892
3_079_1.mp4,0,43,14,44,31,a certain number of persons fighting,a certain number of persons fighting,132,45.011633333333336,160.11762499809265
2_065_1.mp4,0,43,3,7,1,a certain number of persons fighting,a certain number of persons fighting,54,45.0,93.36714243888856
1_081_1.mp4,0,23,0,3,0,a certain number of persons fighting,a certain number of persons fighting,26,12.979633333333334,35.7392942905426
3_089_1.mp4,0,0,0,51,0,a certain number of persons fighting,a certain number of persons fighting,51,29.99663333333333,75.23506045341492
1_088_1.mp4,0,27,32,61,12,a certain number of persons fighting,a certain number of persons fighting,132,45.011633333333336,160.01888179779053
1_094_1.mp4,0,134,45,0,0,a group of persons playing,a group of persons playing,179,65.03163333333333,224.9635775089264
3_101_1.mp4,0,30,0,0,0,a group of persons playing,a group of persons playing,30,145.07826666666668,182.0555548667908
4_111_1.mp4,0,19,3,0,0,a group of persons playing,a group of persons playing,22,64.96666666666667,85.15816807746887
3_102_1.mp4,0,199,85,0,0,a group of persons playing,a group of persons playing,284,80.04663333333333,322.16731548309326
2_090_1.mp4,0,0,0,0,0,a group of persons playing,a group of persons playing,0,180.0,190.493242263794
1_093_1.mp4,0,119,30,0,0,a group of persons playing,a group of persons playing,149,150.11663333333334,291.4888710975647
2_093_1.mp4,0,15,4,0,0,a group of persons playing,a group of persons playing,19,65.0,85.69582343101501
4_110_1.mp4,0,0,0,13,30,a person running,a person running,43,19.966666666666665,56.17348957061768
3_090_1.mp4,0,0,0,0,33,a person running,a person running,33,19.986633333333334,50.662888288497925
3_093_1.mp4,0,47,15,4,13,a person running,a person running,79,35.00163333333333,105.48291039466858
4_092_1.mp4,0,0,0,12,2,a person running,a person running,14,9.966666666666669,21.75058960914612
2_066_1.mp4,0,41,0,32,13,a person running,a person running,86,20.0,96.37328338623048
4_101_1.mp4,0,5,17,45,20,a person running,a person running,87,23.966666666666665,96.77645492553712
2_094_1.mp4,0,8,70,17,183,a person running,a person running,278,120.0,366.3194887638092
4_076_1.mp4,1,24,6,24,23,a person riding a bicycle,a person riding a bicycle,77,13.966666666666669,65.54827189445496
3_106_1.mp4,1,45,2,6,30,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,74.84067225456238
1_067_1.mp4,1,19,3,5,26,a person riding a bicycle,a person riding a bicycle,53,9.976633333333334,47.78950715065002
1_066_1.mp4,1,24,7,1,51,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,75.03000092506409
2_096_1.mp4,1,37,1,2,44,a person riding a bicycle,a person riding a bicycle,84,15.0,77.31511783599854
4_077_1.mp4,1,23,3,20,13,a person riding a bicycle,a person riding a bicycle,59,10.966666666666669,51.55428004264832
3_105_1.mp4,1,49,3,4,58,a person riding a bicycle,a person riding a bicycle,114,20.053366666666665,103.58658409118652
2_067_1.mp4,1,9,1,20,114,a certain number of persons fighting,a certain number of persons fighting,144,25.0,132.29429149627686
4_082_1.mp4,1,84,25,70,0,a certain number of persons fighting,a certain number of persons fighting,179,30.966666666666665,152.6128489971161
3_079_1.mp4,1,1,0,107,155,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,241.6758666038513
2_065_1.mp4,1,70,70,61,63,a certain number of persons fighting,a certain number of persons fighting,264,45.0,236.6552917957306
1_081_1.mp4,1,14,40,14,3,a certain number of persons fighting,a certain number of persons fighting,71,12.979633333333334,64.05005669593811
3_089_1.mp4,1,0,0,116,57,a certain number of persons fighting,a certain number of persons fighting,173,29.99663333333333,158.89201855659485
1_088_1.mp4,1,12,13,151,87,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,242.41522192955017
1_094_1.mp4,1,240,143,0,0,a group of persons playing,a group of persons playing,383,65.03163333333333,353.0008840560913
3_101_1.mp4,1,590,250,0,23,a group of persons playing,a group of persons playing,863,145.07826666666668,758.8534197807312
4_111_1.mp4,1,231,127,22,3,a group of persons playing,a group of persons playing,383,64.96666666666667,317.21825408935547
3_102_1.mp4,1,262,208,0,3,a group of persons playing,a group of persons playing,473,80.04663333333333,425.76650190353394
2_090_1.mp4,1,526,548,0,0,a group of persons playing,a group of persons playing,1074,180.0,934.6528527736664
1_093_1.mp4,1,530,363,0,0,a group of persons playing,a group of persons playing,893,150.11663333333334,809.6026194095612
2_093_1.mp4,1,260,124,0,0,a group of persons playing,a group of persons playing,384,65.0,342.029301404953
4_110_1.mp4,1,9,1,26,77,a person running,a person running,113,19.966666666666665,98.36670637130736
3_090_1.mp4,1,0,1,29,83,a person running,a person running,113,19.986633333333334,104.18483877182008
3_093_1.mp4,1,50,32,17,104,a person running,a person running,203,35.00163333333333,186.482784986496
4_092_1.mp4,1,16,0,18,19,a person running,a person running,53,9.966666666666669,46.394585371017456
2_066_1.mp4,1,43,0,38,33,a person running,a person running,114,20.0,105.82659482955933
4_101_1.mp4,1,24,34,52,27,a person running,a person running,137,23.966666666666665,119.18680238723756
