Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,0,46,29,2,0,a person riding a bicycle,normal activity,77,13.966666666666667,40.5592360496521
3_106_1.mp4,0,7,23,44,9,a person riding a bicycle,normal activity,83,14.981633333333333,45.348854780197144
1_067_1.mp4,0,23,29,1,0,a person riding a bicycle,normal activity,53,9.976633333333334,29.407824277877808
1_066_1.mp4,0,17,58,8,0,a person riding a bicycle,normal activity,83,14.981633333333333,45.228943824768066
2_096_1.mp4,0,35,45,4,0,a person riding a bicycle,normal activity,84,15.0,46.05385494232178
4_077_1.mp4,0,19,16,24,0,a person riding a bicycle,normal activity,59,10.966666666666667,30.36734962463379
3_105_1.mp4,0,17,61,36,0,a person riding a bicycle,normal activity,114,20.053366666666665,62.18107295036316
2_065_1.mp4,0,131,133,0,0,a certain number of persons fighting,normal activity,264,45.0,141.85341358184814
1_071_1.mp4,0,65,48,0,0,a certain number of persons fighting,normal activity,113,19.986633333333334,61.665751218795776
4_079_1.mp4,0,123,80,0,0,a certain number of persons fighting,normal activity,203,34.96666666666667,100.93296670913696
1_072_1.mp4,0,122,20,1,0,a certain number of persons fighting,normal activity,143,24.991633333333333,77.67741370201111
2_077_1.mp4,0,28,38,0,0,a certain number of persons fighting,normal activity,66,12.0,36.818015575408936
1_069_1.mp4,0,166,58,9,0,a certain number of persons fighting,normal activity,233,40.00663333333333,125.41583681106567
2_079_1.mp4,0,72,42,0,0,a certain number of persons fighting,normal activity,114,20.0,61.730191469192505
1_094_1.mp4,0,232,140,8,3,a group of persons playing,normal activity,383,65.03163333333333,203.09789204597473
3_101_1.mp4,0,588,273,2,0,a group of persons playing,normal activity,863,145.07826666666668,457.7513384819031
4_111_1.mp4,0,235,127,18,3,a group of persons playing,normal activity,383,64.96666666666667,187.92658162117004
3_102_1.mp4,0,249,192,13,19,a group of persons playing,normal activity,473,80.04663333333333,251.1952407360077
2_090_1.mp4,0,526,548,0,0,a group of persons playing,normal activity,1074,180.0,567.0541405677795
1_093_1.mp4,0,472,345,58,18,a group of persons playing,normal activity,893,150.11663333333334,470.1228861808777
2_093_1.mp4,0,252,122,8,2,a group of persons playing,normal activity,384,65.0,203.79635620117188
4_109_1.mp4,0,445,246,4,0,a group of persons playing,normal activity,695,116.96666666666667,340.6465711593628
3_093_1.mp4,0,67,136,0,0,a person running,normal activity,203,35.00163333333333,108.43864345550537
4_092_1.mp4,0,34,19,0,0,a person running,normal activity,53,9.966666666666667,27.208988904953003
2_066_1.mp4,0,81,33,0,0,a person running,normal activity,114,20.0,61.28579664230347
4_101_1.mp4,0,76,60,0,1,a person running,normal activity,137,23.966666666666665,68.22714710235596
3_104_1.mp4,0,68,75,0,0,a person running,normal activity,143,24.991633333333333,76.99249410629272
1_077_1.mp4,0,23,71,1,0,a person running,normal activity,95,16.983633333333334,51.27203726768494
4_087_1.mp4,0,53,36,0,0,a person running,normal activity,89,15.966666666666667,44.70909643173218
2_075_1.mp4,0,32,52,0,0,a person running,normal activity,84,15.0,45.734375953674316
4_090_1.mp4,0,23,30,0,0,a person running,normal activity,53,9.966666666666667,27.12296152114868
