Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,0,16,0,0,0,a person riding a bicycle,a person riding a bicycle,16,13.966666666666667,21.089876174926758
4_076_1.mp4,0,5,4,23,1,a person riding a bicycle,a certain number of persons fighting,33,13.966666666666667,24.706533908843994
4_076_1.mp4,0,0,0,0,0,a person riding a bicycle,a group of persons playing,0,13.966666666666667,13.827205896377563
4_076_1.mp4,0,7,0,5,6,a person riding a bicycle,a person running,18,13.966666666666667,19.809563875198364
4_076_1.mp4,0,0,0,48,27,a person riding a bicycle,a person lying in the floor,75,13.966666666666667,38.56846284866333
4_076_1.mp4,0,3,0,39,16,a person riding a bicycle,a person chasing other person,58,13.966666666666667,32.92462372779846
3_106_1.mp4,0,19,0,0,0,a person riding a bicycle,a person riding a bicycle,19,14.981633333333333,22.61779284477234
3_106_1.mp4,0,0,0,0,0,a person riding a bicycle,a certain number of persons fighting,0,14.981633333333333,15.724623918533325
3_106_1.mp4,0,0,0,0,0,a person riding a bicycle,a group of persons playing,0,14.981633333333333,15.650638818740845
3_106_1.mp4,0,0,0,0,0,a person riding a bicycle,a person running,0,14.981633333333333,15.742316484451294
3_106_1.mp4,0,0,0,51,27,a person riding a bicycle,a person lying in the floor,78,14.981633333333333,43.98415660858154
3_106_1.mp4,0,0,0,0,0,a person riding a bicycle,a person chasing other person,0,14.981633333333333,15.764537811279297
1_067_1.mp4,0,15,0,0,0,a person riding a bicycle,a person riding a bicycle,15,9.976633333333334,15.89971113204956
1_067_1.mp4,0,0,0,0,0,a person riding a bicycle,a certain number of persons fighting,0,9.976633333333334,10.431398153305054
1_067_1.mp4,0,0,0,0,0,a person riding a bicycle,a group of persons playing,0,9.976633333333334,10.397799730300903
1_067_1.mp4,0,0,0,0,0,a person riding a bicycle,a person running,0,9.976633333333334,10.485421419143677
1_067_1.mp4,0,0,0,13,0,a person riding a bicycle,a person lying in the floor,13,9.976633333333334,15.120630741119385
1_067_1.mp4,0,0,0,0,0,a person riding a bicycle,a person chasing other person,0,9.976633333333334,10.478943109512329
1_066_1.mp4,0,16,0,0,0,a person riding a bicycle,a person riding a bicycle,16,14.981633333333333,21.30281639099121
1_066_1.mp4,0,0,0,0,0,a person riding a bicycle,a certain number of persons fighting,0,14.981633333333333,15.441589832305908
1_066_1.mp4,0,0,0,0,0,a person riding a bicycle,a group of persons playing,0,14.981633333333333,15.468015193939209
1_066_1.mp4,0,21,3,4,1,a person riding a bicycle,a person running,29,14.981633333333333,25.997655868530273
1_066_1.mp4,0,0,0,25,22,a person riding a bicycle,a person lying in the floor,47,14.981633333333333,32.659268379211426
1_066_1.mp4,0,9,1,0,3,a person riding a bicycle,a person chasing other person,13,14.981633333333333,20.25716996192932
2_096_1.mp4,0,29,0,0,0,a person riding a bicycle,a person riding a bicycle,29,15.0,26.26365852355957
2_096_1.mp4,0,0,0,0,0,a person riding a bicycle,a certain number of persons fighting,0,15.0,15.666888236999512
2_096_1.mp4,0,0,0,0,0,a person riding a bicycle,a group of persons playing,0,15.0,15.658913850784302
2_096_1.mp4,0,0,0,0,0,a person riding a bicycle,a person running,0,15.0,15.716309547424316
2_096_1.mp4,0,0,0,39,43,a person riding a bicycle,a person lying in the floor,82,15.0,45.58609056472778
2_096_1.mp4,0,0,0,0,0,a person riding a bicycle,a person chasing other person,0,15.0,15.707107543945312
4_077_1.mp4,0,20,0,0,0,a person riding a bicycle,a person riding a bicycle,20,10.966666666666667,17.596561908721924
4_077_1.mp4,0,0,0,0,0,a person riding a bicycle,a certain number of persons fighting,0,10.966666666666667,10.858335018157959
4_077_1.mp4,0,0,0,0,0,a person riding a bicycle,a group of persons playing,0,10.966666666666667,10.94780158996582
4_077_1.mp4,0,0,0,0,0,a person riding a bicycle,a person running,0,10.966666666666667,10.96908450126648
4_077_1.mp4,0,0,0,43,14,a person riding a bicycle,a person lying in the floor,57,10.966666666666667,29.705411434173584
4_077_1.mp4,0,0,0,1,0,a person riding a bicycle,a person chasing other person,1,10.966666666666667,11.317164659500122
3_105_1.mp4,0,18,0,0,0,a person riding a bicycle,a person riding a bicycle,18,20.053366666666665,27.58565664291382
3_105_1.mp4,0,0,0,0,0,a person riding a bicycle,a certain number of persons fighting,0,20.053366666666665,20.88136339187622
3_105_1.mp4,0,0,0,0,0,a person riding a bicycle,a group of persons playing,0,20.053366666666665,20.788625240325928
3_105_1.mp4,0,2,2,7,5,a person riding a bicycle,a person running,16,20.053366666666665,26.84218978881836
3_105_1.mp4,0,0,0,53,47,a person riding a bicycle,a person lying in the floor,100,20.053366666666665,56.94629263877869
3_105_1.mp4,0,0,4,11,1,a person riding a bicycle,a person chasing other person,16,20.053366666666665,26.573171138763428
2_065_1.mp4,0,0,0,0,0,a certain number of persons fighting,a person riding a bicycle,0,45.0,46.37747526168823
2_065_1.mp4,0,27,1,23,3,a certain number of persons fighting,a certain number of persons fighting,54,45.0,65.76965188980103
2_065_1.mp4,0,0,0,0,0,a certain number of persons fighting,a group of persons playing,0,45.0,46.08960008621216
2_065_1.mp4,0,17,1,63,37,a certain number of persons fighting,a person running,118,45.0,89.4524896144867
2_065_1.mp4,0,0,0,131,131,a certain number of persons fighting,a person lying in the floor,262,45.0,141.43667817115784
2_065_1.mp4,0,28,7,64,45,a certain number of persons fighting,a person chasing other person,144,45.0,99.13192391395569
1_071_1.mp4,0,0,0,0,0,a certain number of persons fighting,a person riding a bicycle,0,19.986633333333334,20.525254011154175
1_071_1.mp4,0,28,14,0,0,a certain number of persons fighting,a certain number of persons fighting,42,19.986633333333334,35.791202783584595
1_071_1.mp4,0,0,0,0,0,a certain number of persons fighting,a group of persons playing,0,19.986633333333334,20.536009550094604
1_071_1.mp4,0,8,15,29,20,a certain number of persons fighting,a person running,72,19.986633333333334,46.713223934173584
1_071_1.mp4,0,0,0,65,46,a certain number of persons fighting,a person lying in the floor,111,19.986633333333334,60.85184454917908
1_071_1.mp4,0,35,32,4,12,a certain number of persons fighting,a person chasing other person,83,19.986633333333334,50.80464291572571
4_079_1.mp4,0,0,0,0,0,a certain number of persons fighting,a person riding a bicycle,0,34.96666666666667,34.167911767959595
4_079_1.mp4,0,2,21,60,26,a certain number of persons fighting,a certain number of persons fighting,109,34.96666666666667,70.11501741409302
4_079_1.mp4,0,0,0,0,0,a certain number of persons fighting,a group of persons playing,0,34.96666666666667,34.01010513305664
4_079_1.mp4,0,13,3,48,9,a certain number of persons fighting,a person running,73,34.96666666666667,58.28060746192932
4_079_1.mp4,0,0,0,123,78,a certain number of persons fighting,a person lying in the floor,201,34.96666666666667,100.2179753780365
4_079_1.mp4,0,5,0,59,25,a certain number of persons fighting,a person chasing other person,89,34.96666666666667,63.46309018135071
1_072_1.mp4,0,0,0,0,0,a certain number of persons fighting,a person riding a bicycle,0,24.991633333333333,25.530646562576294
1_072_1.mp4,0,83,12,14,0,a certain number of persons fighting,a certain number of persons fighting,109,24.991633333333333,65.08065271377563
1_072_1.mp4,0,0,0,0,0,a certain number of persons fighting,a group of persons playing,0,24.991633333333333,25.50591254234314
1_072_1.mp4,0,11,0,89,11,a certain number of persons fighting,a person running,111,24.991633333333333,65.85450553894043
1_072_1.mp4,0,0,0,114,18,a certain number of persons fighting,a person lying in the floor,132,24.991633333333333,73.62073230743408
1_072_1.mp4,0,68,6,19,4,a certain number of persons fighting,a person chasing other person,97,24.991633333333333,61.37850213050842
2_077_1.mp4,0,0,0,0,0,a certain number of persons fighting,a person riding a bicycle,0,12.0,12.678725957870483
2_077_1.mp4,0,22,22,0,1,a certain number of persons fighting,a certain number of persons fighting,45,12.0,29.419922590255737
2_077_1.mp4,0,0,0,0,0,a certain number of persons fighting,a group of persons playing,0,12.0,12.783312320709229
2_077_1.mp4,0,16,1,0,15,a certain number of persons fighting,a person running,32,12.0,24.531296014785767
2_077_1.mp4,0,0,0,26,38,a certain number of persons fighting,a person lying in the floor,64,12.0,37.24229979515076
2_077_1.mp4,0,8,26,0,0,a certain number of persons fighting,a person chasing other person,34,12.0,25.15711522102356
1_069_1.mp4,0,0,0,0,0,a certain number of persons fighting,a person riding a bicycle,0,40.00663333333333,40.68243765830994
1_069_1.mp4,0,103,0,0,0,a certain number of persons fighting,a certain number of persons fighting,103,40.00663333333333,78.46820664405823
1_069_1.mp4,0,3,0,0,0,a certain number of persons fighting,a group of persons playing,3,40.00663333333333,41.75705337524414
