Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_110_1.mp4,0,3,0,11,12,a person running,a person running,26,19.966666666666665,29.827694177627563
3_090_1.mp4,0,0,0,0,10,a person running,a person running,10,19.986633333333334,24.83775329589844
3_093_1.mp4,0,15,1,2,0,a person running,a person running,18,35.00163333333333,43.14442992210388
4_092_1.mp4,0,1,0,0,0,a person running,a person running,1,9.966666666666669,10.270976305007936
2_066_1.mp4,0,25,0,7,0,a person running,a person running,32,20.0,32.933459758758545
4_101_1.mp4,0,0,0,7,2,a person running,a person running,9,23.966666666666665,26.890860557556152
2_094_1.mp4,0,0,1,0,4,a person running,a person running,5,120.0,127.16532707214355
1_068_1.mp4,0,5,0,4,3,a person running,a person running,12,14.981633333333331,20.04359459877014
3_104_1.mp4,0,12,0,5,2,a person running,a person running,19,24.991633333333333,33.41748929023743
3_094_1.mp4,0,7,1,2,9,a person running,a person running,19,24.991633333333333,33.29606914520264
1_077_1.mp4,0,7,2,2,3,a person running,a person running,14,16.983633333333334,22.670204162597656
4_087_1.mp4,0,0,0,0,0,a person running,a person running,0,15.966666666666669,15.83042025566101
2_075_1.mp4,0,0,0,1,0,a person running,a person running,1,15.0,16.08271884918213
4_090_1.mp4,0,0,1,0,0,a person running,a person running,1,9.966666666666669,10.296012878417969
2_085_1.mp4,0,0,0,1,3,a person running,a person running,4,10.0,12.02684736251831
3_085_1.mp4,0,2,2,2,0,a person running,a person running,6,19.986633333333334,23.07945966720581
4_088_1.mp4,0,2,0,1,0,a person running,a person running,3,13.966666666666669,15.014798402786257
1_096_1.mp4,0,0,0,0,0,a person running,a person running,0,9.976633333333334,10.290263891220093
4_080_1.mp4,0,17,2,0,0,a person running,a person running,19,21.966666666666665,28.50247859954834
1_070_1.mp4,0,32,0,0,0,a person running,a person running,32,14.981633333333331,27.422742128372192
4_078_1.mp4,0,6,0,0,0,a person running,a person running,6,9.966666666666669,11.98827314376831
4_104_1.mp4,0,2,0,1,4,a person running,a person running,7,5.966666666666667,8.312394618988037
2_073_1.mp4,0,1,14,1,1,a person running,a person running,17,45.0,53.46814751625061
4_112_1.mp4,0,4,0,5,1,a person running,a person running,10,11.966666666666669,15.395217180252075
2_095_1.mp4,0,21,0,0,0,a person running,a person running,21,15.0,23.551639795303345
3_077_1.mp4,0,31,1,14,0,a person running,a person running,46,29.99663333333333,48.55961012840271
2_064_1.mp4,0,0,1,0,0,a person running,a person running,1,15.0,16.048620462417603
1_079_1.mp4,0,0,0,1,0,a person running,a person running,1,14.981633333333331,15.836917638778688
4_102_1.mp4,0,1,4,6,3,a person running,a person running,14,9.966666666666669,14.745468616485596
3_103_1.mp4,0,11,0,0,0,a person running,a person running,11,14.981633333333331,19.814897775650024
3_097_1.mp4,0,16,0,0,1,a person running,a person running,17,24.991633333333333,32.488739013671875
1_095_1.mp4,0,0,0,1,0,a person running,a person running,1,13.980633333333332,14.896184921264648
3_087_1.mp4,0,11,0,9,2,a person running,a person running,22,19.986633333333334,29.15279769897461
4_113_1.mp4,0,0,0,0,8,a person running,a person running,8,16.966666666666665,19.70024442672729
3_075_1.mp4,0,3,0,0,0,a person running,a person running,3,30.2302,32.73760914802551
4_100_1.mp4,0,0,0,1,4,a person running,a person running,5,8.966666666666667,10.644311428070068
4_089_1.mp4,0,5,0,1,0,a person lying in the floor,a person lying in the floor,6,74.96666666666667,76.7369339466095
2_080_1.mp4,0,0,0,1,0,a person lying in the floor,a person lying in the floor,1,60.0,63.26511263847351
3_092_1.mp4,0,1,0,0,0,a person lying in the floor,a person lying in the floor,1,70.03663333333334,73.73692107200623
1_091_1.mp4,0,0,0,0,4,a person lying in the floor,a person lying in the floor,4,45.011633333333336,47.98731780052185
3_099_1.mp4,0,0,0,1,0,a person lying in the floor,a person lying in the floor,1,55.02163333333333,57.87298941612244
1_078_1.mp4,0,23,0,0,2,a person lying in the floor,a person lying in the floor,25,40.00663333333333,50.869791746139526
4_094_1.mp4,0,0,0,2,0,a person lying in the floor,a person lying in the floor,2,53.96666666666667,54.46648454666138
3_086_1.mp4,0,20,0,0,2,a person lying in the floor,a person lying in the floor,22,90.05663333333334,102.57457661628725
1_084_1.mp4,0,24,0,1,0,a person lying in the floor,a person lying in the floor,25,40.00663333333333,50.79806590080261
4_110_1.mp4,1,0,0,35,78,a person running,a person running,113,19.966666666666665,40.62656092643738
3_090_1.mp4,1,0,0,29,84,a person running,a person running,113,19.986633333333334,46.536993741989136
3_093_1.mp4,1,18,21,49,115,a person running,a person running,203,35.00163333333333,82.18767285346985
4_092_1.mp4,1,17,0,17,19,a person running,a person running,53,9.966666666666669,18.899184703826904
