Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,2,0,0,93,46,a video of a person riding a bicycle on the street,,139,29.16,15.943899631500244
000289.avi,2,25,0,81,137,a video of a person riding a bicycle on the street,,243,49.96,24.69838762283325
4_076_1.mp4,2,9,0,39,29,a video of a person riding a bicycle on the street,,77,13.966666666666669,4.8981101512908936
000326.avi,2,0,0,53,104,a video of a person riding a bicycle on the street,,157,32.68,15.818976879119871
000313.avi,2,0,0,101,105,a video of a person riding a bicycle on the street,,206,42.44,20.714308261871334
000325.avi,2,1,0,47,92,a video of a person riding a bicycle on the street,,140,29.36,14.06510090827942
000345.avi,2,0,0,55,86,a video of a person riding a bicycle on the street,,141,29.44,14.370261907577516
3_106_1.mp4,2,29,0,22,32,a video of a person riding a bicycle on the street,,83,14.981633333333331,8.600269079208374
D013_03.avi,2,74,0,209,41,a video of a person riding a bicycle on the street,,324,66.04,32.832172870635986
000296.avi,2,26,0,149,10,a video of a person riding a bicycle on the street,,185,38.24,18.70665383338928
1_067_1.mp4,2,16,0,8,29,a video of a person riding a bicycle on the street,,53,9.976633333333334,5.477715969085693
D047_05.avi,2,25,29,0,0,a video of a person riding a bicycle on the street,,54,12.04,5.510652542114258
1_066_1.mp4,2,15,0,10,58,a video of a person riding a bicycle on the street,,83,14.981633333333331,8.58934760093689
000253.avi,2,0,0,59,80,a video of a person riding a bicycle on the street,,139,29.04,14.512914657592772
D235_01.avi,2,242,72,0,0,a video of a person riding a bicycle on the street,,314,64.04,32.26815176010132
D013_02.avi,2,51,0,413,30,a video of a person riding a bicycle on the street,,494,100.04,50.26018881797791
000324.avi,2,4,0,62,99,a video of a person riding a bicycle on the street,,165,34.24,16.715423107147217
2_096_1.mp4,2,21,0,18,45,a video of a person riding a bicycle on the street,,84,15.0,8.59546160697937
4_077_1.mp4,2,19,0,24,16,a video of a person riding a bicycle on the street,,59,10.966666666666669,3.802554607391357
000270.avi,2,0,0,75,48,a video of a person riding a bicycle on the street,,123,25.8,12.64638876914978
D235_07.avi,2,465,19,0,0,a video of a person riding a bicycle on the street,,484,98.04,49.09797191619873
3_105_1.mp4,2,43,0,10,61,a video of a person riding a bicycle on the street,,114,20.053366666666665,11.710251569747925
000318.avi,2,0,0,111,9,a video of a person riding a bicycle on the street,,120,25.36,12.440567016601562
2_067_1.mp4,2,0,0,29,115,a video of multiple people engaged in a physical fight,,144,25.0,14.802247285842896
4_082_1.mp4,2,0,0,154,25,a video of multiple people engaged in a physical fight,,179,30.966666666666665,11.372990369796751
000211.avi,2,0,0,164,115,a video of multiple people engaged in a physical fight,,279,57.08,28.38989758491516
3_079_1.mp4,2,0,0,108,155,a video of multiple people engaged in a physical fight,,263,45.011633333333336,27.26501989364624
2_065_1.mp4,2,0,0,131,133,a video of multiple people engaged in a physical fight,,264,45.0,27.08390855789185
1_081_1.mp4,2,0,0,28,43,a video of multiple people engaged in a physical fight,,71,12.979633333333334,7.424170732498169
3_089_1.mp4,2,0,0,116,57,a video of multiple people engaged in a physical fight,,173,29.99663333333333,17.876949787139893
D076_05.avi,2,0,0,94,250,a video of multiple people engaged in a physical fight,,344,70.04,35.22209358215332
D043_01.avi,2,0,0,61,363,a video of multiple people engaged in a physical fight,,424,86.04,43.91489028930664
1_088_1.mp4,2,0,0,163,100,a video of multiple people engaged in a physical fight,,263,45.011633333333336,27.18461537361145
2_068_1.mp4,2,0,0,111,93,a video of multiple people engaged in a physical fight,,204,35.0,21.065459489822388
000213.avi,2,124,0,91,92,a video of multiple people engaged in a physical fight,,307,62.72,31.83015203475952
000266.avi,2,94,0,97,74,a video of multiple people engaged in a physical fight,,265,54.32,26.85012984275818
1_071_1.mp4,2,0,0,65,48,a video of multiple people engaged in a physical fight,,113,19.986633333333334,12.018161535263062
D031_01.avi,2,0,0,131,268,a video of multiple people engaged in a physical fight,,399,81.04,29.440972089767456
4_079_1.mp4,2,0,0,123,80,a video of multiple people engaged in a physical fight,,203,34.96666666666667,13.026922702789308
3_076_1.mp4,2,0,0,175,117,a video of multiple people engaged in a physical fight,,292,49.78306666666667,29.88859272003174
2_081_1.mp4,2,0,0,85,11,a video of multiple people engaged in a physical fight,,96,17.0,9.99251651763916
000278.avi,2,0,0,91,25,a video of multiple people engaged in a physical fight,,116,24.52,11.908519983291626
1_072_1.mp4,2,16,0,107,20,a video of multiple people engaged in a physical fight,,143,24.991633333333333,14.586210012435911
2_077_1.mp4,2,0,0,28,38,a video of multiple people engaged in a physical fight,,66,12.0,7.033482313156128
4_096_1.mp4,2,0,0,80,51,a video of multiple people engaged in a physical fight,,131,22.966666666666665,8.356205701828003
000321.avi,2,34,0,44,83,a video of multiple people engaged in a physical fight,,161,33.52,16.36409330368042
2_076_1.mp4,2,0,0,64,80,a video of multiple people engaged in a physical fight,,144,25.0,14.787304401397703
4_103_1.mp4,2,0,0,69,32,a video of multiple people engaged in a physical fight,,101,17.966666666666665,6.586965084075928
000251.avi,2,35,0,216,47,a video of multiple people engaged in a physical fight,,298,60.8,30.66661143302917
1_083_1.mp4,2,0,0,42,41,a video of multiple people engaged in a physical fight,,83,14.981633333333331,8.766730070114136
4_105_1.mp4,2,0,0,103,100,a video of multiple people engaged in a physical fight,,203,34.96666666666667,13.606136322021484
000220.avi,2,0,0,146,14,a video of multiple people engaged in a physical fight,,160,33.36,16.523590087890625
2_086_1.mp4,2,5,0,175,114,a video of multiple people engaged in a physical fight,,294,50.0,29.79516696929932
3_078_1.mp4,2,0,0,51,242,a video of multiple people engaged in a physical fight,,293,50.01663333333333,29.6448016166687
4_081_1.mp4,2,0,0,53,60,a video of multiple people engaged in a physical fight,,113,19.966666666666665,7.0406670570373535
3_095_1.mp4,2,0,0,69,74,a video of multiple people engaged in a physical fight,,143,24.991633333333333,14.325798749923706
D077_06.avi,2,0,0,98,326,a video of multiple people engaged in a physical fight,,424,86.04,42.12798428535461
1_069_1.mp4,2,0,0,175,58,a video of multiple people engaged in a physical fight,,233,40.00663333333333,23.65253233909607
2_084_1.mp4,2,0,0,65,49,a video of multiple people engaged in a physical fight,,114,20.0,11.704624891281128
1_086_1.mp4,2,0,0,66,77,a video of multiple people engaged in a physical fight,,143,24.991633333333333,14.532144784927368
000284.avi,2,146,0,86,184,a video of multiple people engaged in a physical fight,,416,84.4,42.27497506141663
2_079_1.mp4,2,0,0,72,42,a video of multiple people engaged in a physical fight,,114,20.0,11.744733333587646
4_093_1.mp4,2,0,0,114,29,a video of multiple people engaged in a physical fight,,143,24.966666666666665,9.069226503372192
D029_01.avi,2,0,0,29,360,a video of multiple people engaged in a physical fight,,389,79.04,38.846121311187744
000256.avi,2,32,0,619,10,a video of a group of people playing a sport together,,661,133.56,67.12728762626648
000334.avi,2,0,0,103,0,a video of a group of people playing a sport together,,103,21.96,10.485576868057253
1_094_1.mp4,2,112,19,128,124,a video of a group of people playing a sport together,,383,65.03163333333333,39.18168783187866
000346.avi,2,0,0,615,34,a video of a group of people playing a sport together,,649,131.16,66.53193402290344
3_101_1.mp4,2,27,0,563,273,a video of a group of people playing a sport together,,863,145.07826666666668,88.79827165603638
000310.avi,2,29,0,112,6,a video of a group of people playing a sport together,,147,30.6,14.80912184715271
000336.avi,2,7,0,247,80,a video of a group of people playing a sport together,,334,68.0,33.2285373210907
000314.avi,2,0,0,117,0,a video of a group of people playing a sport together,,117,24.76,11.959262609481812
000222.avi,2,15,0,177,6,a video of a group of people playing a sport together,,198,40.92,20.374524116516117
