Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,0,0,93,46,a video of a person riding a bicycle on the street,,139,29.16,37.84861874580383
000289.avi,0,21,0,85,135,a video of a person riding a bicycle on the street,,241,49.96,59.162638902664185
4_076_1.mp4,0,8,0,40,29,a video of a person riding a bicycle on the street,,77,13.966666666666669,16.96106266975403
000326.avi,0,0,0,53,104,a video of a person riding a bicycle on the street,,157,32.68,40.08750915527344
000313.avi,0,0,0,101,105,a video of a person riding a bicycle on the street,,206,42.44,51.73466730117798
000325.avi,0,0,0,48,92,a video of a person riding a bicycle on the street,,140,29.36,35.754183530807495
000345.avi,0,0,0,55,86,a video of a person riding a bicycle on the street,,141,29.44,36.10822772979736
3_106_1.mp4,0,24,0,3,3,a video of a person riding a bicycle on the street,,30,14.981633333333331,16.649478435516357
D013_03.avi,0,10,0,54,0,a video of a person riding a bicycle on the street,,64,66.04,56.341678619384766
000296.avi,0,11,0,160,0,a video of a person riding a bicycle on the street,,171,38.24,43.109187841415405
1_067_1.mp4,0,14,0,7,0,a video of a person riding a bicycle on the street,,21,9.976633333333334,10.83969759941101
D047_05.avi,0,6,0,12,0,a video of a person riding a bicycle on the street,,18,12.04,10.4486186504364
1_066_1.mp4,0,14,0,11,19,a video of a person riding a bicycle on the street,,44,14.981633333333331,17.35380482673645
000253.avi,0,0,0,59,80,a video of a person riding a bicycle on the street,,139,29.04,34.6023952960968
D235_01.avi,0,34,0,13,4,a video of a person riding a bicycle on the street,,51,64.04,52.92438673973084
D013_02.avi,0,16,0,54,1,a video of a person riding a bicycle on the street,,71,100.04,82.08262300491333
000324.avi,0,3,0,63,99,a video of a person riding a bicycle on the street,,165,34.24,40.30743169784546
2_096_1.mp4,0,24,0,14,21,a video of a person riding a bicycle on the street,,59,15.0,18.62854695320129
4_077_1.mp4,0,18,0,10,5,a video of a person riding a bicycle on the street,,33,10.966666666666669,11.504159212112429
000270.avi,0,0,0,75,48,a video of a person riding a bicycle on the street,,123,25.8,30.389371633529663
D235_07.avi,0,39,0,28,0,a video of a person riding a bicycle on the street,,67,98.04,80.02261757850647
3_105_1.mp4,0,24,0,21,16,a video of a person riding a bicycle on the street,,61,20.053366666666665,23.5437171459198
000318.avi,0,0,0,111,9,a video of a person riding a bicycle on the street,,120,25.36,29.812158584594727
2_067_1.mp4,0,0,0,29,115,a video of multiple people engaged in a physical fight,,144,25.0,34.98111414909363
4_082_1.mp4,0,2,0,150,25,a video of multiple people engaged in a physical fight,,177,30.966666666666665,36.98095846176148
000211.avi,0,0,0,163,115,a video of multiple people engaged in a physical fight,,278,57.08,66.73776197433472
3_079_1.mp4,0,0,0,101,114,a video of multiple people engaged in a physical fight,,215,45.011633333333336,59.57853674888611
2_065_1.mp4,0,0,0,131,129,a video of multiple people engaged in a physical fight,,260,45.0,62.83167767524719
1_081_1.mp4,0,0,0,28,4,a video of multiple people engaged in a physical fight,,32,12.979633333333334,14.42294979095459
3_089_1.mp4,0,0,0,108,9,a video of multiple people engaged in a physical fight,,117,29.99663333333333,37.286415100097656
D076_05.avi,0,0,0,94,187,a video of multiple people engaged in a physical fight,,281,70.04,76.96214127540588
D043_01.avi,0,0,0,61,292,a video of multiple people engaged in a physical fight,,353,86.04,94.94799470901488
1_088_1.mp4,0,0,0,163,100,a video of multiple people engaged in a physical fight,,263,45.011633333333336,63.74882745742798
2_068_1.mp4,0,0,0,101,69,a video of multiple people engaged in a physical fight,,170,35.0,47.22654747962952
000213.avi,0,130,0,85,92,a video of multiple people engaged in a physical fight,,307,62.72,75.10518455505371
000266.avi,0,108,0,83,74,a video of multiple people engaged in a physical fight,,265,54.32,65.54532146453857
1_071_1.mp4,0,0,0,65,48,a video of multiple people engaged in a physical fight,,113,19.986633333333334,28.300657033920288
D031_01.avi,0,0,0,131,219,a video of multiple people engaged in a physical fight,,350,81.04,99.87458896636964
4_079_1.mp4,0,0,0,122,80,a video of multiple people engaged in a physical fight,,202,34.96666666666667,42.67336940765381
3_076_1.mp4,0,6,0,165,116,a video of multiple people engaged in a physical fight,,287,49.78306666666667,71.38350534439087
2_081_1.mp4,0,0,0,85,11,a video of multiple people engaged in a physical fight,,96,17.0,24.31926798820496
000278.avi,0,8,0,83,25,a video of multiple people engaged in a physical fight,,116,24.52,28.934415817260746
1_072_1.mp4,0,17,0,98,18,a video of multiple people engaged in a physical fight,,133,24.991633333333333,34.69552755355835
2_077_1.mp4,0,0,0,28,38,a video of multiple people engaged in a physical fight,,66,12.0,17.016738414764404
4_096_1.mp4,0,0,0,79,51,a video of multiple people engaged in a physical fight,,130,22.966666666666665,27.912161588668823
000321.avi,0,35,0,43,83,a video of multiple people engaged in a physical fight,,161,33.52,40.08132123947144
2_076_1.mp4,0,0,0,59,58,a video of multiple people engaged in a physical fight,,117,25.0,33.48659873008728
4_103_1.mp4,0,0,0,69,32,a video of multiple people engaged in a physical fight,,101,17.966666666666665,21.927985668182373
000251.avi,0,47,0,204,47,a video of multiple people engaged in a physical fight,,298,60.8,74.04533696174622
1_083_1.mp4,0,0,0,42,33,a video of multiple people engaged in a physical fight,,75,14.981633333333331,20.35638213157653
4_105_1.mp4,0,0,0,96,73,a video of multiple people engaged in a physical fight,,169,34.96666666666667,40.61230731010437
000220.avi,0,11,0,135,14,a video of multiple people engaged in a physical fight,,160,33.36,39.32301092147827
2_086_1.mp4,0,11,0,169,114,a video of multiple people engaged in a physical fight,,294,50.0,71.99400305747986
3_078_1.mp4,0,0,0,51,241,a video of multiple people engaged in a physical fight,,292,50.01663333333333,72.46252179145813
4_081_1.mp4,0,0,0,53,60,a video of multiple people engaged in a physical fight,,113,19.966666666666665,24.32772445678711
3_095_1.mp4,0,0,0,69,74,a video of multiple people engaged in a physical fight,,143,24.991633333333333,35.91025519371033
D077_06.avi,0,0,0,85,286,a video of multiple people engaged in a physical fight,,371,86.04,98.25253129005432
1_069_1.mp4,0,0,0,173,58,a video of multiple people engaged in a physical fight,,231,40.00663333333333,56.860251903533936
2_084_1.mp4,0,0,0,65,49,a video of multiple people engaged in a physical fight,,114,20.0,28.60985398292541
1_086_1.mp4,0,0,0,66,77,a video of multiple people engaged in a physical fight,,143,24.991633333333333,35.549240589141846
000284.avi,0,161,0,71,184,a video of multiple people engaged in a physical fight,,416,84.4,101.80469155311584
2_079_1.mp4,0,0,0,72,42,a video of multiple people engaged in a physical fight,,114,20.0,28.70653748512268
4_093_1.mp4,0,0,0,114,29,a video of multiple people engaged in a physical fight,,143,24.966666666666665,30.401994466781616
D029_01.avi,0,0,0,29,344,a video of multiple people engaged in a physical fight,,373,79.04,93.21909093856812
000256.avi,0,22,0,629,10,a video of a group of people playing a sport together,,661,133.56,160.92609930038452
000334.avi,0,0,0,103,0,a video of a group of people playing a sport together,,103,21.96,26.01998996734619
1_094_1.mp4,0,79,16,161,127,a video of a group of people playing a sport together,,383,65.03163333333333,95.12082409858704
000346.avi,0,0,0,615,34,a video of a group of people playing a sport together,,649,131.16,157.49872493743896
3_101_1.mp4,0,5,0,585,273,a video of a group of people playing a sport together,,863,145.07826666666668,211.8320815563202
000310.avi,0,26,0,115,6,a video of a group of people playing a sport together,,147,30.6,36.68876504898071
000336.avi,0,5,0,249,80,a video of a group of people playing a sport together,,334,68.0,81.59003162384033
000314.avi,0,0,0,117,0,a video of a group of people playing a sport together,,117,24.76,30.13581418991089
000222.avi,0,6,0,186,6,a video of a group of people playing a sport together,,198,40.92,49.003713846206665
4_111_1.mp4,0,0,0,253,130,a video of a group of people playing a sport together,,383,64.96666666666667,80.3240065574646
3_102_1.mp4,0,17,0,245,211,a video of a group of people playing a sport together,,473,80.04663333333333,117.6539580821991
2_090_1.mp4,0,0,0,524,507,a video of a group of people playing a sport together,,1031,180.0,257.7945930957794
000258.avi,0,0,0,442,2,a video of a group of people playing a sport together,,444,90.0,108.40473985671996
000347.avi,0,0,0,386,0,a video of a group of people playing a sport together,,386,78.44,94.17724251747131
000342.avi,0,0,0,132,62,a video of a group of people playing a sport together,,194,40.0,47.15429949760437
000244.avi,0,0,0,75,0,a video of a group of people playing a sport together,,75,16.2,18.8714017868042
1_093_1.mp4,0,17,19,513,344,a video of a group of people playing a sport together,,893,150.11663333333334,216.34870076179504
000327.avi,0,0,0,188,4,a video of a group of people playing a sport together,,192,39.76,49.22744512557984
000265.avi,0,8,0,204,34,a video of a group of people playing a sport together,,246,50.48,60.491873025894165
000267.avi,0,0,0,136,14,a video of a group of people playing a sport together,,150,31.32,36.800944328308105
2_093_1.mp4,0,0,0,260,124,a video of a group of people playing a sport together,,384,65.0,94.48691368103027
4_109_1.mp4,0,0,0,449,245,a video of a group of people playing a sport together,,694,116.96666666666668,144.54324507713318
000297.avi,0,0,0,53,12,a video of a person running,,65,14.28,16.883996963500977
4_110_1.mp4,0,0,0,30,77,a video of a person running,,107,19.966666666666665,23.99168848991394
3_090_1.mp4,0,5,39,3,22,a video of a person running,,69,19.986633333333334,24.75210738182068
000317.avi,0,0,0,51,137,a video of a person running,,188,38.88,46.3503692150116
3_093_1.mp4,0,53,74,14,34,a video of a person running,,175,35.00163333333333,47.96850109100342
4_092_1.mp4,0,2,0,32,19,a video of a person running,,53,9.966666666666669,11.888686180114746
2_066_1.mp4,0,18,0,61,24,a video of a person running,,103,20.0,27.589256286621094
4_101_1.mp4,0,0,6,75,55,a video of a person running,,136,23.966666666666665,29.04463148117065
2_094_1.mp4,0,21,175,13,355,a video of a person running,,564,120.0,160.81067490577698
