Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,0,0,93,46,a video of a person riding a bicycle on the street,,139,29.16,36.62192058563232
000289.avi,0,21,0,85,135,a video of a person riding a bicycle on the street,,241,49.96,58.31855249404907
000326.avi,0,0,0,53,104,a video of a person riding a bicycle on the street,,157,32.68,39.18381452560425
000313.avi,0,0,0,101,105,a video of a person riding a bicycle on the street,,206,42.44,51.218018770217896
000325.avi,0,0,0,48,92,a video of a person riding a bicycle on the street,,140,29.36,35.21843862533569
000345.avi,0,0,0,55,86,a video of a person riding a bicycle on the street,,141,29.44,35.795053005218506
D013_03.avi,0,10,0,54,0,a video of a person riding a bicycle on the street,,64,66.04,55.75466704368591
000296.avi,0,11,0,160,0,a video of a person riding a bicycle on the street,,171,38.24,44.4285991191864
D047_05.avi,0,6,0,12,0,a video of a person riding a bicycle on the street,,18,12.04,10.5970778465271
000253.avi,0,0,0,59,80,a video of a person riding a bicycle on the street,,139,29.04,35.22272205352783
D235_01.avi,0,34,0,13,4,a video of a person riding a bicycle on the street,,51,64.04,53.20799255371094
D013_02.avi,0,16,0,54,1,a video of a person riding a bicycle on the street,,71,100.04,82.60944390296936
000324.avi,0,3,0,63,99,a video of a person riding a bicycle on the street,,165,34.24,41.16521120071411
000270.avi,0,0,0,75,48,a video of a person riding a bicycle on the street,,123,25.8,31.004465341568
D235_07.avi,0,39,0,28,0,a video of a person riding a bicycle on the street,,67,98.04,80.67252993583679
000318.avi,0,0,0,111,9,a video of a person riding a bicycle on the street,,120,25.36,30.681012630462646
000211.avi,0,0,0,163,115,a video of multiple people engaged in a physical fight,,278,57.08,68.55106472969055
D076_05.avi,0,0,0,94,187,a video of multiple people engaged in a physical fight,,281,70.04,78.41872191429138
D043_01.avi,0,0,0,61,292,a video of multiple people engaged in a physical fight,,353,86.04,97.04804277420044
000213.avi,0,130,0,85,92,a video of multiple people engaged in a physical fight,,307,62.72,75.09312081336975
000266.avi,0,108,0,83,74,a video of multiple people engaged in a physical fight,,265,54.32,65.81393218040466
D031_01.avi,0,0,0,131,219,a video of multiple people engaged in a physical fight,,350,81.04,100.31230235099792
000278.avi,0,8,0,83,25,a video of multiple people engaged in a physical fight,,116,24.52,28.875608205795288
000321.avi,0,35,0,43,83,a video of multiple people engaged in a physical fight,,161,33.52,40.0121967792511
000251.avi,0,47,0,204,47,a video of multiple people engaged in a physical fight,,298,60.8,73.96032404899597
000220.avi,0,11,0,135,14,a video of multiple people engaged in a physical fight,,160,33.36,39.357231855392456
D077_06.avi,0,0,0,85,286,a video of multiple people engaged in a physical fight,,371,86.04,98.53275775909424
000284.avi,0,161,0,71,184,a video of multiple people engaged in a physical fight,,416,84.4,101.70014715194702
D029_01.avi,0,0,0,29,344,a video of multiple people engaged in a physical fight,,373,79.04,93.01507639884947
