Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,0,0,116,60,a video of a person riding a bicycle on the street,,176,29.16,39.42222499847412
000289.avi,0,28,0,104,173,a video of a person riding a bicycle on the street,,305,49.96,62.70203948020935
000326.avi,0,0,0,68,130,a video of a person riding a bicycle on the street,,198,32.68,42.20291471481323
000313.avi,0,0,0,128,131,a video of a person riding a bicycle on the street,,259,42.44,54.93107986450195
000325.avi,0,3,0,58,116,a video of a person riding a bicycle on the street,,177,29.36,37.98457479476929
000345.avi,0,0,0,71,106,a video of a person riding a bicycle on the street,,177,29.44,38.25434613227844
D013_03.avi,0,13,0,69,0,a video of a person riding a bicycle on the street,,82,66.04,56.65842247009277
000296.avi,0,13,0,203,0,a video of a person riding a bicycle on the street,,216,38.24,47.50522875785828
D047_05.avi,0,8,0,13,0,a video of a person riding a bicycle on the street,,21,12.04,10.646624326705933
000253.avi,0,0,0,73,102,a video of a person riding a bicycle on the street,,175,29.04,38.24432015419006
D235_01.avi,0,44,0,15,4,a video of a person riding a bicycle on the street,,63,64.04,53.65027046203613
D013_02.avi,0,26,0,68,1,a video of a person riding a bicycle on the street,,95,100.04,83.79175043106079
000324.avi,0,5,0,79,124,a video of a person riding a bicycle on the street,,208,34.24,44.62524247169495
000270.avi,0,0,0,93,62,a video of a person riding a bicycle on the street,,155,25.8,33.513458251953125
D235_07.avi,0,52,0,32,0,a video of a person riding a bicycle on the street,,84,98.04,81.37146377563477
000318.avi,0,0,0,139,13,a video of a person riding a bicycle on the street,,152,25.36,32.94377326965332
000211.avi,0,0,0,207,143,a video of multiple people engaged in a physical fight,,350,57.08,73.68181729316711
D076_05.avi,0,0,0,117,234,a video of multiple people engaged in a physical fight,,351,70.04,84.0799515247345
D043_01.avi,0,2,0,74,369,a video of multiple people engaged in a physical fight,,445,86.04,104.03421711921692
000213.avi,0,164,0,104,118,a video of multiple people engaged in a physical fight,,386,62.72,81.00002574920654
000266.avi,0,148,0,91,94,a video of multiple people engaged in a physical fight,,333,54.32,70.82241415977478
D031_01.avi,0,0,0,164,271,a video of multiple people engaged in a physical fight,,435,81.04,103.8614194393158
000278.avi,0,9,0,106,32,a video of multiple people engaged in a physical fight,,147,24.52,31.09587574005127
000321.avi,0,49,0,49,105,a video of multiple people engaged in a physical fight,,203,33.52,43.09348964691162
000251.avi,0,70,0,244,60,a video of multiple people engaged in a physical fight,,374,60.8,79.92628002166748
000220.avi,0,19,0,164,19,a video of multiple people engaged in a physical fight,,202,33.36,42.20786762237549
D077_06.avi,0,0,0,100,359,a video of multiple people engaged in a physical fight,,459,86.04,104.8758716583252
000284.avi,0,210,0,80,231,a video of multiple people engaged in a physical fight,,521,84.4,109.61847305297852
D029_01.avi,0,0,0,37,432,a video of multiple people engaged in a physical fight,,469,79.04,100.3562080860138
000256.avi,0,41,0,775,12,a video of a group of people playing a sport together,,828,133.56,173.88046860694885
000334.avi,0,0,0,131,0,a video of a group of people playing a sport together,,131,21.96,28.232768297195435
000346.avi,0,0,0,768,45,a video of a group of people playing a sport together,,813,131.16,169.47345614433289
000310.avi,0,41,0,134,10,a video of a group of people playing a sport together,,185,30.6,39.50916337966919
000336.avi,0,6,0,312,101,a video of a group of people playing a sport together,,419,68.0,87.88857340812683
000314.avi,0,0,0,148,0,a video of a group of people playing a sport together,,148,24.76,32.47507572174072
000222.avi,0,12,0,231,6,a video of a group of people playing a sport together,,249,40.92,53.027979612350464
000258.avi,0,0,0,554,2,a video of a group of people playing a sport together,,556,90.0,116.89617323875429
000347.avi,0,0,0,484,0,a video of a group of people playing a sport together,,484,78.44,101.4546000957489
000342.avi,0,0,0,164,80,a video of a group of people playing a sport together,,244,40.0,51.055440187454224
000244.avi,0,1,0,94,0,a video of a group of people playing a sport together,,95,16.2,20.1582944393158
000327.avi,0,0,0,238,4,a video of a group of people playing a sport together,,242,39.76,53.223708152771
000265.avi,0,14,0,251,44,a video of a group of people playing a sport together,,309,50.48,65.48930501937866
000267.avi,0,0,0,172,17,a video of a group of people playing a sport together,,189,31.32,39.77509379386902
000297.avi,0,0,1,67,15,a video of a person running,,83,14.28,18.22552299499512
000317.avi,0,0,0,65,172,a video of a person running,,237,38.88,50.31079912185669
000261.avi,0,0,0,41,33,a video of a person running,,74,12.8,16.421101331710815
000337.avi,0,0,0,28,94,a video of a person running,,122,20.6,26.57873702049256
D068_09.avi,0,0,0,11,29,a video of a person running,,40,40.04,33.946816205978394
