Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,28,0,0,0,a person riding a bicycle,a person riding a bicycle,28,29.16,60.573437213897705
000289.avi,0,48,0,0,0,a person riding a bicycle,a person riding a bicycle,48,49.96,94.66720724105836
000326.avi,0,21,0,0,0,a person riding a bicycle,a person riding a bicycle,21,32.68,52.84722828865051
000313.avi,0,9,0,0,0,a person riding a bicycle,a person riding a bicycle,9,42.44,47.01781153678894
000325.avi,0,18,0,0,0,a person riding a bicycle,a person riding a bicycle,18,29.36,44.89506673812866
000345.avi,0,0,0,0,0,a person riding a bicycle,a person riding a bicycle,0,29.44,25.5027768611908
D013_03.avi,0,24,0,0,0,a person riding a bicycle,a person riding a bicycle,24,66.04,77.71494722366333
000296.avi,0,7,0,0,0,a person riding a bicycle,a person riding a bicycle,7,38.24,39.31540870666504
D047_05.avi,0,0,0,0,0,a person riding a bicycle,a person riding a bicycle,0,12.04,10.160603523254396
000253.avi,0,24,0,0,0,a person riding a bicycle,a person riding a bicycle,24,29.04,54.05456280708313
D235_01.avi,0,28,0,0,0,a person riding a bicycle,a person riding a bicycle,28,64.04,79.48911166191101
D013_02.avi,0,49,0,0,0,a person riding a bicycle,a person riding a bicycle,49,100.04,128.47054028511047
000324.avi,0,17,0,0,0,a person riding a bicycle,a person riding a bicycle,17,34.24,48.31011772155762
000270.avi,0,28,0,0,0,a person riding a bicycle,a person riding a bicycle,28,25.8,54.82529950141907
D235_07.avi,0,34,0,0,0,a person riding a bicycle,a person riding a bicycle,34,98.04,113.58274793624878
000318.avi,0,38,0,0,0,a person riding a bicycle,a person riding a bicycle,38,25.36,66.02473258972168
000211.avi,0,144,93,0,0,a certain number of persons fighting,a certain number of persons fighting,237,57.08,316.6494150161743
D076_05.avi,0,82,100,0,4,a certain number of persons fighting,a certain number of persons fighting,186,70.04,258.7745304107666
D043_01.avi,0,59,50,0,1,a certain number of persons fighting,a certain number of persons fighting,110,86.04,190.5212564468384
000213.avi,0,201,41,0,0,a certain number of persons fighting,a certain number of persons fighting,242,62.72,325.5471556186676
000266.avi,0,191,74,0,0,a certain number of persons fighting,a certain number of persons fighting,265,54.32,341.427809715271
D031_01.avi,0,128,78,0,0,a certain number of persons fighting,a certain number of persons fighting,206,81.04,296.1267514228821
000278.avi,0,81,21,0,0,a certain number of persons fighting,a certain number of persons fighting,102,24.52,131.0373079776764
000321.avi,0,73,67,0,0,a certain number of persons fighting,a certain number of persons fighting,140,33.52,183.9913754463196
000251.avi,0,251,46,0,0,a certain number of persons fighting,a certain number of persons fighting,297,60.8,378.54425072669983
000220.avi,0,122,0,0,0,a certain number of persons fighting,a certain number of persons fighting,122,33.36,159.0838782787323
D077_06.avi,0,15,75,3,0,a certain number of persons fighting,a certain number of persons fighting,93,86.04,161.27158045768738
000284.avi,0,229,119,0,0,a certain number of persons fighting,a certain number of persons fighting,348,84.4,457.2241427898407
D029_01.avi,0,24,93,0,0,a certain number of persons fighting,a certain number of persons fighting,117,79.04,190.56374979019165
000256.avi,0,288,0,0,0,a group of persons playing,a group of persons playing,288,133.56,450.7768366336823
000334.avi,0,0,0,0,0,a group of persons playing,a group of persons playing,0,21.96,18.86964178085327
000346.avi,0,243,0,0,0,a group of persons playing,a group of persons playing,243,131.16,421.2978312969208
000310.avi,0,52,0,0,0,a group of persons playing,a group of persons playing,52,30.6,80.03765153884888
000336.avi,0,131,0,0,0,a group of persons playing,a group of persons playing,131,68.0,203.42709064483645
000314.avi,0,0,0,0,0,a group of persons playing,a group of persons playing,0,24.76,21.528356552124023
000222.avi,0,60,0,0,0,a group of persons playing,a group of persons playing,60,40.92,98.18282771110536
000258.avi,0,0,0,0,0,a group of persons playing,a group of persons playing,0,90.0,77.66461944580078
000347.avi,0,0,0,0,0,a group of persons playing,a group of persons playing,0,78.44,67.43111681938171
000342.avi,0,0,0,0,0,a group of persons playing,a group of persons playing,0,40.0,34.61296033859253
000244.avi,0,42,0,0,0,a group of persons playing,a group of persons playing,42,16.2,69.47060799598694
000327.avi,0,0,0,0,0,a group of persons playing,a group of persons playing,0,39.76,34.87161469459534
000265.avi,0,27,0,0,0,a group of persons playing,a group of persons playing,27,50.48,73.84590888023376
000267.avi,0,39,1,0,0,a group of persons playing,a group of persons playing,40,31.32,79.51728940010071
000297.avi,0,53,12,0,0,a person running,a person running,65,14.28,74.07264542579651
000317.avi,0,51,137,0,0,a person running,a person running,188,38.88,205.56799387931824
000261.avi,0,33,25,0,0,a person running,a person running,58,12.8,66.67807126045227
000337.avi,0,23,72,0,2,a person running,a person running,97,20.6,103.85549640655518
D068_09.avi,0,0,17,0,2,a person running,a person running,19,40.04,50.08712768554688
000227.avi,0,54,22,0,0,a person running,a person running,76,16.44,97.42057585716248
D001_03.avi,0,42,40,0,0,a person running,a person running,82,18.04,85.4488172531128
D014_02.avi,0,34,0,0,0,a person running,a person running,34,14.04,40.573713064193726
000304.avi,0,40,89,0,0,a person running,a person running,129,27.12,158.55169773101807
000288.avi,0,69,131,0,5,a person running,a person running,205,42.68,232.82588028907776
000228.avi,0,30,49,0,0,a person running,a person running,79,17.0,97.0030825138092
D158_02.avi,0,23,57,0,1,a person running,a person running,81,18.84,85.11439919471741
000234.avi,0,34,65,0,0,a person running,a person running,99,21.04,118.48389863967896
D001_04.avi,0,51,43,0,0,a person running,a person running,94,20.04,95.35293483734132
D031_09.avi,0,28,40,2,4,a person running,a person running,74,32.04,94.70787596702576
000260.avi,0,38,35,0,0,a person running,a person running,73,15.8,81.60141777992249
D014_01.avi,0,47,57,0,0,a person running,a person running,104,22.04,105.26286554336548
000224.avi,0,22,97,0,0,a person running,a person running,119,25.52,141.17822170257568
000282.avi,0,34,49,0,0,a person running,a person running,83,17.92,91.46165943145752
000259.avi,0,68,49,0,0,a person running,a person running,117,24.76,132.8869128227234
000262.avi,0,40,181,0,0,a person running,a person running,221,45.52,276.4987432956696
000250.avi,0,21,139,0,0,a person running,a person running,160,33.32,177.81458687782288
000214.avi,0,2,0,0,0,a person chasing other person,a person chasing other person,2,15.32,15.739048480987549
000312.avi,0,0,0,0,0,a person chasing other person,a person chasing other person,0,21.08,18.19806742668152
000235.avi,0,2,0,0,0,a person chasing other person,a person chasing other person,2,8.04,8.634273767471313
000307.avi,0,3,0,0,0,a person chasing other person,a person chasing other person,3,23.84,23.0884861946106
000264.avi,0,1,0,0,0,a person chasing other person,a person chasing other person,1,22.64,20.743902683258057
000351.avi,0,0,0,0,0,a person chasing other person,a person chasing other person,0,16.56,14.236966133117676
000311.avi,0,1,0,0,0,a person chasing other person,a person chasing other person,1,11.72,11.431905269622805
D076_03.avi,0,14,6,0,0,a person chasing other person,a person chasing other person,20,70.04,78.08650374412537
000305.avi,0,1,0,0,0,a person chasing other person,a person chasing other person,1,17.04,16.121092557907104
000316.avi,0,0,0,0,0,a person chasing other person,a person chasing other person,0,16.32,14.05220079421997
000212.avi,0,6,1,0,0,a person chasing other person,a person chasing other person,7,18.0,23.66606950759888
000231.avi,0,0,0,0,0,a person chasing other person,a person chasing other person,0,21.64,18.66541290283203
000356.avi,0,0,3,0,0,a person chasing other person,a person chasing other person,3,26.12,25.450677394866943
000257.avi,0,0,1,0,0,a person chasing other person,a person chasing other person,1,36.32,32.827783823013306
000281.avi,0,0,3,0,0,a person chasing other person,a person chasing other person,3,21.52,22.582345485687256
D036_07.avi,0,0,94,0,0,a person jumping,a person jumping,94,100.04,170.00024914741516
D158_17.avi,0,100,0,0,0,a person guiding other person,a person guiding other person,100,54.28,181.9905092716217
D077_01.avi,0,3,4,0,0,a person stealing other person,a person stealing other person,7,58.04,57.26543188095093
D068_10.avi,0,0,0,0,0,a person stealing other person,a person stealing other person,0,33.04,28.3184666633606
D158_01.avi,0,2,1,0,0,a person stealing other person,a person stealing other person,3,61.04,57.92979049682617
D077_03.avi,0,26,8,0,0,a person stealing other person,a person stealing other person,34,68.04,99.5353319644928
D031_07.avi,0,17,10,1,0,a person throwing trash in the floor,a person throwing trash in the floor,28,29.04,56.54349207878113
D148_04.avi,0,6,103,0,0,a person stealing other person's pocket,a person stealing other person's pocket,109,77.04,192.229327917099
D149_05.avi,0,13,1,0,0,a person stealing other person's pocket,a person stealing other person's pocket,14,30.04,41.92949366569519
D158_13.avi,0,3,1,0,0,a person stealing other person's pocket,a person stealing other person's pocket,4,40.84,40.13278841972351
D149_07.avi,0,7,5,0,0,a person stealing other person's pocket,a person stealing other person's pocket,12,41.04,51.63803195953369
D149_03.avi,0,8,3,0,0,a person stealing other person's pocket,a person stealing other person's pocket,11,69.04,76.6324417591095
000350.avi,1,34,1,59,45,a person riding a bicycle,a person riding a bicycle,139,29.16,123.01246404647829
000289.avi,1,78,85,28,52,a person riding a bicycle,a person riding a bicycle,243,49.96,214.10673642158508
000326.avi,1,21,15,32,89,a person riding a bicycle,a person riding a bicycle,157,32.68,138.15170431137085
000313.avi,1,31,18,70,87,a person riding a bicycle,a person riding a bicycle,206,42.44,181.42283153533936
000325.avi,1,22,2,26,90,a person riding a bicycle,a person riding a bicycle,140,29.36,123.30336833000185
000345.avi,1,4,10,51,76,a person riding a bicycle,a person riding a bicycle,141,29.44,123.93761372566225
D013_03.avi,1,176,9,107,32,a person riding a bicycle,a person riding a bicycle,324,66.04,284.41158628463745
000296.avi,1,71,0,104,10,a person riding a bicycle,a person riding a bicycle,185,38.24,162.5678904056549
D047_05.avi,1,14,2,11,27,a person riding a bicycle,a person riding a bicycle,54,12.04,47.67966365814209
