Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,1,26,7,22,22,a person riding a bicycle,a person riding a bicycle,77,13.966666666666669,66.67371487617493
3_106_1.mp4,1,43,2,8,30,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,76.0302140712738
1_067_1.mp4,1,24,29,0,0,a person riding a bicycle,a person riding a bicycle,53,9.976633333333334,48.50422191619873
1_066_1.mp4,1,25,24,0,34,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,75.83402848243713
2_096_1.mp4,1,37,1,2,44,a person riding a bicycle,a person riding a bicycle,84,15.0,77.60095143318176
4_077_1.mp4,1,22,2,21,14,a person riding a bicycle,a person riding a bicycle,59,10.966666666666669,51.65299773216248
3_105_1.mp4,1,49,12,4,49,a person riding a bicycle,a person riding a bicycle,114,20.053366666666665,105.34632992744446
2_067_1.mp4,1,24,104,5,11,a certain number of persons fighting,a certain number of persons fighting,144,25.0,128.64083743095398
4_082_1.mp4,1,154,25,0,0,a certain number of persons fighting,a certain number of persons fighting,179,30.966666666666665,153.5382363796234
3_079_1.mp4,1,64,57,44,98,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,240.73393487930292
2_065_1.mp4,1,131,132,0,1,a certain number of persons fighting,a certain number of persons fighting,264,45.0,240.30975246429443
1_081_1.mp4,1,28,43,0,0,a certain number of persons fighting,a certain number of persons fighting,71,12.979633333333334,64.88277745246887
3_089_1.mp4,1,20,6,96,51,a certain number of persons fighting,a certain number of persons fighting,173,29.99663333333333,158.45183992385864
1_088_1.mp4,1,163,100,0,0,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,240.9728536605835
2_068_1.mp4,1,111,93,0,0,a certain number of persons fighting,a certain number of persons fighting,204,35.0,188.3290832042694
1_071_1.mp4,1,60,42,5,6,a certain number of persons fighting,a certain number of persons fighting,113,19.986633333333334,103.2810399532318
4_079_1.mp4,1,123,80,0,0,a certain number of persons fighting,a certain number of persons fighting,203,34.96666666666667,175.10574460029602
3_076_1.mp4,1,134,104,41,13,a certain number of persons fighting,a certain number of persons fighting,292,49.78306666666667,267.373411655426
2_081_1.mp4,1,85,11,0,0,a certain number of persons fighting,a certain number of persons fighting,96,17.0,86.42723894119263
1_072_1.mp4,1,92,7,31,13,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,129.84874844551086
2_077_1.mp4,1,25,38,3,0,a certain number of persons fighting,a certain number of persons fighting,66,12.0,58.54803252220154
4_096_1.mp4,1,80,51,0,0,a certain number of persons fighting,a certain number of persons fighting,131,22.966666666666665,111.92443370819092
2_076_1.mp4,1,57,77,7,3,a certain number of persons fighting,a certain number of persons fighting,144,25.0,126.87658786773682
4_103_1.mp4,1,69,32,0,0,a certain number of persons fighting,a certain number of persons fighting,101,17.966666666666665,87.46743941307068
