,Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
282,4_076_1.mp4,1,24,8,24,21,a person riding a bicycle,a person riding a bicycle,77,13.966666666666669,60.689855337142944
283,3_106_1.mp4,1,47,3,4,29,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,69.11334776878357
284,1_067_1.mp4,1,19,3,5,26,a person riding a bicycle,a person riding a bicycle,53,9.976633333333334,44.22109317779541
285,1_066_1.mp4,1,24,8,1,50,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,69.15678477287292
286,2_096_1.mp4,1,37,2,2,43,a person riding a bicycle,a person riding a bicycle,84,15.0,69.84919166564941
287,4_077_1.mp4,1,24,3,19,13,a person riding a bicycle,a person riding a bicycle,59,10.966666666666669,46.40718007087708
288,3_105_1.mp4,1,49,3,4,58,a person riding a bicycle,a person riding a bicycle,114,20.053366666666665,94.85851502418518
289,2_067_1.mp4,1,9,3,20,112,a certain number of persons fighting,a certain number of persons fighting,144,25.0,122.98158955574036
290,4_082_1.mp4,1,98,25,56,0,a certain number of persons fighting,a certain number of persons fighting,179,30.966666666666665,147.10204124450684
291,3_079_1.mp4,1,1,0,107,155,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,224.31366086006165
292,2_065_1.mp4,1,71,69,60,64,a certain number of persons fighting,a certain number of persons fighting,264,45.0,228.3669412136078
293,1_081_1.mp4,1,15,38,13,5,a certain number of persons fighting,a certain number of persons fighting,71,12.979633333333334,61.20527720451355
294,3_089_1.mp4,1,0,0,116,57,a certain number of persons fighting,a certain number of persons fighting,173,29.99663333333333,150.82857942581177
295,1_088_1.mp4,1,13,14,150,86,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,223.3342452049256
296,2_068_1.mp4,1,67,76,44,17,a certain number of persons fighting,a certain number of persons fighting,204,35.0,174.77894139289856
297,1_071_1.mp4,1,22,0,43,48,a certain number of persons fighting,a certain number of persons fighting,113,19.986633333333334,96.78367877006532
298,4_079_1.mp4,1,61,61,62,19,a certain number of persons fighting,a certain number of persons fighting,203,34.96666666666667,159.21903014183044
299,3_076_1.mp4,1,69,0,106,117,a certain number of persons fighting,a certain number of persons fighting,292,49.78306666666667,241.67751955986023
300,2_081_1.mp4,1,56,5,29,6,a certain number of persons fighting,a certain number of persons fighting,96,17.0,79.76215696334839
301,1_072_1.mp4,1,16,0,107,20,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,118.90300154685974
302,2_077_1.mp4,1,19,36,9,2,a certain number of persons fighting,a certain number of persons fighting,66,12.0,54.95248866081238
303,4_096_1.mp4,1,30,7,50,44,a certain number of persons fighting,a certain number of persons fighting,131,22.966666666666665,102.85223174095154
304,2_076_1.mp4,1,16,43,48,37,a certain number of persons fighting,a certain number of persons fighting,144,25.0,119.42697143554688
305,4_103_1.mp4,1,35,9,34,23,a certain number of persons fighting,a certain number of persons fighting,101,17.966666666666665,79.4925811290741
306,1_083_1.mp4,1,5,0,37,41,a certain number of persons fighting,a certain number of persons fighting,83,14.981633333333331,69.213796377182
307,4_105_1.mp4,1,94,88,9,12,a certain number of persons fighting,a certain number of persons fighting,203,34.96666666666667,158.948650598526
308,2_086_1.mp4,1,82,8,98,106,a certain number of persons fighting,a certain number of persons fighting,294,50.0,243.5707859992981
309,3_078_1.mp4,1,6,0,45,242,a certain number of persons fighting,a certain number of persons fighting,293,50.01663333333333,243.042715549469
310,4_081_1.mp4,1,10,0,43,60,a certain number of persons fighting,a certain number of persons fighting,113,19.966666666666665,88.60344886779785
311,3_095_1.mp4,1,8,10,61,64,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,118.79571747779846
312,1_069_1.mp4,1,61,1,114,57,a certain number of persons fighting,a certain number of persons fighting,233,40.00663333333333,193.5846190452576
313,2_084_1.mp4,1,1,7,64,42,a certain number of persons fighting,a certain number of persons fighting,114,20.0,94.61193084716795
314,1_086_1.mp4,1,2,0,64,77,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,118.8640592098236
315,2_079_1.mp4,1,28,12,44,30,a certain number of persons fighting,a certain number of persons fighting,114,20.0,94.75864934921265
316,4_093_1.mp4,1,19,3,95,26,a certain number of persons fighting,a certain number of persons fighting,143,24.966666666666665,112.27783155441284
317,1_094_1.mp4,1,240,143,0,0,a group of persons playing,a group of persons playing,383,65.03163333333333,317.1503508090973
318,3_101_1.mp4,1,589,248,1,25,a group of persons playing,a group of persons playing,863,145.07826666666668,717.0565891265869
319,4_111_1.mp4,1,227,128,26,2,a group of persons playing,a group of persons playing,383,64.96666666666667,300.19856882095337
320,3_102_1.mp4,1,262,207,0,4,a group of persons playing,a group of persons playing,473,80.04663333333333,392.4742052555084
321,2_090_1.mp4,1,526,548,0,0,a group of persons playing,a group of persons playing,1074,180.0,887.1701076030731
