Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,1,23,5,25,24,a person riding a bicycle,a person riding a bicycle,77,13.966666666666669,87.14549946784973
3_106_1.mp4,1,42,15,1,25,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,112.88823580741882
1_067_1.mp4,1,23,5,1,24,a person riding a bicycle,a person riding a bicycle,53,9.976633333333334,70.84544372558594
1_066_1.mp4,1,25,15,0,43,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,112.63382530212402
2_096_1.mp4,1,39,4,0,41,a person riding a bicycle,a person riding a bicycle,84,15.0,113.95218753814696
4_077_1.mp4,1,39,5,4,11,a person riding a bicycle,a person riding a bicycle,59,10.966666666666669,65.67621731758118
3_105_1.mp4,1,52,8,1,53,a person riding a bicycle,a person riding a bicycle,114,20.053366666666665,155.8056399822235
2_067_1.mp4,1,8,0,21,115,a certain number of persons fighting,a certain number of persons fighting,144,25.0,196.91790175437927
4_082_1.mp4,1,26,0,113,40,a certain number of persons fighting,a certain number of persons fighting,179,30.966666666666665,204.1074562072754
3_079_1.mp4,1,1,0,107,155,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,351.2022531032562
2_065_1.mp4,1,4,0,106,154,a certain number of persons fighting,a certain number of persons fighting,264,45.0,365.6025865077973
1_081_1.mp4,1,4,0,8,59,a certain number of persons fighting,a certain number of persons fighting,71,12.979633333333334,100.77855515480042
3_089_1.mp4,1,0,0,108,65,a certain number of persons fighting,a certain number of persons fighting,173,29.99663333333333,236.59593319892883
1_088_1.mp4,1,17,0,119,127,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,368.3879749774933
2_068_1.mp4,1,0,0,89,115,a certain number of persons fighting,a certain number of persons fighting,204,35.0,295.6234633922577
1_071_1.mp4,1,23,0,42,48,a certain number of persons fighting,a certain number of persons fighting,113,19.986633333333334,153.06040692329407
4_079_1.mp4,1,10,0,100,93,a certain number of persons fighting,a certain number of persons fighting,203,34.96666666666667,230.46537256240845
3_076_1.mp4,1,52,0,123,117,a certain number of persons fighting,a certain number of persons fighting,292,49.78306666666667,395.47451066970825
2_081_1.mp4,1,0,0,84,12,a certain number of persons fighting,a certain number of persons fighting,96,17.0,130.6924204826355
1_072_1.mp4,1,53,0,69,21,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,194.6716685295105
2_077_1.mp4,1,17,0,10,39,a certain number of persons fighting,a certain number of persons fighting,66,12.0,94.11417627334596
4_096_1.mp4,1,0,0,80,51,a certain number of persons fighting,a certain number of persons fighting,131,22.966666666666665,144.63721179962158
2_076_1.mp4,1,0,0,28,116,a certain number of persons fighting,a certain number of persons fighting,144,25.0,216.5989010334015
4_103_1.mp4,1,0,0,69,32,a certain number of persons fighting,a certain number of persons fighting,101,17.966666666666665,109.67387557029724
1_083_1.mp4,1,1,0,26,56,a certain number of persons fighting,a certain number of persons fighting,83,14.981633333333331,112.0620789527893
4_105_1.mp4,1,0,0,46,157,a certain number of persons fighting,a certain number of persons fighting,203,34.96666666666667,238.39133667945865
2_086_1.mp4,1,71,0,109,114,a certain number of persons fighting,a certain number of persons fighting,294,50.0,382.71515417099
3_078_1.mp4,1,1,0,50,242,a certain number of persons fighting,a certain number of persons fighting,293,50.01663333333333,379.096668958664
4_081_1.mp4,1,0,0,8,105,a certain number of persons fighting,a certain number of persons fighting,113,19.966666666666665,140.17706394195557
3_095_1.mp4,1,0,0,69,74,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,185.82555770874023
1_069_1.mp4,1,34,0,137,62,a certain number of persons fighting,a certain number of persons fighting,233,40.00663333333333,302.3717155456543
2_084_1.mp4,1,0,0,61,53,a certain number of persons fighting,a certain number of persons fighting,114,20.0,152.02188348770142
1_086_1.mp4,1,0,0,66,77,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,186.1246621608734
2_079_1.mp4,1,34,0,38,42,a certain number of persons fighting,a certain number of persons fighting,114,20.0,148.58683156967163
4_093_1.mp4,1,0,0,103,40,a certain number of persons fighting,a certain number of persons fighting,143,24.966666666666665,156.4816119670868
1_094_1.mp4,1,237,125,3,18,a group of persons playing,a group of persons playing,383,65.03163333333333,495.7156684398651
3_101_1.mp4,1,482,63,108,210,a group of persons playing,a group of persons playing,863,145.07826666666668,1115.9787573814392
4_111_1.mp4,1,107,15,146,115,a group of persons playing,a group of persons playing,383,64.96666666666667,409.3008327484131
3_102_1.mp4,1,247,73,15,138,a group of persons playing,a group of persons playing,473,80.04663333333333,611.7048463821411
2_090_1.mp4,1,95,8,431,540,a group of persons playing,a group of persons playing,1074,180.0,1392.8648245334623
1_093_1.mp4,1,461,182,69,181,a group of persons playing,a group of persons playing,893,150.11663333333334,1157.6330687999723
2_093_1.mp4,1,20,5,240,119,a group of persons playing,a group of persons playing,384,65.0,496.1322662830353
4_109_1.mp4,1,256,23,193,223,a group of persons playing,a group of persons playing,695,116.96666666666668,741.8963360786438
4_110_1.mp4,1,18,3,17,75,a person running,a person running,113,19.966666666666665,120.48503184318542
3_090_1.mp4,1,2,0,22,89,a person running,a person running,113,19.986633333333334,159.82591009140015
3_093_1.mp4,1,43,14,24,122,a person running,a person running,203,35.00163333333333,263.7733767032624
4_092_1.mp4,1,29,0,5,19,a person running,a person running,53,9.966666666666669,57.3938205242157
2_066_1.mp4,1,56,0,23,35,a person running,a person running,114,20.0,148.80685806274414
4_101_1.mp4,1,8,6,68,55,a person running,a person running,137,23.966666666666665,146.9422800540924
2_094_1.mp4,1,26,41,9,638,a person running,a person running,714,120.0,930.9160676002502
1_068_1.mp4,1,22,1,9,51,a person running,a person running,83,14.981633333333331,107.74925184249878
3_104_1.mp4,1,56,7,12,68,a person running,a person running,143,24.991633333333333,185.28232145309448
3_094_1.mp4,1,21,22,18,82,a person running,a person running,143,24.991633333333333,184.8301486968994
1_077_1.mp4,1,9,9,15,62,a person running,a person running,95,16.983633333333334,123.70045876502992
4_087_1.mp4,1,31,2,22,34,a person running,a person running,89,15.966666666666669,97.47401094436646
2_075_1.mp4,1,9,5,12,58,a person running,a person running,84,15.0,122.80184698104858
4_090_1.mp4,1,12,2,11,28,a person running,a person running,53,9.966666666666669,57.97014808654785
2_085_1.mp4,1,14,13,4,23,a person running,a person running,54,10.0,70.70054340362549
3_085_1.mp4,1,10,14,15,74,a person running,a person running,113,19.986633333333334,146.9566934108734
4_088_1.mp4,1,14,3,16,44,a person running,a person running,77,13.966666666666669,82.71776556968689
1_096_1.mp4,1,17,16,2,18,a person running,a person running,53,9.976633333333334,68.58142805099487
4_080_1.mp4,1,55,5,19,46,a person running,a person running,125,21.966666666666665,134.72675156593323
1_070_1.mp4,1,39,4,1,39,a person running,a person running,83,14.981633333333331,106.8950297832489
4_078_1.mp4,1,26,5,1,21,a person running,a person running,53,9.966666666666669,57.03539752960205
4_104_1.mp4,1,14,0,2,13,a person running,a person running,29,5.966666666666667,31.22179293632508
2_073_1.mp4,1,4,23,24,213,a person running,a person running,264,45.0,345.31234860420227
4_112_1.mp4,1,18,2,9,36,a person running,a person running,65,11.966666666666669,69.83343076705933
2_095_1.mp4,1,39,3,8,34,a person running,a person running,84,15.0,108.7062532901764
3_077_1.mp4,1,67,9,4,93,a person running,a person running,173,29.99663333333333,222.96426463127136
2_064_1.mp4,1,16,6,22,40,a person running,a person running,84,15.0,109.1758062839508
