Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,1,48,29,0,0,a person riding a bicycle,a person riding a bicycle,77,13.966666666666669,65.7511785030365
3_106_1.mp4,1,47,3,4,29,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,73.86485481262207
1_067_1.mp4,1,23,18,1,11,a person riding a bicycle,a person riding a bicycle,53,9.976633333333334,47.78566861152649
1_066_1.mp4,1,25,55,0,3,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,75.64703297615051
2_096_1.mp4,1,39,44,0,1,a person riding a bicycle,a person riding a bicycle,84,15.0,74.91512680053711
4_077_1.mp4,1,43,16,0,0,a person riding a bicycle,a person riding a bicycle,59,10.966666666666669,50.53572034835816
3_105_1.mp4,1,53,58,0,3,a person riding a bicycle,a person riding a bicycle,114,20.053366666666665,104.08462572097778
2_067_1.mp4,1,29,115,0,0,a certain number of persons fighting,a certain number of persons fighting,144,25.0,128.6157202720642
4_082_1.mp4,1,154,25,0,0,a certain number of persons fighting,a certain number of persons fighting,179,30.966666666666665,150.25252413749695
3_079_1.mp4,1,108,155,0,0,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,230.85849285125727
2_065_1.mp4,1,131,133,0,0,a certain number of persons fighting,a certain number of persons fighting,264,45.0,231.01735305786133
1_081_1.mp4,1,28,43,0,0,a certain number of persons fighting,a certain number of persons fighting,71,12.979633333333334,62.52243065834045
3_089_1.mp4,1,116,57,0,0,a certain number of persons fighting,a certain number of persons fighting,173,29.99663333333333,151.62414646148682
1_088_1.mp4,1,163,100,0,0,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,230.5194935798645
2_068_1.mp4,1,111,93,0,0,a certain number of persons fighting,a certain number of persons fighting,204,35.0,178.41108584403992
1_071_1.mp4,1,65,48,0,0,a certain number of persons fighting,a certain number of persons fighting,113,19.986633333333334,99.05386281013487
4_079_1.mp4,1,123,80,0,0,a certain number of persons fighting,a certain number of persons fighting,203,34.96666666666667,167.73993301391602
3_076_1.mp4,1,175,117,0,0,a certain number of persons fighting,a certain number of persons fighting,292,49.78306666666667,255.43873572349548
2_081_1.mp4,1,85,11,0,0,a certain number of persons fighting,a certain number of persons fighting,96,17.0,84.31645607948303
1_072_1.mp4,1,123,20,0,0,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,125.41363883018494
2_077_1.mp4,1,28,38,0,0,a certain number of persons fighting,a certain number of persons fighting,66,12.0,58.17638611793518
4_096_1.mp4,1,80,51,0,0,a certain number of persons fighting,a certain number of persons fighting,131,22.966666666666665,108.34609532356262
2_076_1.mp4,1,64,80,0,0,a certain number of persons fighting,a certain number of persons fighting,144,25.0,126.09738945961
4_103_1.mp4,1,69,32,0,0,a certain number of persons fighting,a certain number of persons fighting,101,17.966666666666665,83.61003422737122
1_083_1.mp4,1,42,41,0,0,a certain number of persons fighting,a certain number of persons fighting,83,14.981633333333331,73.02424430847168
4_105_1.mp4,1,103,100,0,0,a certain number of persons fighting,a certain number of persons fighting,203,34.96666666666667,167.4695701599121
2_086_1.mp4,1,179,114,1,0,a certain number of persons fighting,a certain number of persons fighting,294,50.0,256.40334701538086
3_078_1.mp4,1,51,242,0,0,a certain number of persons fighting,a certain number of persons fighting,293,50.01663333333333,255.91171288490293
4_081_1.mp4,1,53,60,0,0,a certain number of persons fighting,a certain number of persons fighting,113,19.966666666666665,93.25379276275636
3_095_1.mp4,1,69,74,0,0,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,125.30803966522215
1_069_1.mp4,1,175,58,0,0,a certain number of persons fighting,a certain number of persons fighting,233,40.00663333333333,203.61254405975345
2_084_1.mp4,1,65,49,0,0,a certain number of persons fighting,a certain number of persons fighting,114,20.0,99.72406268119812
1_086_1.mp4,1,66,77,0,0,a certain number of persons fighting,a certain number of persons fighting,143,24.991633333333333,125.02906012535097
2_079_1.mp4,1,72,42,0,0,a certain number of persons fighting,a certain number of persons fighting,114,20.0,99.86710214614868
4_093_1.mp4,1,114,29,0,0,a certain number of persons fighting,a certain number of persons fighting,143,24.966666666666665,117.9150869846344
1_094_1.mp4,1,240,143,0,0,a group of persons playing,a group of persons playing,383,65.03163333333333,334.4256229400635
3_101_1.mp4,1,590,273,0,0,a group of persons playing,a group of persons playing,863,145.07826666666668,755.7207992076874
4_111_1.mp4,1,253,130,0,0,a group of persons playing,a group of persons playing,383,64.96666666666667,316.4735655784607
3_102_1.mp4,1,262,211,0,0,a group of persons playing,a group of persons playing,473,80.04663333333333,413.3370740413666
2_090_1.mp4,1,526,548,0,0,a group of persons playing,a group of persons playing,1074,180.0,939.2252967357635
1_093_1.mp4,1,530,363,0,0,a group of persons playing,a group of persons playing,893,150.11663333333334,782.3892984390259
2_093_1.mp4,1,260,124,0,0,a group of persons playing,a group of persons playing,384,65.0,336.3302855491638
4_109_1.mp4,1,449,246,0,0,a group of persons playing,a group of persons playing,695,116.96666666666668,574.259651184082
4_110_1.mp4,1,34,31,1,47,a person running,a person running,113,19.966666666666665,93.50999712944032
3_090_1.mp4,1,3,25,26,59,a person running,a person running,113,19.986633333333334,99.21163988113403
