Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,0,7,0,41,29,a video of a person riding a bicycle,,77,13.966666666666667,18.675485849380493
3_106_1.mp4,0,23,0,4,3,a video of a person riding a bicycle,,30,14.981633333333333,16.1561119556427
1_067_1.mp4,0,14,0,7,0,a video of a person riding a bicycle,,21,9.976633333333334,10.891173839569092
1_066_1.mp4,0,14,0,11,19,a video of a person riding a bicycle,,44,14.981633333333333,17.406310081481934
2_096_1.mp4,0,21,0,17,21,a video of a person riding a bicycle,,59,15.0,18.925223112106323
4_077_1.mp4,0,14,0,14,5,a video of a person riding a bicycle,,33,10.966666666666667,11.501006126403809
3_105_1.mp4,0,8,0,37,16,a video of a person riding a bicycle,,61,20.053366666666665,23.513339281082153
2_067_1.mp4,0,0,0,29,115,a video of a certain number of persons fighting,,144,25.0,35.23336434364319
4_082_1.mp4,0,0,0,152,25,a video of a certain number of persons fighting,,177,30.966666666666665,37.15261960029602
3_079_1.mp4,0,0,0,101,114,a video of a certain number of persons fighting,,215,45.011633333333336,59.82097601890564
2_065_1.mp4,0,0,0,131,129,a video of a certain number of persons fighting,,260,45.0,63.179911613464355
1_081_1.mp4,0,0,0,28,4,a video of a certain number of persons fighting,,32,12.979633333333334,14.459670066833496
3_089_1.mp4,0,0,0,108,9,a video of a certain number of persons fighting,,117,29.996633333333335,37.50215220451355
1_088_1.mp4,0,0,0,163,100,a video of a certain number of persons fighting,,263,45.011633333333336,63.29094624519348
2_068_1.mp4,0,0,0,101,69,a video of a certain number of persons fighting,,170,35.0,46.57326602935791
1_071_1.mp4,0,0,0,65,48,a video of a certain number of persons fighting,,113,19.986633333333334,27.94512128829956
4_079_1.mp4,0,0,0,122,80,a video of a certain number of persons fighting,,202,34.96666666666667,41.70577955245972
3_076_1.mp4,0,0,0,171,116,a video of a certain number of persons fighting,,287,49.78306666666667,70.09434509277344
2_081_1.mp4,0,0,0,85,11,a video of a certain number of persons fighting,,96,17.0,23.851462364196777
1_072_1.mp4,0,0,0,115,18,a video of a certain number of persons fighting,,133,24.991633333333333,34.23661732673645
2_077_1.mp4,0,0,0,28,38,a video of a certain number of persons fighting,,66,12.0,16.6684148311615
4_096_1.mp4,0,0,0,79,51,a video of a certain number of persons fighting,,130,22.966666666666665,27.41257333755493
2_076_1.mp4,0,0,0,59,58,a video of a certain number of persons fighting,,117,25.0,32.86987233161926
4_103_1.mp4,0,0,0,69,32,a video of a certain number of persons fighting,,101,17.966666666666665,21.517189025878906
1_083_1.mp4,0,0,0,42,33,a video of a certain number of persons fighting,,75,14.981633333333333,19.929701566696167
4_105_1.mp4,0,0,0,96,73,a video of a certain number of persons fighting,,169,34.96666666666667,39.89777088165283
2_086_1.mp4,0,0,0,180,114,a video of a certain number of persons fighting,,294,50.0,70.68205165863037
3_078_1.mp4,0,0,0,51,241,a video of a certain number of persons fighting,,292,50.01663333333333,70.87666034698486
4_081_1.mp4,0,0,0,53,60,a video of a certain number of persons fighting,,113,19.966666666666665,23.829503536224365
3_095_1.mp4,0,0,0,69,74,a video of a certain number of persons fighting,,143,24.991633333333333,35.36665964126587
1_069_1.mp4,0,0,0,173,58,a video of a certain number of persons fighting,,231,40.00663333333333,55.56062436103821
2_084_1.mp4,0,0,0,65,49,a video of a certain number of persons fighting,,114,20.0,28.129087924957275
1_086_1.mp4,0,0,0,66,77,a video of a certain number of persons fighting,,143,24.991633333333333,34.86552858352661
2_079_1.mp4,0,0,0,72,42,a video of a certain number of persons fighting,,114,20.0,28.166154384613037
4_093_1.mp4,0,0,0,114,29,a video of a certain number of persons fighting,,143,24.966666666666665,29.842007160186768
1_094_1.mp4,0,121,20,119,123,a video of a group of persons playing,,383,65.03163333333333,93.18058562278748
3_101_1.mp4,0,2,0,588,273,a video of a group of persons playing,,863,145.07826666666668,207.2334749698639
4_111_1.mp4,0,0,0,253,130,a video of a group of persons playing,,383,64.96666666666667,78.8124635219574
3_102_1.mp4,0,12,0,250,211,a video of a group of persons playing,,473,80.04663333333333,115.34996581077576
2_090_1.mp4,0,0,0,524,507,a video of a group of persons playing,,1031,180.0,251.77799916267395
1_093_1.mp4,0,19,24,511,339,a video of a group of persons playing,,893,150.11663333333334,211.36577081680298
2_093_1.mp4,0,0,0,260,124,a video of a group of persons playing,,384,65.0,92.37847590446472
4_109_1.mp4,0,0,0,449,245,a video of a group of persons playing,,694,116.96666666666667,141.63685727119446
4_110_1.mp4,0,0,0,30,77,a video of a person running,,107,19.966666666666665,23.611902475357056
3_090_1.mp4,0,6,51,2,10,a video of a person running,,69,19.986633333333334,24.255075454711914
3_093_1.mp4,0,52,74,15,34,a video of a person running,,175,35.00163333333333,46.80216574668884
4_092_1.mp4,0,2,0,32,19,a video of a person running,,53,9.966666666666667,11.661597490310669
2_066_1.mp4,0,17,0,62,24,a video of a person running,,103,20.0,27.065645456314087
4_101_1.mp4,0,0,6,75,55,a video of a person running,,136,23.966666666666665,28.39574956893921
2_094_1.mp4,0,21,163,13,367,a video of a person running,,564,120.0,157.1795690059662
1_068_1.mp4,0,0,0,31,41,a video of a person running,,72,14.981633333333333,19.697028875350952
3_104_1.mp4,0,66,62,2,9,a video of a person running,,139,24.991633333333333,34.71661448478699
3_094_1.mp4,0,16,28,23,69,a video of a person running,,136,24.991633333333333,34.77395415306091
1_077_1.mp4,0,4,6,14,52,a video of a person running,,76,16.983633333333334,21.689584970474243
4_087_1.mp4,0,0,0,53,36,a video of a person running,,89,15.966666666666667,18.81010365486145
2_075_1.mp4,0,0,0,17,0,a video of a person running,,17,15.0,15.333515167236328
4_090_1.mp4,0,0,0,23,29,a video of a person running,,52,9.966666666666667,11.627040147781372
2_085_1.mp4,0,4,0,14,36,a video of a person running,,54,10.0,13.710636377334595
3_085_1.mp4,0,7,22,18,66,a video of a person running,,113,19.986633333333334,27.916738271713257
4_088_1.mp4,0,13,16,17,31,a video of a person running,,77,13.966666666666667,16.441444873809814
1_096_1.mp4,0,5,5,5,8,a video of a person running,,23,9.976633333333334,10.916430234909058
4_080_1.mp4,0,3,1,71,50,a video of a person running,,125,21.966666666666665,26.15074896812439
1_070_1.mp4,0,16,0,18,21,a video of a person running,,55,14.981633333333333,18.17703676223755
4_078_1.mp4,0,2,1,25,25,a video of a person running,,53,9.966666666666667,11.696001768112183
4_104_1.mp4,0,0,0,16,13,a video of a person running,,29,5.966666666666667,6.85183310508728
2_073_1.mp4,0,1,40,27,147,a video of a person running,,215,45.0,59.53590154647827
4_112_1.mp4,0,0,0,27,38,a video of a person running,,65,11.966666666666667,14.19609808921814
