Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,0,7,0,41,29,a video of a person riding a bicycle,,77,13.966666666666667,19.042811393737793
3_106_1.mp4,0,23,0,4,3,a video of a person riding a bicycle,,30,14.981633333333333,16.284244298934937
1_067_1.mp4,0,14,0,7,0,a video of a person riding a bicycle,,21,9.976633333333334,10.816575527191162
1_066_1.mp4,0,14,0,11,19,a video of a person riding a bicycle,,44,14.981633333333333,17.339781999588013
2_096_1.mp4,0,21,0,17,21,a video of a person riding a bicycle,,59,15.0,18.689733266830444
4_077_1.mp4,0,14,0,14,5,a video of a person riding a bicycle,,33,10.966666666666667,11.620359897613525
3_105_1.mp4,0,8,0,37,16,a video of a person riding a bicycle,,61,20.053366666666665,23.670925617218018
2_067_1.mp4,0,0,0,29,115,a video of multiple people engaged in a physical fight,,144,25.0,35.49829435348511
4_082_1.mp4,0,2,0,150,25,a video of multiple people engaged in a physical fight,,177,30.966666666666665,37.65507769584656
3_079_1.mp4,0,0,0,101,114,a video of multiple people engaged in a physical fight,,215,45.011633333333336,60.263509035110474
2_065_1.mp4,0,0,0,131,129,a video of multiple people engaged in a physical fight,,260,45.0,63.74282789230347
1_081_1.mp4,0,0,0,28,4,a video of multiple people engaged in a physical fight,,32,12.979633333333334,14.573893070220947
3_089_1.mp4,0,0,0,108,9,a video of multiple people engaged in a physical fight,,117,29.996633333333335,37.83796763420105
1_088_1.mp4,0,0,0,163,100,a video of multiple people engaged in a physical fight,,263,45.011633333333336,63.684327840805054
2_068_1.mp4,0,0,0,101,69,a video of multiple people engaged in a physical fight,,170,35.0,47.01728534698486
1_071_1.mp4,0,0,0,65,48,a video of multiple people engaged in a physical fight,,113,19.986633333333334,28.06762385368347
4_079_1.mp4,0,0,0,122,80,a video of multiple people engaged in a physical fight,,202,34.96666666666667,42.619932889938354
3_076_1.mp4,0,6,0,165,116,a video of multiple people engaged in a physical fight,,287,49.78306666666667,70.39990186691284
2_081_1.mp4,0,0,0,85,11,a video of multiple people engaged in a physical fight,,96,17.0,24.194477796554565
1_072_1.mp4,0,11,0,104,18,a video of multiple people engaged in a physical fight,,133,24.991633333333333,34.34814453125
2_077_1.mp4,0,0,0,28,38,a video of multiple people engaged in a physical fight,,66,12.0,16.86336874961853
4_096_1.mp4,0,0,0,79,51,a video of multiple people engaged in a physical fight,,130,22.966666666666665,28.007561922073364
2_076_1.mp4,0,0,0,59,58,a video of multiple people engaged in a physical fight,,117,25.0,33.26626133918762
