Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,0,21,0,27,29,a photo of a person riding a bicycle,,1,13.966666666666667,28.680213928222656
3_106_1.mp4,0,20,0,7,3,a photo of a person riding a bicycle,,1,14.981633333333333,21.71985149383545
1_067_1.mp4,0,15,0,6,0,a photo of a person riding a bicycle,,1,9.976633333333334,14.587438106536865
1_066_1.mp4,0,16,0,9,19,a photo of a person riding a bicycle,,1,14.981633333333333,24.294375896453857
2_096_1.mp4,0,22,0,16,21,a photo of a person riding a bicycle,,1,15.0,26.777841329574585
4_077_1.mp4,0,25,0,3,5,a photo of a person riding a bicycle,,1,10.966666666666667,15.89682650566101
3_105_1.mp4,0,9,0,36,16,a photo of a person riding a bicycle,,1,20.053366666666665,32.7866325378418
2_067_1.mp4,0,0,0,29,115,a photo of a certain number of persons fighting,,1,25.0,54.462318658828735
4_082_1.mp4,0,0,0,152,25,a photo of a certain number of persons fighting,,1,30.966666666666665,58.32942032814026
3_079_1.mp4,0,0,11,101,103,a photo of a certain number of persons fighting,,1,45.011633333333336,89.41765999794006
2_065_1.mp4,0,0,0,131,129,a photo of a certain number of persons fighting,,1,45.0,97.09285831451416
1_081_1.mp4,0,0,0,28,4,a photo of a certain number of persons fighting,,1,12.979633333333334,19.522037744522095
3_089_1.mp4,0,0,0,108,9,a photo of a certain number of persons fighting,,1,29.996633333333335,54.19057607650757
1_088_1.mp4,0,0,0,163,100,a photo of a certain number of persons fighting,,1,45.011633333333336,98.10911822319031
2_068_1.mp4,0,0,0,101,69,a photo of a certain number of persons fighting,,1,35.0,69.50110077857971
1_071_1.mp4,0,0,0,65,48,a photo of a certain number of persons fighting,,1,19.986633333333334,42.63495635986328
4_079_1.mp4,0,0,0,122,80,a photo of a certain number of persons fighting,,1,34.96666666666667,66.52259755134583
3_076_1.mp4,0,0,0,171,116,a photo of a certain number of persons fighting,,1,49.78306666666667,108.157155752182
2_081_1.mp4,0,0,0,85,11,a photo of a certain number of persons fighting,,1,17.0,36.43282389640808
1_072_1.mp4,0,0,0,115,18,a photo of a certain number of persons fighting,,1,24.991633333333333,52.40754413604736
2_077_1.mp4,0,0,1,28,37,a photo of a certain number of persons fighting,,1,12.0,25.572784662246704
4_096_1.mp4,0,0,0,79,51,a photo of a certain number of persons fighting,,1,22.966666666666665,43.902937173843384
2_076_1.mp4,0,1,0,58,58,a photo of a certain number of persons fighting,,1,25.0,48.774662494659424
4_103_1.mp4,0,0,0,69,32,a photo of a certain number of persons fighting,,1,17.966666666666665,34.284427642822266
1_083_1.mp4,0,0,0,42,33,a photo of a certain number of persons fighting,,1,14.981633333333333,30.0407772064209
4_105_1.mp4,0,0,0,96,73,a photo of a certain number of persons fighting,,1,34.96666666666667,61.367576599121094
2_086_1.mp4,0,0,0,180,114,a photo of a certain number of persons fighting,,1,50.0,109.81639909744263
