Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,0,20,0,28,29,a video of a person riding a bicycle,,77,13.966666666666669,18.687562227249146
3_106_1.mp4,0,16,0,11,3,a video of a person riding a bicycle,,30,14.981633333333331,17.4295711517334
1_067_1.mp4,0,14,0,7,0,a video of a person riding a bicycle,,21,9.976633333333334,11.827508687973022
1_066_1.mp4,0,15,0,10,19,a video of a person riding a bicycle,,44,14.981633333333331,19.3676233291626
2_096_1.mp4,0,14,0,24,21,a video of a person riding a bicycle,,59,15.0,20.89305686950684
4_077_1.mp4,0,25,0,3,5,a video of a person riding a bicycle,,33,10.966666666666669,11.879441499710085
3_105_1.mp4,0,10,0,35,16,a video of a person riding a bicycle,,61,20.053366666666665,26.383387088775635
2_067_1.mp4,0,0,0,29,115,a video of a certain number of persons fighting,,144,25.0,40.30448651313782
4_082_1.mp4,0,0,0,152,25,a video of a certain number of persons fighting,,177,30.966666666666665,38.59580993652344
3_079_1.mp4,0,0,0,101,114,a video of a certain number of persons fighting,,215,45.011633333333336,67.06892156600952
2_065_1.mp4,0,0,0,131,129,a video of a certain number of persons fighting,,260,45.0,72.01838827133179
1_081_1.mp4,0,0,0,28,4,a video of a certain number of persons fighting,,32,12.979633333333334,15.56031894683838
3_089_1.mp4,0,0,0,108,9,a video of a certain number of persons fighting,,117,29.99663333333333,41.173014402389526
1_088_1.mp4,0,0,0,163,100,a video of a certain number of persons fighting,,263,45.011633333333336,71.64165687561035
2_068_1.mp4,0,0,0,101,69,a video of a certain number of persons fighting,,170,35.0,52.05561208724976
1_071_1.mp4,0,0,0,65,48,a video of a certain number of persons fighting,,113,19.986633333333334,32.72769021987915
4_079_1.mp4,0,0,0,122,80,a video of a certain number of persons fighting,,202,34.96666666666667,43.620705127716064
3_076_1.mp4,0,0,0,171,116,a video of a certain number of persons fighting,,287,49.78306666666667,80.92661786079407
2_081_1.mp4,0,0,0,85,11,a video of a certain number of persons fighting,,96,17.0,27.329418897628784
1_072_1.mp4,0,0,0,115,18,a video of a certain number of persons fighting,,133,24.991633333333333,40.24232077598572
2_077_1.mp4,0,0,0,28,38,a video of a certain number of persons fighting,,66,12.0,19.47546935081482
4_096_1.mp4,0,0,0,79,51,a video of a certain number of persons fighting,,130,22.966666666666665,28.854856491088867
2_076_1.mp4,0,0,0,59,58,a video of a certain number of persons fighting,,117,25.0,37.38238334655762
4_103_1.mp4,0,0,0,69,32,a video of a certain number of persons fighting,,101,17.966666666666665,22.34453058242798
1_083_1.mp4,0,0,0,42,33,a video of a certain number of persons fighting,,75,14.981633333333331,22.54599547386169
4_105_1.mp4,0,0,0,96,73,a video of a certain number of persons fighting,,169,34.96666666666667,41.00827264785767
2_086_1.mp4,0,0,0,180,114,a video of a certain number of persons fighting,,294,50.0,82.32717871665955
3_078_1.mp4,0,0,0,51,241,a video of a certain number of persons fighting,,292,50.01663333333333,85.0454580783844
4_081_1.mp4,0,0,0,53,60,a video of a certain number of persons fighting,,113,19.966666666666665,24.834381103515625
3_095_1.mp4,0,0,0,69,74,a video of a certain number of persons fighting,,143,24.991633333333333,40.86358571052551
1_069_1.mp4,0,0,0,173,58,a video of a certain number of persons fighting,,231,40.00663333333333,65.20640468597412
