Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,1,20,0,20,25,a video of a person riding a bicycle,,78,13.966666666666667,44.562843561172485
3_106_1.mp4,1,16,0,11,3,a video of a person riding a bicycle,,31,14.981633333333333,29.92500376701355
1_067_1.mp4,1,14,0,7,0,a video of a person riding a bicycle,,22,9.976633333333334,22.79969549179077
1_066_1.mp4,1,15,0,10,19,a video of a person riding a bicycle,,45,14.981633333333333,30.24231195449829
2_096_1.mp4,1,14,0,24,21,a video of a person riding a bicycle,,60,15.0,30.77089214324951
4_077_1.mp4,1,22,0,3,5,a video of a person riding a bicycle,,34,10.966666666666667,31.893739700317383
3_105_1.mp4,1,10,0,33,12,a video of a person riding a bicycle,,62,20.053366666666665,38.21644878387451
2_067_1.mp4,1,0,0,29,115,a video of a certain number of persons fighting,,145,25.0,37.00089716911316
4_082_1.mp4,1,0,0,122,10,a video of a certain number of persons fighting,,178,30.966666666666665,103.69694781303406
3_079_1.mp4,1,0,0,32,17,a video of a certain number of persons fighting,,216,45.011633333333336,215.98250579833984
2_065_1.mp4,1,0,0,131,114,a video of a certain number of persons fighting,,261,45.0,76.18553113937378
1_081_1.mp4,1,0,0,28,4,a video of a certain number of persons fighting,,33,12.979633333333334,14.501086950302124
3_089_1.mp4,1,0,0,108,9,a video of a certain number of persons fighting,,118,29.996633333333335,37.613181352615356
1_088_1.mp4,1,0,0,163,100,a video of a certain number of persons fighting,,264,45.011633333333336,63.49984264373779
2_068_1.mp4,1,0,0,101,69,a video of a certain number of persons fighting,,171,35.0,46.71739172935486
1_071_1.mp4,1,0,0,65,48,a video of a certain number of persons fighting,,114,19.986633333333334,28.04711127281189
4_079_1.mp4,1,0,0,97,70,a video of a certain number of persons fighting,,203,34.96666666666667,97.03911828994751
3_076_1.mp4,1,0,0,145,112,a video of a certain number of persons fighting,,288,49.78306666666667,137.81497311592102
2_081_1.mp4,1,0,0,85,11,a video of a certain number of persons fighting,,97,17.0,24.01598834991455
1_072_1.mp4,1,0,0,115,18,a video of a certain number of persons fighting,,134,24.991633333333333,44.55568504333496
2_077_1.mp4,1,0,0,25,38,a video of a certain number of persons fighting,,67,12.0,36.751179695129395
4_096_1.mp4,1,0,0,79,51,a video of a certain number of persons fighting,,131,22.966666666666665,29.100147008895874
2_076_1.mp4,1,0,0,59,58,a video of a certain number of persons fighting,,118,25.0,33.132922887802124
4_103_1.mp4,1,0,0,69,32,a video of a certain number of persons fighting,,102,17.966666666666665,21.62644910812378
1_083_1.mp4,1,0,0,42,33,a video of a certain number of persons fighting,,76,14.981633333333333,20.165994882583618
4_105_1.mp4,1,0,0,96,73,a video of a certain number of persons fighting,,170,34.96666666666667,40.82270097732544
