Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,2,0,0,34,0,a video of a person riding a bicycle on the street,,34,29.16,27.53372287750244
000289.avi,2,20,0,34,0,a video of a person riding a bicycle on the street,,54,49.96,60.09911513328552
4_076_1.mp4,2,8,0,14,0,a video of a person riding a bicycle on the street,,22,13.966666666666667,20.01571035385132
000326.avi,2,0,0,24,0,a video of a person riding a bicycle on the street,,24,32.68,27.253586530685425
000313.avi,2,0,0,15,0,a video of a person riding a bicycle on the street,,15,42.44,34.084412574768066
000325.avi,2,0,0,24,0,a video of a person riding a bicycle on the street,,24,29.36,24.84407329559326
000345.avi,2,0,0,1,0,a video of a person riding a bicycle on the street,,1,29.44,23.306246280670166
3_106_1.mp4,2,24,0,1,0,a video of a person riding a bicycle on the street,,25,14.981633333333333,36.17876148223877
D013_03.avi,2,10,0,20,0,a video of a person riding a bicycle on the street,,30,66.04,61.172526597976685
000296.avi,2,10,0,2,0,a video of a person riding a bicycle on the street,,13,38.24,40.632471799850464
1_067_1.mp4,2,14,0,7,0,a video of a person riding a bicycle on the street,,21,9.976633333333334,22.438243865966797
D047_05.avi,2,6,0,0,0,a video of a person riding a bicycle on the street,,6,12.04,14.893986463546753
1_066_1.mp4,2,14,0,8,0,a video of a person riding a bicycle on the street,,22,14.981633333333333,27.751338243484497
000253.avi,2,0,0,30,0,a video of a person riding a bicycle on the street,,30,29.04,25.642507076263428
D235_01.avi,2,34,0,0,0,a video of a person riding a bicycle on the street,,34,64.04,81.42994856834412
D013_02.avi,2,16,0,38,1,a video of a person riding a bicycle on the street,,55,100.04,94.50164031982422
000324.avi,2,3,0,20,0,a video of a person riding a bicycle on the street,,23,34.24,31.209203481674194
2_096_1.mp4,2,22,0,13,0,a video of a person riding a bicycle on the street,,35,15.0,35.543262243270874
4_077_1.mp4,2,17,0,9,0,a video of a person riding a bicycle on the street,,26,10.966666666666667,25.066117525100708
000270.avi,2,0,0,34,0,a video of a person riding a bicycle on the street,,34,25.8,23.048225164413452
D235_07.avi,2,39,0,0,0,a video of a person riding a bicycle on the street,,39,98.04,112.06500935554504
3_105_1.mp4,2,24,0,0,0,a video of a person riding a bicycle on the street,,24,20.053366666666665,41.36407232284546
000318.avi,2,0,0,44,0,a video of a person riding a bicycle on the street,,44,25.36,24.076989889144897
2_067_1.mp4,2,0,0,24,58,a video of multiple people engaged in a physical fight,,82,25.0,30.079282522201538
4_082_1.mp4,2,2,0,79,0,a video of multiple people engaged in a physical fight,,81,30.966666666666665,33.97901892662048
000211.avi,2,4,0,140,93,a video of multiple people engaged in a physical fight,,240,57.08,73.07973074913025
3_079_1.mp4,2,0,0,87,51,a video of multiple people engaged in a physical fight,,138,45.011633333333336,54.276827335357666
2_065_1.mp4,2,0,0,50,10,a video of multiple people engaged in a physical fight,,60,45.0,47.07520318031311
1_081_1.mp4,2,0,0,26,0,a video of multiple people engaged in a physical fight,,26,12.979633333333334,14.356604099273682
3_089_1.mp4,2,0,0,56,1,a video of multiple people engaged in a physical fight,,57,29.996633333333335,33.31795620918274
D076_05.avi,2,0,0,82,110,a video of multiple people engaged in a physical fight,,192,70.04,71.40805745124817
D043_01.avi,2,0,0,59,57,a video of multiple people engaged in a physical fight,,116,86.04,77.27380895614624
1_088_1.mp4,2,0,0,88,47,a video of multiple people engaged in a physical fight,,135,45.011633333333336,53.12531304359436
2_068_1.mp4,2,0,0,39,9,a video of multiple people engaged in a physical fight,,48,35.0,36.61396050453186
000213.avi,2,147,0,43,41,a video of multiple people engaged in a physical fight,,248,62.72,278.9071578979492
