Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,2,3,0,31,0,a video of a person riding a bicycle,,34,29.16,31.090041399002075
000289.avi,2,26,0,28,0,a video of a person riding a bicycle,,54,49.96,64.4586672782898
4_076_1.mp4,2,6,0,16,0,a video of a person riding a bicycle,,22,13.966666666666669,18.64143395423889
000326.avi,2,0,0,24,0,a video of a person riding a bicycle,,24,32.68,27.799190759658813
000313.avi,2,0,0,15,0,a video of a person riding a bicycle,,15,42.44,34.76552629470825
000325.avi,2,0,0,24,0,a video of a person riding a bicycle,,24,29.36,25.367085456848145
000345.avi,2,0,0,1,0,a video of a person riding a bicycle,,1,29.44,23.52910423278809
3_106_1.mp4,2,23,0,2,0,a video of a person riding a bicycle,,25,14.981633333333331,35.60579228401184
D013_03.avi,2,0,0,30,0,a video of a person riding a bicycle,,30,66.04,53.11472487449646
000296.avi,2,13,0,0,0,a video of a person riding a bicycle,,13,38.24,41.82772850990296
1_067_1.mp4,2,14,0,7,0,a video of a person riding a bicycle,,21,9.976633333333334,22.825892686843872
D047_05.avi,2,6,0,0,0,a video of a person riding a bicycle,,6,12.04,14.689790487289429
1_066_1.mp4,2,14,0,8,0,a video of a person riding a bicycle,,22,14.981633333333331,27.56683135032653
000253.avi,2,0,0,30,0,a video of a person riding a bicycle,,30,29.04,25.8764169216156
D235_01.avi,2,18,0,16,0,a video of a person riding a bicycle,,34,64.04,67.42345714569092
D013_02.avi,2,0,0,54,1,a video of a person riding a bicycle,,55,100.04,81.38232898712158
000324.avi,2,4,0,19,0,a video of a person riding a bicycle,,23,34.24,32.45423436164856
2_096_1.mp4,2,21,0,14,0,a video of a person riding a bicycle,,35,15.0,34.7027690410614
4_077_1.mp4,2,14,0,12,0,a video of a person riding a bicycle,,26,10.966666666666669,22.8758225440979
000270.avi,2,0,0,34,0,a video of a person riding a bicycle,,34,25.8,23.398680210113525
D235_07.avi,2,9,0,30,0,a video of a person riding a bicycle,,39,98.04,87.86160206794739
3_105_1.mp4,2,13,0,11,0,a video of a person riding a bicycle,,24,20.053366666666665,31.555429220199585
000318.avi,2,0,0,44,0,a video of a person riding a bicycle,,44,25.36,23.74483823776245
2_067_1.mp4,2,0,0,24,58,a video of a certain number of persons fighting,,82,25.0,30.210896968841556
4_082_1.mp4,2,0,0,81,0,a video of a certain number of persons fighting,,81,30.966666666666665,32.78788232803345
000211.avi,2,0,0,147,93,a video of a certain number of persons fighting,,240,57.08,66.46230506896973
3_079_1.mp4,2,0,0,87,51,a video of a certain number of persons fighting,,138,45.011633333333336,56.40045356750488
2_065_1.mp4,2,0,0,50,10,a video of a certain number of persons fighting,,60,45.0,47.72834396362305
1_081_1.mp4,2,0,0,26,0,a video of a certain number of persons fighting,,26,12.979633333333334,14.398271322250366
3_089_1.mp4,2,0,0,56,1,a video of a certain number of persons fighting,,57,29.99663333333333,33.94842886924744
D076_05.avi,2,0,0,82,110,a video of a certain number of persons fighting,,192,70.04,73.7096254825592
D043_01.avi,2,0,0,59,57,a video of a certain number of persons fighting,,116,86.04,78.5035490989685
1_088_1.mp4,2,0,0,88,47,a video of a certain number of persons fighting,,135,45.011633333333336,55.631678342819214
2_068_1.mp4,2,0,0,39,9,a video of a certain number of persons fighting,,48,35.0,37.69767785072327
000213.avi,2,12,0,195,41,a video of a certain number of persons fighting,,248,62.72,85.41648244857788
000266.avi,2,36,0,155,74,a video of a certain number of persons fighting,,265,54.32,111.8472969532013
1_071_1.mp4,2,0,0,28,14,a video of a certain number of persons fighting,,42,19.986633333333334,22.51538348197937
D031_01.avi,2,0,0,128,84,a video of a certain number of persons fighting,,212,81.04,94.75804138183594
4_079_1.mp4,2,0,0,63,51,a video of a certain number of persons fighting,,114,34.96666666666667,38.87186932563782
3_076_1.mp4,2,0,0,100,16,a video of a certain number of persons fighting,,117,49.78306666666667,58.71576285362244
2_081_1.mp4,2,0,0,5,2,a video of a certain number of persons fighting,,7,17.0,16.678162574768066
000278.avi,2,0,0,81,23,a video of a certain number of persons fighting,,104,24.52,29.000097513198853
1_072_1.mp4,2,0,0,103,12,a video of a certain number of persons fighting,,115,24.991633333333333,34.80538845062256
2_077_1.mp4,2,0,0,22,23,a video of a certain number of persons fighting,,45,12.0,15.714726448059082
4_096_1.mp4,2,0,0,46,6,a video of a certain number of persons fighting,,52,22.966666666666665,24.146212339401245
000321.avi,2,0,0,73,73,a video of a certain number of persons fighting,,146,33.52,39.72535109519959
2_076_1.mp4,2,0,0,15,7,a video of a certain number of persons fighting,,22,25.0,25.070887088775635
4_103_1.mp4,2,0,0,61,27,a video of a certain number of persons fighting,,88,17.966666666666665,21.04697203636169
000251.avi,2,0,0,251,46,a video of a certain number of persons fighting,,297,60.8,72.49698448181152
1_083_1.mp4,2,0,0,18,0,a video of a certain number of persons fighting,,18,14.981633333333331,15.203355550765991
4_105_1.mp4,2,0,0,37,0,a video of a certain number of persons fighting,,37,34.96666666666667,33.40834045410156
000220.avi,2,0,0,128,0,a video of a certain number of persons fighting,,128,33.36,36.10856485366821
2_086_1.mp4,2,3,0,87,47,a video of a certain number of persons fighting,,137,50.0,60.96155548095703
3_078_1.mp4,2,0,0,44,154,a video of a certain number of persons fighting,,198,50.01663333333333,63.38031268119812
4_081_1.mp4,2,0,0,32,47,a video of a certain number of persons fighting,,79,19.966666666666665,22.170944690704346
3_095_1.mp4,2,0,0,34,69,a video of a certain number of persons fighting,,103,24.991633333333333,31.94485020637512
D077_06.avi,2,0,0,18,81,a video of a certain number of persons fighting,,99,86.04,74.45790505409241
1_069_1.mp4,2,0,0,109,0,a video of a certain number of persons fighting,,109,40.00663333333333,45.65575337409973
2_084_1.mp4,2,0,0,38,19,a video of a certain number of persons fighting,,57,20.0,23.29682731628418
1_086_1.mp4,2,0,0,36,38,a video of a certain number of persons fighting,,74,24.991633333333333,29.106193780899048
000284.avi,2,9,0,220,119,a video of a certain number of persons fighting,,348,84.4,103.81035256385805
2_079_1.mp4,2,1,0,49,4,a video of a certain number of persons fighting,,54,20.0,24.08418607711792
4_093_1.mp4,2,0,0,73,25,a video of a certain number of persons fighting,,98,24.966666666666665,27.57104444503784
D029_01.avi,2,0,0,24,99,a video of a certain number of persons fighting,,123,79.04,71.97886919975281
000256.avi,2,160,0,134,0,a video of a group of persons playing,,294,133.56,318.0578701496124
000334.avi,2,0,0,1,0,a video of a group of persons playing,,1,21.96,17.026813507080078
1_094_1.mp4,2,121,20,13,26,a video of a group of persons playing,,180,65.03163333333333,217.7887046337128
000346.avi,2,28,0,221,0,a video of a group of persons playing,,249,131.16,154.36432552337646
3_101_1.mp4,2,20,0,16,0,a video of a group of persons playing,,36,145.07826666666668,162.1673583984375
000310.avi,2,50,0,8,0,a video of a group of persons playing,,58,30.6,84.24141144752502
000336.avi,2,22,0,115,0,a video of a group of persons playing,,137,68.0,87.05972599983215
000314.avi,2,0,0,5,0,a video of a group of persons playing,,5,24.76,19.740758419036865
000222.avi,2,39,0,27,0,a video of a group of persons playing,,66,40.92,82.12453746795654
4_111_1.mp4,2,0,0,19,3,a video of a group of persons playing,,22,64.96666666666667,59.55017638206482
3_102_1.mp4,2,104,3,95,88,a video of a group of persons playing,,290,80.04663333333333,222.98064398765564
2_090_1.mp4,2,0,0,2,0,a video of a group of persons playing,,2,180.0,169.19173789024353
000258.avi,2,1,0,4,0,a video of a group of persons playing,,5,90.0,71.8868260383606
000347.avi,2,0,0,5,0,a video of a group of persons playing,,5,78.44,61.773736238479614
000342.avi,2,0,0,2,0,a video of a group of persons playing,,2,40.0,31.050418853759766
000244.avi,2,14,0,34,0,a video of a group of persons playing,,48,16.2,33.19497513771057
1_093_1.mp4,2,21,24,102,8,a video of a group of persons playing,,155,150.11663333333334,200.2860803604126
000327.avi,2,0,0,0,0,a video of a group of persons playing,,0,39.76,32.24356007575989
000265.avi,2,14,0,18,0,a video of a group of persons playing,,32,50.48,58.28304362297058
000267.avi,2,0,0,45,1,a video of a group of persons playing,,46,31.32,27.75532817840576
2_093_1.mp4,2,0,0,21,4,a video of a group of persons playing,,25,65.0,62.69821786880493
4_109_1.mp4,2,0,0,4,0,a video of a group of persons playing,,4,116.96666666666667,106.65800428390503
000297.avi,2,0,0,53,12,a video of a person running,,65,14.28,16.643262147903442
4_110_1.mp4,2,0,0,30,77,a video of a person running,,107,19.966666666666665,23.651758670806885
3_090_1.mp4,2,0,7,0,0,a video of a person running,,67,19.986633333333334,81.37890267372131
000317.avi,2,0,0,51,137,a video of a person running,,188,38.88,45.33598518371582
3_093_1.mp4,2,45,35,4,8,a video of a person running,,165,35.00163333333333,173.54839158058167
4_092_1.mp4,2,2,0,32,19,a video of a person running,,53,9.966666666666667,13.28409719467163
2_066_1.mp4,2,18,0,61,24,a video of a person running,,103,20.0,42.2217812538147
4_101_1.mp4,2,0,6,75,55,a video of a person running,,136,23.966666666666665,33.33745837211609
2_094_1.mp4,2,19,183,14,261,a video of a person running,,559,120.0,404.0769956111908
1_068_1.mp4,2,0,0,31,40,a video of a person running,,71,14.981633333333333,19.786936283111572
000261.avi,2,0,0,33,25,a video of a person running,,58,12.8,14.882236003875732
000337.avi,2,3,0,20,74,a video of a person running,,97,20.6,26.805336713790894
3_104_1.mp4,2,38,9,0,0,a video of a person running,,139,24.991633333333333,152.2520878314972
3_094_1.mp4,2,30,30,4,55,a video of a person running,,136,24.991633333333333,98.99589085578918
D068_09.avi,2,0,0,5,20,a video of a person running,,25,40.04,32.82824897766113
000227.avi,2,0,0,54,22,a video of a person running,,76,16.44,19.03801918029785
1_077_1.mp4,2,4,6,14,52,a video of a person running,,76,16.983633333333334,30.115665435791016
4_087_1.mp4,2,0,0,53,36,a video of a person running,,89,15.966666666666667,18.955116748809814
2_075_1.mp4,2,0,0,17,0,a video of a person running,,17,15.0,15.289881229400635
D001_03.avi,2,12,4,30,27,a video of a person running,,83,18.04,43.06129050254822
4_090_1.mp4,2,0,0,23,29,a video of a person running,,52,9.966666666666667,11.597242832183838
2_085_1.mp4,2,4,5,14,31,a video of a person running,,54,10.0,21.356638193130493
