Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
1_066_1.mp4,3,0,0,0,0,a video of a person riding a bicycle,,44,14.981633333333331,60.90563058853149
000253.avi,3,0,0,0,0,a video of a person riding a bicycle,,139,29.04,172.41693139076233
D235_01.avi,3,0,0,0,0,a video of a person riding a bicycle,,51,64.04,98.38555788993835
D013_02.avi,3,0,0,0,0,a video of a person riding a bicycle,,71,100.04,146.47530126571655
000324.avi,3,0,0,0,0,a video of a person riding a bicycle,,165,34.24,202.883326292038
2_096_1.mp4,3,0,0,0,0,a video of a person riding a bicycle,,59,15.0,74.1498851776123
4_077_1.mp4,3,0,0,0,0,a video of a person riding a bicycle,,33,10.966666666666669,42.49256277084351
000270.avi,3,0,0,0,0,a video of a person riding a bicycle,,123,25.8,149.3997037410736
D235_07.avi,3,0,0,0,0,a video of a person riding a bicycle,,67,98.04,139.186683177948
3_105_1.mp4,3,0,0,0,0,a video of a person riding a bicycle,,61,20.053366666666665,82.00534892082214
000318.avi,3,0,0,0,0,a video of a person riding a bicycle,,120,25.36,145.90836429595947
2_067_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,144,25.0,176.84013986587524
4_082_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,177,30.966666666666665,211.80821180343628
000211.avi,3,0,0,0,0,a video of a certain number of persons fighting,,278,57.08,340.3811514377594
3_079_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,215,45.011633333333336,272.7538888454437
2_065_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,260,45.0,322.6401484012604
1_081_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,32,12.979633333333334,45.97956609725952
3_089_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,117,29.99663333333333,155.47935104370117
D076_05.avi,3,0,0,0,0,a video of a certain number of persons fighting,,281,70.04,346.93500447273254
D043_01.avi,3,0,0,0,0,a video of a certain number of persons fighting,,353,86.04,440.9931535720825
1_088_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,263,45.011633333333336,326.34228134155273
2_068_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,170,35.0,216.0476109981537
000213.avi,3,0,0,0,0,a video of a certain number of persons fighting,,307,62.72,376.0329294204712
000266.avi,3,0,0,0,0,a video of a certain number of persons fighting,,265,54.32,322.4640111923218
1_071_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,113,19.986633333333334,142.15574169158936
D031_01.avi,3,0,0,0,0,a video of a certain number of persons fighting,,350,81.04,457.6302745342255
4_079_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,202,34.96666666666667,240.2368609905243
3_076_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,287,49.78306666666667,349.88371443748474
2_081_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,96,17.0,119.36588096618652
000278.avi,3,0,0,0,0,a video of a certain number of persons fighting,,116,24.52,138.6324987411499
1_072_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,133,24.991633333333333,162.70503115653992
2_077_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,66,12.0,79.29014706611633
4_096_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,130,22.966666666666665,155.1521978378296
000321.avi,3,0,0,0,0,a video of a certain number of persons fighting,,161,33.52,193.20647072792053
2_076_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,117,25.0,149.15235543251038
4_103_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,101,17.966666666666665,119.60026168823242
000251.avi,3,0,0,0,0,a video of a certain number of persons fighting,,298,60.8,361.0886926651001
1_083_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,75,14.981633333333331,94.41543531417848
000350.avi,3,0,0,0,0,a video of a person riding a bicycle,,139,29.16,174.9931526184082
000289.avi,3,0,0,0,0,a video of a person riding a bicycle,,241,49.96,305.2154314517975
4_076_1.mp4,3,0,0,0,0,a video of a person riding a bicycle,,77,13.966666666666669,92.59080719947816
000326.avi,3,0,0,0,0,a video of a person riding a bicycle,,157,32.68,195.9661967754364
000313.avi,3,0,0,0,0,a video of a person riding a bicycle,,206,42.44,258.8855240345001
000325.avi,3,0,0,0,0,a video of a person riding a bicycle,,140,29.36,176.74787616729736
000345.avi,3,0,0,0,0,a video of a person riding a bicycle,,141,29.44,179.06401181221008
3_106_1.mp4,3,0,0,0,0,a video of a person riding a bicycle,,30,14.981633333333331,44.7850546836853
D013_03.avi,3,0,0,0,0,a video of a person riding a bicycle,,64,66.04,117.89971780776978
000296.avi,3,0,0,0,0,a video of a person riding a bicycle,,171,38.24,217.48579454422
1_067_1.mp4,3,0,0,0,0,a video of a person riding a bicycle,,21,9.976633333333334,31.36680006980896
D047_05.avi,3,0,0,0,0,a video of a person riding a bicycle,,18,12.04,29.11825561523437
4_105_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,169,34.96666666666667,215.5507855415344
000220.avi,3,0,0,0,0,a video of a certain number of persons fighting,,160,33.36,199.00008702278137
2_086_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,294,50.0,377.66046357154846
3_078_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,292,50.01663333333333,383.3193552494049
4_081_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,113,19.966666666666665,141.27525424957275
3_095_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,143,24.991633333333333,184.68748331069943
D077_06.avi,3,0,0,0,0,a video of a certain number of persons fighting,,371,86.04,462.0990147590637
1_069_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,231,40.00663333333333,294.26324820518494
2_084_1.mp4,3,0,0,0,0,a video of a certain number of persons fighting,,114,20.0,146.4802029132843
000256.avi,3,0,0,0,0,a video of a group of persons playing,,661,133.56,821.5386519432068
000334.avi,3,0,0,0,0,a video of a group of persons playing,,103,21.96,132.52849078178406
1_094_1.mp4,3,0,0,0,0,a video of a group of persons playing,,383,65.03163333333333,465.5647828578949
000346.avi,3,0,0,0,0,a video of a group of persons playing,,649,131.16,805.743486404419
3_101_1.mp4,3,0,0,0,0,a video of a group of persons playing,,863,145.07826666666668,1051.6774837970734
000310.avi,3,0,0,0,0,a video of a group of persons playing,,147,30.6,177.19152665138245
000336.avi,3,0,0,0,0,a video of a group of persons playing,,334,68.0,406.41182565689087
000297.avi,3,0,0,0,0,a video of a person running,,65,14.28,80.55041313171387
4_110_1.mp4,3,0,0,0,0,a video of a person running,,107,19.966666666666665,129.39917159080505
3_090_1.mp4,3,0,0,0,0,a video of a person running,,69,19.986633333333334,93.7732617855072
000317.avi,3,0,0,0,0,a video of a person running,,188,38.88,233.4185411930084
3_093_1.mp4,3,0,0,0,0,a video of a person running,,175,35.00163333333333,220.42027068138125
4_092_1.mp4,3,0,0,0,0,a video of a person running,,53,9.966666666666669,64.18633484840393
2_066_1.mp4,3,0,0,0,0,a video of a person running,,103,20.0,127.62128162384032
4_089_1.mp4,3,0,0,0,0,a video of a person lying in the floor,,442,74.96666666666667,514.906840801239
2_080_1.mp4,3,0,0,0,0,a video of a person lying in the floor,,339,60.0,415.1990010738373
3_092_1.mp4,3,0,0,0,0,a video of a person lying in the floor,,255,70.03663333333334,333.5736439228058
1_091_1.mp4,3,0,0,0,0,a video of a person lying in the floor,,249,45.011633333333336,299.80234003067017
3_099_1.mp4,3,0,0,0,0,a video of a person lying in the floor,,274,55.02163333333333,340.82732939720154
1_078_1.mp4,3,0,0,0,0,a video of a person lying in the floor,,233,40.00663333333333,276.034645318985
4_094_1.mp4,3,0,0,0,0,a video of a person lying in the floor,,314,53.96666666666667,366.6329836845398
2_069_1.mp4,3,0,0,0,0,a video of a person chasing other person,,143,25.0,171.87848567962646
000214.avi,3,0,0,0,0,a video of a person chasing other person,,70,15.32,85.02769899368286
1_082_1.mp4,3,0,0,0,0,a video of a person chasing other person,,83,14.981633333333331,100.73032331466676
3_093_1.mp4,3,0,0,0,0,a video of a person chasing other person,,175,35.00163333333333,217.4443137645721
2_071_1.mp4,3,0,0,0,0,a video of a person chasing other person,,112,30.0,144.8445689678192
3_080_1.mp4,3,0,0,0,0,a video of a person chasing other person,,146,29.99663333333333,181.1649854183197
4_101_1.mp4,3,0,0,0,0,a video of a person chasing other person,,136,23.966666666666665,159.9573140144348
D036_07.avi,3,0,0,0,0,a video of a person jumping,,325,100.04,400.77496910095215
21.avi,3,0,0,0,0,a video of a person jumping,,9,3.04,10.402398824691772
1_092_1.mp4,3,0,0,0,0,a video of a person jumping,,69,14.981633333333331,86.33873200416565
2_089_1.mp4,3,0,0,0,0,a video of a person jumping,,204,35.0,248.974395275116
07.avi,3,0,0,0,0,a video of a person jumping,,115,24.2,127.97169494628906
3_100_1.mp4,3,0,0,0,0,a video of a person jumping,,107,19.986633333333334,132.1831865310669
08.avi,3,0,0,0,0,a video of a person jumping,,1,1.44,1.928181409835816
4_089_1.mp4,3,0,0,0,0,a video of a person falling,,442,74.96666666666667,504.8440012931824
2_080_1.mp4,3,0,0,0,0,a video of a person falling,,339,60.0,415.6746618747711
1_090_1.mp4,3,0,0,0,0,a video of a person falling,,54,14.981633333333331,70.85981440544128
1_078_1.mp4,3,0,0,0,0,a video of a person falling,,233,40.00663333333333,276.70178723335266
3_086_1.mp4,3,0,0,0,0,a video of a person falling,,512,90.05663333333334,627.4032461643219
2_074_1.mp4,3,0,0,0,0,a video of a person falling,,204,35.0,250.79376983642572
1_084_1.mp4,3,0,0,0,0,a video of a person falling,,172,40.00663333333333,220.6308331489563
4_106_1.mp4,3,0,0,0,0,a video of a person guiding other person,,121,23.966666666666665,147.87605381011963
D158_17.avi,3,0,0,0,0,a video of a person guiding other person,,251,54.28,287.1126501560211
3_098_1.mp4,3,0,0,0,0,a video of a person guiding other person,,260,50.01663333333333,326.0318856239319
4_097_1.mp4,3,0,0,0,0,a video of a person guiding other person,,132,23.066666666666663,154.59845113754272
1_089_1.mp4,3,0,0,0,0,a video of a person guiding other person,,122,29.99663333333333,155.6838834285736
2_087_1.mp4,3,0,0,0,0,a video of a person guiding other person,,119,25.0,150.2872989177704
4_095_1.mp4,3,0,0,0,0,a video of a person stealing other person,,77,13.966666666666669,93.22584629058838
1_082_1.mp4,3,0,0,0,0,a video of a person stealing other person,,83,14.981633333333331,102.04170155525208
4_084_1.mp4,3,0,0,0,0,a video of a person stealing other person,,55,14.966666666666669,72.47356009483337
2_071_1.mp4,3,0,0,0,0,a video of a person stealing other person,,112,30.0,147.97781658172607
3_080_1.mp4,3,0,0,0,0,a video of a person stealing other person,,146,29.99663333333333,185.03304052352905
4_108_1.mp4,3,0,0,0,0,a video of a person stealing other person,,65,11.966666666666669,74.90458846092224
3_081_1.mp4,3,0,0,0,0,a video of a person stealing other person,,140,29.69633333333333,178.1655843257904
3_088_1.mp4,3,0,0,0,0,a video of a person throwing trash in the floor,,108,19.986633333333334,135.3262529373169
20.avi,3,0,0,0,0,a video of a person throwing trash in the floor,,48,10.92,55.48725247383118
