Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,36,0,0,0,a person riding a bicycle,a person riding a bicycle,36,29.16,65.01718044281006
000289.avi,0,68,0,0,0,a person riding a bicycle,a person riding a bicycle,68,49.96,108.29696249961852
4_076_1.mp4,0,16,0,0,0,a person riding a bicycle,a person riding a bicycle,16,13.966666666666669,26.89904928207397
000326.avi,0,27,0,0,0,a person riding a bicycle,a person riding a bicycle,27,32.68,56.01384043693543
000313.avi,0,14,0,0,0,a person riding a bicycle,a person riding a bicycle,14,42.44,48.74302625656128
000325.avi,0,24,0,0,0,a person riding a bicycle,a person riding a bicycle,24,29.36,50.07888531684876
000345.avi,0,0,0,0,0,a person riding a bicycle,a person riding a bicycle,0,29.44,22.6668553352356
3_106_1.mp4,0,19,0,0,0,a person riding a bicycle,a person riding a bicycle,19,14.981633333333331,30.280346870422363
D013_03.avi,0,32,0,0,0,a person riding a bicycle,a person riding a bicycle,32,66.04,78.7511351108551
000296.avi,0,12,0,0,0,a person riding a bicycle,a person riding a bicycle,12,38.24,41.70545387268066
1_067_1.mp4,0,15,0,0,0,a person riding a bicycle,a person riding a bicycle,15,9.976633333333334,22.07668447494507
D047_05.avi,0,2,0,0,0,a person riding a bicycle,a person riding a bicycle,2,12.04,10.82262659072876
1_066_1.mp4,0,16,0,0,0,a person riding a bicycle,a person riding a bicycle,16,14.981633333333331,27.903685569763184
000253.avi,0,29,0,0,0,a person riding a bicycle,a person riding a bicycle,29,29.04,57.30068731307984
D235_01.avi,0,38,0,0,0,a person riding a bicycle,a person riding a bicycle,38,64.04,82.54036450386047
D013_02.avi,0,70,0,0,0,a person riding a bicycle,a person riding a bicycle,70,100.04,138.1464912891388
000324.avi,0,22,0,0,0,a person riding a bicycle,a person riding a bicycle,22,34.24,50.53680467605591
2_096_1.mp4,0,29,0,0,0,a person riding a bicycle,a person riding a bicycle,29,15.0,39.0300133228302
4_077_1.mp4,0,20,0,0,0,a person riding a bicycle,a person riding a bicycle,20,10.966666666666669,26.791088819503784
000270.avi,0,38,0,0,0,a person riding a bicycle,a person riding a bicycle,38,25.8,65.49215149879456
D235_07.avi,0,46,0,0,0,a person riding a bicycle,a person riding a bicycle,46,98.04,115.70737600326538
3_105_1.mp4,0,18,0,0,0,a person riding a bicycle,a person riding a bicycle,18,20.053366666666665,34.12574028968811
000318.avi,0,46,0,0,0,a person riding a bicycle,a person riding a bicycle,46,25.36,73.95665550231934
2_067_1.mp4,0,24,58,0,0,a certain number of persons fighting,a certain number of persons fighting,82,25.0,112.54691624641418
4_082_1.mp4,0,75,0,0,0,a certain number of persons fighting,a certain number of persons fighting,75,30.966666666666665,108.17828488349916
000211.avi,0,184,117,0,0,a certain number of persons fighting,a certain number of persons fighting,301,57.08,390.5733096599579
3_079_1.mp4,0,87,42,0,3,a certain number of persons fighting,a certain number of persons fighting,132,45.011633333333336,186.18922233581543
2_065_1.mp4,0,50,4,0,0,a certain number of persons fighting,a certain number of persons fighting,54,45.0,100.2511613368988
1_081_1.mp4,0,26,0,0,0,a certain number of persons fighting,a certain number of persons fighting,26,12.979633333333334,40.20530438423157
3_089_1.mp4,0,42,0,9,0,a certain number of persons fighting,a certain number of persons fighting,51,29.99663333333333,81.16289710998535
D076_05.avi,0,102,131,0,6,a certain number of persons fighting,a certain number of persons fighting,239,70.04,315.6125509738922
D043_01.avi,0,75,61,0,2,a certain number of persons fighting,a certain number of persons fighting,138,86.04,214.04900217056277
1_088_1.mp4,0,88,44,0,0,a certain number of persons fighting,a certain number of persons fighting,132,45.011633333333336,185.2854278087616
2_068_1.mp4,0,39,3,0,0,a certain number of persons fighting,a certain number of persons fighting,42,35.0,77.54903626441956
000213.avi,0,255,48,0,0,a certain number of persons fighting,a certain number of persons fighting,303,62.72,399.6548488140106
000266.avi,0,239,94,0,0,a certain number of persons fighting,a certain number of persons fighting,333,54.32,433.0650572776794
1_071_1.mp4,0,28,14,0,0,a certain number of persons fighting,a certain number of persons fighting,42,19.986633333333334,63.93292760848999
D031_01.avi,0,163,96,0,1,a certain number of persons fighting,a certain number of persons fighting,260,81.04,358.8198163509369
4_079_1.mp4,0,62,47,0,0,a certain number of persons fighting,a certain number of persons fighting,109,34.96666666666667,142.3585193157196
3_076_1.mp4,0,101,11,0,0,a certain number of persons fighting,a certain number of persons fighting,112,49.78306666666667,169.65862488746643
2_081_1.mp4,0,1,0,0,0,a certain number of persons fighting,a certain number of persons fighting,1,17.0,16.81727170944214
000278.avi,0,104,25,0,0,a certain number of persons fighting,a certain number of persons fighting,129,24.52,165.65597081184387
1_072_1.mp4,0,97,12,0,0,a certain number of persons fighting,a certain number of persons fighting,109,24.991633333333333,149.5249412059784
2_077_1.mp4,0,22,23,0,0,a certain number of persons fighting,a certain number of persons fighting,45,12.0,58.203781604766846
4_096_1.mp4,0,46,0,0,0,a certain number of persons fighting,a certain number of persons fighting,46,22.966666666666665,70.38455581665039
000321.avi,0,93,84,0,0,a certain number of persons fighting,a certain number of persons fighting,177,33.52,224.50626683235168
2_076_1.mp4,0,8,5,2,1,a certain number of persons fighting,a certain number of persons fighting,16,25.0,42.95112681388855
4_103_1.mp4,0,61,27,0,0,a certain number of persons fighting,a certain number of persons fighting,88,17.966666666666665,111.33589005470276
000251.avi,0,314,59,0,0,a certain number of persons fighting,a certain number of persons fighting,373,60.8,486.4507670402527
1_083_1.mp4,0,12,0,0,0,a certain number of persons fighting,a certain number of persons fighting,12,14.981633333333331,27.170329809188843
4_105_1.mp4,0,33,0,0,0,a certain number of persons fighting,a certain number of persons fighting,33,34.96666666666667,62.66803646087647
000220.avi,0,161,0,0,0,a certain number of persons fighting,a certain number of persons fighting,161,33.36,207.77570033073425
2_086_1.mp4,0,90,41,0,0,a certain number of persons fighting,a certain number of persons fighting,131,50.0,190.13222002983093
