Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.16,39.189767360687256
000289.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,243,49.96,49.40963292121887
4_076_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,77,13.966666666666669,16.323200702667236
000326.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,157,32.68,40.10496711730957
000313.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,206,42.44,53.05363416671753
000325.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,140,29.36,37.138721227645874
000345.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,141,29.44,37.21124339103699
3_106_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,16.793468475341797
D013_03.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,324,66.04,55.57289671897888
000296.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,185,38.24,40.10242009162903
1_067_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,53,9.976633333333334,11.385974884033203
D047_05.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,54,12.04,9.989239692687988
1_066_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,18.121850728988647
000253.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.04,37.57509398460388
D235_01.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,314,64.04,55.36780095100403
D013_02.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,494,100.04,83.41476726531982
000324.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,165,34.24,41.24314212799072
2_096_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,84,15.0,18.6773624420166
4_077_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,59,10.966666666666667,12.020857334136963
000270.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,123,25.8,32.832359313964844
D235_07.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,484,98.04,80.8560438156128
3_105_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,114,20.053366666666665,22.815074682235718
000318.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,120,25.36,32.93828296661377
2_067_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,144,25.0,37.307589292526245
4_082_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,179,30.966666666666665,37.59703779220581
000211.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,279,57.08,73.61350870132446
3_079_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,263,45.011633333333336,62.614840030670166
2_065_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,264,45.0,59.12184929847717
1_081_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,71,12.979633333333334,15.583161354064941
3_089_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,173,29.996633333333335,38.39869022369385
D076_05.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,344,70.04,81.35929703712463
D043_01.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,424,86.04,87.22589921951294
1_088_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,263,45.011633333333336,64.60663056373596
2_068_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,204,35.0,43.36507964134216
