Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,0,8,0,40,29,a person riding a bicycle,a person chasing other person: 69,77,13.966666666666667,15.235900163650513
3_106_1.mp4,0,11,0,40,32,a person riding a bicycle,"a person stealing other person: 59, a person chasing other person: 13",83,14.981633333333333,19.469990491867065
1_067_1.mp4,0,14,0,10,29,a person riding a bicycle,a normal view (persons walking or standing): 39,53,9.976633333333334,12.50534701347351
1_066_1.mp4,0,15,0,10,58,a person riding a bicycle,a normal view (persons walking or standing): 68,83,14.981633333333333,19.62749171257019
2_096_1.mp4,0,14,0,25,45,a person riding a bicycle,a normal view (persons walking or standing): 70,84,15.0,19.882960319519043
4_077_1.mp4,0,11,0,32,16,a person riding a bicycle,a person chasing other person: 48,59,10.966666666666667,11.505025625228882
3_105_1.mp4,0,25,0,28,61,a person riding a bicycle,"a normal view (persons walking or standing): 33, a person chasing other person: 56",114,20.053366666666665,26.852593421936035
2_067_1.mp4,0,0,0,29,115,a certain number of persons fighting,"a normal view (persons walking or standing): 72, a person chasing other person: 72",144,25.0,34.63974952697754
4_082_1.mp4,0,0,0,154,25,a certain number of persons fighting,"a person chasing other person: 170, a person stealing other person: 9",179,30.966666666666665,34.589131355285645
3_079_1.mp4,0,0,0,108,155,a certain number of persons fighting,"a normal view (persons walking or standing): 1, a person chasing other person: 262",263,45.011633333333336,62.81233835220337
2_065_1.mp4,0,0,0,131,133,a certain number of persons fighting,"a normal view (persons walking or standing): 222, a person chasing other person: 42",264,45.0,62.46109890937805
1_081_1.mp4,0,0,0,28,43,a certain number of persons fighting,"a normal view (persons walking or standing): 67, a person chasing other person: 4",71,12.979633333333334,16.908853769302368
3_089_1.mp4,0,0,0,116,57,a certain number of persons fighting,"a normal view (persons walking or standing): 60, a person chasing other person: 113",173,29.996633333333335,40.978026390075684
1_088_1.mp4,0,0,0,163,100,a certain number of persons fighting,"a normal view (persons walking or standing): 240, a person chasing other person: 23",263,45.011633333333336,63.93258714675903
2_068_1.mp4,0,0,0,111,93,a certain number of persons fighting,"a person chasing other person: 54, a normal view (persons walking or standing): 150",204,35.0,49.78475856781006
1_071_1.mp4,0,0,0,65,48,a certain number of persons fighting,a normal view (persons walking or standing): 113,113,19.986633333333334,27.347097396850586
