Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,0,0,0,48,29,a person riding a bicycle,"a photo of a person tripping: 68, a photo of a person riding a bicycle: 9",77,13.966666666666667,14.194806337356567
3_106_1.mp4,0,0,0,51,32,a person riding a bicycle,"a photo of a person stealing other person: 72, a photo of a person riding a bicycle: 11",83,14.981633333333333,17.79508090019226
1_067_1.mp4,0,0,0,24,29,a person riding a bicycle,"a photo of a normal view (persons walking or standing): 38, a photo of a person riding a bicycle: 15",53,9.976633333333334,11.44010853767395
1_066_1.mp4,0,0,0,25,58,a person riding a bicycle,"a photo of a normal view (persons walking or standing): 66, a photo of a person riding a bicycle: 17",83,14.981633333333333,17.92784285545349
2_096_1.mp4,0,0,0,39,45,a person riding a bicycle,"a photo of a normal view (persons walking or standing): 20, a photo of a person tripping: 46, a photo of a person riding a bicycle: 18",84,15.0,18.184162616729736
4_077_1.mp4,0,0,0,43,16,a person riding a bicycle,"a photo of a person tripping: 40, a photo of a person falling: 6, a photo of a person riding a bicycle: 13",59,10.966666666666667,10.582286596298218
3_105_1.mp4,0,0,0,53,61,a person riding a bicycle,"a photo of a normal view (persons walking or standing): 12, a photo of a person running: 6, a photo of a person falling: 4, a photo of a person tripping: 56, a photo of a person throwing trash in the floor: 3, a photo of a person riding a bicycle: 19, a photo of a person chasing other person: 14",114,20.053366666666665,24.68939757347107
2_067_1.mp4,0,0,0,29,115,a certain number of persons fighting,"a photo of a person tripping: 94, a photo of a normal view (persons walking or standing): 15, a photo of a person chasing other person: 30, a photo of a person running: 5",144,25.0,31.18878173828125
4_082_1.mp4,0,0,0,154,25,a certain number of persons fighting,"a photo of a person tripping: 96, a photo of a person chasing other person: 49, a photo of a person running: 11, a photo of a person stealing other person: 12, a photo of a normal view (persons walking or standing): 6, a photo of a person falling: 5",179,30.966666666666665,31.947381496429443
3_079_1.mp4,0,0,0,108,155,a certain number of persons fighting,"a photo of a person running: 113, a photo of a person tripping: 125, a photo of a person chasing other person: 25",263,45.011633333333336,56.709224462509155
2_065_1.mp4,0,0,0,131,133,a certain number of persons fighting,"a photo of a person tripping: 189, a photo of a normal view (persons walking or standing): 72, a photo of a person running: 3",264,45.0,56.71672296524048
1_081_1.mp4,0,0,0,28,43,a certain number of persons fighting,"a photo of a normal view (persons walking or standing): 70, a photo of a person falling: 1",71,12.979633333333334,15.415984153747559
3_089_1.mp4,0,0,0,116,57,a certain number of persons fighting,"a photo of a normal view (persons walking or standing): 115, a photo of a person chasing other person: 39, a photo of a person riding a bicycle: 3, a photo of a person running: 12, a photo of a person tripping: 4",173,29.996633333333335,37.137686252593994
1_088_1.mp4,0,0,0,163,100,a certain number of persons fighting,"a photo of a normal view (persons walking or standing): 213, a photo of a person chasing other person: 50",263,45.011633333333336,56.76582598686218
2_068_1.mp4,0,0,0,111,93,a certain number of persons fighting,a photo of a person tripping: 204,204,35.0,43.73779606819153
1_071_1.mp4,0,0,0,65,48,a certain number of persons fighting,"a photo of a person chasing other person: 33, a photo of a normal view (persons walking or standing): 80",113,19.986633333333334,24.331732988357544
4_079_1.mp4,0,0,0,123,80,a certain number of persons fighting,"a photo of a person tripping: 186, a photo of a person falling: 3, a photo of a person chasing other person: 7, a photo of a person running: 7",203,34.96666666666667,35.59841179847717
3_076_1.mp4,0,0,0,175,117,a certain number of persons fighting,"a photo of a person running: 147, a photo of a normal view (persons walking or standing): 74, a photo of a person chasing other person: 68, a photo of a person tripping: 3",292,49.78306666666667,62.81002974510193
2_081_1.mp4,0,0,0,85,11,a certain number of persons fighting,a photo of a person tripping: 96,96,17.0,20.686662197113037
1_072_1.mp4,0,0,0,123,20,a certain number of persons fighting,"a photo of a person chasing other person: 43, a photo of a person stealing other person: 7, a photo of a normal view (persons walking or standing): 88, a photo of a group of persons playing: 1, a photo of a person guiding other person: 2, a photo of a person falling: 2",143,24.991633333333333,30.900477170944214
2_077_1.mp4,0,0,0,28,38,a certain number of persons fighting,"a photo of a person tripping: 48, a photo of a person chasing other person: 18",66,12.0,14.285680055618286
4_096_1.mp4,0,0,0,80,51,a certain number of persons fighting,"a photo of a person falling: 2, a photo of a normal view (persons walking or standing): 34, a photo of a person chasing other person: 34, a photo of a person riding a bicycle: 5, a photo of a person running: 18, a photo of a person tripping: 38",131,22.966666666666665,23.273059129714966
2_076_1.mp4,0,0,0,64,80,a certain number of persons fighting,"a photo of a normal view (persons walking or standing): 5, a photo of a person tripping: 92, a photo of a person running: 47",144,25.0,31.074629545211792
4_103_1.mp4,0,0,0,69,32,a certain number of persons fighting,"a photo of a normal view (persons walking or standing): 76, a photo of a person chasing other person: 21, a photo of a person stealing other person: 4",101,17.966666666666665,18.15437650680542
1_083_1.mp4,0,0,0,42,41,a certain number of persons fighting,a photo of a normal view (persons walking or standing): 83,83,14.981633333333333,17.866023063659668
4_105_1.mp4,0,0,0,103,100,a certain number of persons fighting,"a photo of a normal view (persons walking or standing): 148, a photo of a person stealing other person: 55",203,34.96666666666667,35.2447783946991
2_086_1.mp4,0,0,0,180,114,a certain number of persons fighting,"a photo of a normal view (persons walking or standing): 33, a photo of a person chasing other person: 72, a photo of a person tripping: 179, a photo of a person running: 10",294,50.0,63.06146764755249
3_078_1.mp4,0,0,0,51,242,a certain number of persons fighting,"a photo of a normal view (persons walking or standing): 138, a photo of a person chasing other person: 45, a photo of a person running: 110",293,50.01663333333333,63.54399132728577
4_081_1.mp4,0,0,0,53,60,a certain number of persons fighting,"a photo of a person tripping: 98, a photo of a normal view (persons walking or standing): 6, a photo of a person chasing other person: 7, a photo of a person running: 2",113,19.966666666666665,19.930179357528687
3_095_1.mp4,0,0,0,69,74,a certain number of persons fighting,"a photo of a person running: 63, a photo of a person chasing other person: 53, a photo of a person riding a bicycle: 27",143,24.991633333333333,30.707263231277466
1_069_1.mp4,0,0,0,175,58,a certain number of persons fighting,"a photo of a normal view (persons walking or standing): 173, a photo of a person chasing other person: 47, a photo of a person riding a bicycle: 13",233,40.00663333333333,50.35144305229187
2_084_1.mp4,0,0,0,65,49,a certain number of persons fighting,"a photo of a person tripping: 27, a photo of a normal view (persons walking or standing): 39, a photo of a person chasing other person: 48",114,20.0,24.36147117614746
1_086_1.mp4,0,0,0,66,77,a certain number of persons fighting,"a photo of a normal view (persons walking or standing): 103, a photo of a person chasing other person: 36, a photo of a person running: 4",143,24.991633333333333,30.689297437667847
2_079_1.mp4,0,0,0,72,42,a certain number of persons fighting,"a photo of a person chasing other person: 57, a photo of a normal view (persons walking or standing): 25, a photo of a person tripping: 32",114,20.0,24.450026273727417
4_093_1.mp4,0,0,0,114,29,a certain number of persons fighting,"a photo of a person tripping: 116, a photo of a normal view (persons walking or standing): 27",143,24.966666666666665,25.171141624450684
1_094_1.mp4,0,0,0,240,143,a group of persons playing,"a photo of a group of persons playing: 300, a photo of a normal view (persons walking or standing): 83",383,65.03163333333333,82.33291673660278
3_101_1.mp4,0,0,0,590,273,a group of persons playing,"a photo of a person running: 302, a photo of a person chasing other person: 365, a photo of a normal view (persons walking or standing): 84, a photo of a group of persons playing: 112",863,145.07826666666668,186.08348727226257
4_111_1.mp4,0,0,0,253,130,a group of persons playing,a photo of a normal view (persons walking or standing): 383,383,64.96666666666667,67.92049908638
3_102_1.mp4,0,0,0,262,211,a group of persons playing,"a photo of a normal view (persons walking or standing): 40, a photo of a person running: 267, a photo of a person chasing other person: 166",473,80.04663333333333,102.06191229820251
2_090_1.mp4,0,0,0,526,548,a group of persons playing,"a photo of a person tripping: 810, a photo of a person running: 26, a photo of a person chasing other person: 202, a photo of a person stealing other person: 4, a photo of a person throwing trash in the floor: 32",1074,180.0,230.8012866973877
1_093_1.mp4,0,0,0,530,363,a group of persons playing,"a photo of a group of persons playing: 157, a photo of a normal view (persons walking or standing): 243, a photo of a person chasing other person: 467, a photo of a person falling: 4, a photo of a person running: 6, a photo of a person tripping: 4, a photo of a person throwing trash in the floor: 7, a photo of a person riding a bicycle: 5",893,150.11663333333334,191.54820942878723
2_093_1.mp4,0,0,0,260,124,a group of persons playing,"a photo of a person throwing trash in the floor: 273, a photo of a person tripping: 33, a photo of a person chasing other person: 37, a photo of a person running: 41",384,65.0,82.55217933654785
4_109_1.mp4,0,0,0,449,246,a group of persons playing,"a photo of a normal view (persons walking or standing): 681, a photo of a person chasing other person: 14",695,116.96666666666667,122.527090549469
4_110_1.mp4,0,0,0,35,78,a person running,a photo of a normal view (persons walking or standing): 113,113,19.966666666666665,19.74866008758545
3_090_1.mp4,0,0,0,29,84,a person running,"a photo of a normal view (persons walking or standing): 20, a photo of a person chasing other person: 93",113,19.986633333333334,24.475040674209595
3_093_1.mp4,0,0,0,67,136,a person running,"a photo of a person running: 185, a photo of a person chasing other person: 17, a photo of a person riding a bicycle: 1",203,35.00163333333333,43.79235601425171
4_092_1.mp4,0,0,0,34,19,a person running,"a photo of a person tripping: 39, a photo of a person chasing other person: 9, a photo of a normal view (persons walking or standing): 5",53,9.966666666666667,9.511402130126953
2_066_1.mp4,0,0,0,81,33,a person running,"a photo of a person tripping: 101, a photo of a person running: 13",114,20.0,24.538151025772095
4_101_1.mp4,0,0,0,76,61,a person running,"a photo of a normal view (persons walking or standing): 99, a photo of a person chasing other person: 21, a photo of a person stealing other person: 12, a photo of a person running: 5",137,23.966666666666665,24.74815583229065
2_094_1.mp4,0,0,0,35,679,a person running,"a photo of a person throwing trash in the floor: 566, a photo of a person tripping: 17, a photo of a person chasing other person: 53, a photo of a person running: 65, a photo of a normal view (persons walking or standing): 13",714,120.0,153.26758885383606
