Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,29.16,59.7469596862793
000289.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,49.96,41.23072719573975
4_076_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,13.966666666666669,13.720393657684326
000326.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,32.68,67.38091349601746
000313.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,42.44,190.3386514186859
000325.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,29.36,78.05084204673767
000345.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,29.44,88.32175946235657
3_106_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,14.981633333333331,16.32811713218689
D013_03.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,66.04,51.7372407913208
000296.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,38.24,38.8665509223938
1_067_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,9.976633333333334,9.441389083862305
D047_05.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,12.04,9.271998405456545
1_066_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,14.981633333333331,15.0232515335083
000253.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,29.04,103.89573979377748
D235_01.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,64.04,51.34830689430237
D013_02.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,100.04,78.7648458480835
000324.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,34.24,93.59571361541748
2_096_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,15.0,14.447211503982544
4_077_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,10.966666666666669,10.685937404632568
000270.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,25.8,77.31044745445251
D235_07.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,98.04,76.80407857894897
3_105_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,20.053366666666665,19.861789226531982
000318.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,25.36,150.31798672676086
2_067_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,25.0,56.44063949584961
4_082_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,30.966666666666665,45.42719125747681
000211.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,57.08,104.3324556350708
3_079_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,45.011633333333336,100.06252837181091
2_065_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,45.0,85.13602304458618
1_081_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,12.979633333333334,13.035049438476562
3_089_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,29.99663333333333,42.183388233184814
D076_05.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,70.04,150.97653722763062
D043_01.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,86.04,84.80820941925049
1_088_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,45.011633333333336,45.59724640846253
2_068_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,35.0,74.37148523330688
000213.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,62.72,129.6407585144043
000266.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,54.32,232.7936305999756
