Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,29.16,25.177071571350098
000289.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,49.96,40.33732438087464
4_076_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,13.966666666666669,12.89505171775818
000326.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,32.68,26.383270263671875
000313.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,42.44,34.124343156814575
000325.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,29.36,23.728923797607425
000345.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,29.44,23.94437456130981
3_106_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,14.981633333333331,14.204899072647097
D013_03.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,66.04,51.72839426994324
000296.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,38.24,30.34835767745972
1_067_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,9.976633333333334,9.406479120254517
D047_05.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,12.04,9.261745691299438
1_066_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,14.981633333333331,14.111008882522585
000253.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,29.04,24.018933534622192
D235_01.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,64.04,50.33200573921204
D013_02.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,100.04,78.7409679889679
000324.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,34.24,27.94191956520081
2_096_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,15.0,14.347913265228271
4_077_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,10.966666666666669,10.199491739273071
000270.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,25.8,20.984739065170288
D235_07.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,98.04,77.32505893707275
3_105_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,20.053366666666665,19.12262368202209
000318.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,0,25.36,20.839099407196045
2_067_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,25.0,24.075392961502075
4_082_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,30.966666666666665,29.201319694519043
000211.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,57.08,45.77614879608154
3_079_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,45.011633333333336,43.26165080070496
2_065_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,45.0,42.9523241519928
1_081_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,12.979633333333334,12.223285913467407
3_089_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,29.99663333333333,28.654970169067383
D076_05.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,70.04,55.962130308151245
D043_01.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,86.04,68.69364976882935
1_088_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,45.011633333333336,42.76484656333923
2_068_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,35.0,33.541518688201904
000213.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,62.72,50.31662702560425
000266.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,54.32,44.21501922607422
1_071_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,19.986633333333334,18.993321180343628
D031_01.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,81.04,82.20366978645325
4_079_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,34.96666666666667,33.01597452163696
3_076_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,49.78306666666667,47.961955308914185
2_081_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,17.0,16.349059104919434
000278.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,24.52,19.62457227706909
1_072_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,24.991633333333333,23.824499368667603
2_077_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,12.0,11.512930870056152
4_096_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,22.966666666666665,21.698086261749268
000321.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,33.52,27.031960010528564
2_076_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,0,25.0,23.930702924728397
