Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.16,191.8957576751709
000289.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,243,49.96,330.8703978061676
4_076_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,77,13.966666666666669,101.90427684783936
000326.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,157,32.68,222.67203283309937
000313.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,206,42.44,291.536936044693
000325.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,140,29.36,242.8853678703308
000345.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,141,29.44,199.1584300994873
3_106_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,106.6623878479004
D013_03.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,324,66.04,223.73530197143555
000296.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,185,38.24,272.4998548030853
1_067_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,53,9.976633333333334,33.54444336891174
D047_05.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,54,12.04,32.04290843009949
1_066_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,66.99312806129456
000253.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.04,191.61441469192505
D235_01.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,314,64.04,189.59428644180295
D013_02.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,494,100.04,251.61264181137085
000324.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,165,34.24,239.35027384758
2_096_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,84,15.0,108.42220544815063
4_077_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,59,10.966666666666669,74.89632773399353
000270.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,123,25.8,168.4654700756073
D235_07.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,484,98.04,248.43585228919983
3_105_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,114,20.053366666666665,129.30160999298096
000318.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,120,25.36,174.72222638130188
2_067_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,144,25.0,182.93228673934937
4_082_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,179,30.966666666666665,222.64968585968015
000211.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,279,57.08,372.7365334033966
3_079_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,263,45.011633333333336,343.49510622024536
2_065_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,264,45.0,329.88676142692566
1_081_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,71,12.979633333333334,47.51956963539124
3_089_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,173,29.99663333333333,218.4970591068268
D076_05.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,344,70.04,434.8815908432007
D043_01.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,424,86.04,491.6335809230805
1_088_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,263,45.011633333333336,324.2926902770996
2_068_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,204,35.0,249.07615089416504
000213.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,307,62.72,396.3673467636109
000266.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,265,54.32,343.61851835250854
1_071_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,113,19.986633333333334,144.54777693748474
D031_01.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,399,81.04,559.0285398960114
4_079_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,203,34.96666666666667,248.24214625358584
3_076_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,292,49.78306666666667,362.56640791893005
2_081_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,96,17.0,118.01276850700378
000278.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,116,24.52,149.5206334590912
1_072_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,143,24.991633333333333,171.45177054405212
2_077_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,66,12.0,82.32964730262756
4_096_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,131,22.966666666666665,158.5971918106079
000321.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,161,33.52,208.41393184661865
2_076_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,144,25.0,183.0712811946869
4_103_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,101,17.966666666666665,125.48006510734558
000251.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,298,60.8,417.9316244125366
1_083_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,83,14.981633333333333,100.7416136264801
4_105_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,203,34.96666666666667,253.30880880355835
000220.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,160,33.36,212.04363250732422
2_086_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,294,50.0,390.86537981033325
3_078_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,293,50.01663333333333,396.78443217277527
4_081_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,113,19.966666666666665,144.1309781074524
3_095_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,143,24.991633333333333,189.39752173423767
D077_06.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,424,86.04,518.4520578384399
1_069_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,233,40.00663333333333,310.191232919693
2_084_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,114,20.0,149.02711033821106
1_086_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,143,24.991633333333333,190.9434552192688
000284.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,416,84.4,577.5273547172546
2_079_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,114,20.0,144.60002732276917
4_093_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,143,24.966666666666665,176.2893443107605
