Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.16,25.72445106506348
000289.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,243,49.96,38.42638945579529
4_076_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,77,13.966666666666669,12.870845079421995
000326.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,157,32.68,27.88853454589844
000313.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,206,42.44,36.53156876564026
000325.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,140,29.36,24.594847202301025
000345.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,141,29.44,25.38018298149109
3_106_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,14.221355438232422
D013_03.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,324,66.04,51.06634521484375
000296.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,185,38.24,30.235450744628903
1_067_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,53,9.976633333333334,9.253389835357666
D047_05.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,54,12.04,9.093746423721312
1_066_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,13.833297491073608
000253.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.04,25.326611042022705
D235_01.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,314,64.04,49.79675340652466
D013_02.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,494,100.04,77.58509016036987
000324.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,165,34.24,28.795784950256348
2_096_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,84,15.0,14.140108585357666
4_077_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,59,10.966666666666669,10.10852336883545
000270.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,123,25.8,22.180332899093628
D235_07.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,484,98.04,76.29558682441711
3_105_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,114,20.053366666666665,18.953925371170044
000318.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,120,25.36,23.267794609069824
2_067_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,144,25.0,24.333497285842896
4_082_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,179,30.966666666666665,29.242921829223636
000211.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,279,57.08,46.22513675689697
3_079_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,263,45.011633333333336,43.87958979606629
2_065_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,264,45.0,43.20966792106629
1_081_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,71,12.979633333333334,12.075807332992554
3_089_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,173,29.99663333333333,28.753969430923465
D076_05.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,344,70.04,56.54180598258972
D043_01.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,424,86.04,68.07841157913208
1_088_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,263,45.011633333333336,42.05522894859314
2_068_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,204,35.0,34.27013659477234
000213.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,307,62.72,50.41167187690735
000266.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,265,54.32,46.27479577064514
1_071_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,113,19.986633333333334,18.79094934463501
D031_01.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,399,81.04,82.31848359107971
4_079_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,203,34.96666666666667,32.676066875457764
3_076_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,292,49.78306666666667,47.98933696746826
2_081_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,96,17.0,16.30057978630066
000278.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,116,24.52,19.523561477661133
1_072_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,143,24.991633333333333,23.563387393951416
2_077_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,66,12.0,11.739126443862917
4_096_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,131,22.966666666666665,22.06484889984131
000321.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,161,33.52,27.608410120010376
2_076_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,144,25.0,24.353627681732178
4_103_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,101,17.966666666666665,16.937825918197632
000251.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,298,60.8,51.06353044509888
