Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.16,194.18148922920227
000289.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,243,49.96,209.4756982326508
4_076_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,77,13.966666666666669,86.74424004554749
000326.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,157,32.68,198.6567747592926
000313.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,206,42.44,308.75404477119446
000325.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,140,29.36,194.75014472007751
000345.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,141,29.44,193.52514123916623
3_106_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,90.59533286094666
D013_03.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,324,66.04,153.46593570709229
000296.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,185,38.24,191.42211627960205
1_067_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,53,9.976633333333334,32.5616774559021
D047_05.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,54,12.04,23.546987056732178
1_066_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,65.17975568771362
000253.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.04,185.8230595588684
D235_01.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,314,64.04,139.13846683502197
D013_02.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,494,100.04,191.99904870986936
000324.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,165,34.24,212.91191220283508
2_096_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,84,15.0,57.07696652412415
4_077_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,59,10.966666666666669,52.25514459609985
000270.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,123,25.8,159.80385565757751
D235_07.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,484,98.04,176.72875022888184
3_105_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,114,20.053366666666665,80.46195077896118
000318.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,120,25.36,170.60736680030823
2_067_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,144,25.0,189.77789282798767
4_082_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,179,30.966666666666665,230.3718764781952
000211.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,279,57.08,371.8567855358124
3_079_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,263,45.011633333333336,347.14000272750854
2_065_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,264,45.0,276.05052065849304
1_081_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,71,12.979633333333334,47.77752614021301
3_089_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,173,29.99663333333333,187.3635232448578
D076_05.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,344,70.04,442.5666372776032
D043_01.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,424,86.04,311.397500038147
1_088_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,263,45.011633333333336,289.16560220718384
2_068_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,204,35.0,231.6080355644226
000213.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,307,62.72,385.5929646492005
000266.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,265,54.32,343.0854961872101
1_071_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,113,19.986633333333334,111.88084197044373
D031_01.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,399,81.04,428.26422929763794
