Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,145,29.16,23.14201045036316
000289.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,249,49.96,37.7371301651001
4_076_1.mp4,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,83,13.966666666666669,12.651114225387571
000326.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,163,32.68,24.99866533279419
000313.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,212,42.44,32.57390737533569
000325.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,146,29.36,22.448561668396
000345.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,147,29.44,22.63108944892884
3_106_1.mp4,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,89,14.981633333333331,14.005889415740969
D013_03.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,330,66.04,50.17837357521057
000296.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,191,38.24,29.10728931427002
1_067_1.mp4,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,59,9.976633333333334,9.258905172348022
D047_05.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,60,12.04,9.111630201339722
1_066_1.mp4,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,89,14.981633333333331,13.769294261932371
000253.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,145,29.04,22.34269762039185
D235_01.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,320,64.04,48.71021127700806
D013_02.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,500,100.04,76.08084797859192
000324.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,171,34.24,26.33244013786316
2_096_1.mp4,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,90,15.0,13.966120719909668
4_077_1.mp4,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,65,10.966666666666669,9.974043369293211
000270.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,129,25.8,19.90571141242981
D235_07.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,490,98.04,74.78478956222534
3_105_1.mp4,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,120,20.053366666666665,18.713823795318604
000318.avi,4,0,0,0,0,a person riding a bicycle,a person riding a bicycle,126,25.36,19.617955684661865
2_067_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,150,25.0,27.160176515579224
