Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
2_067_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,150,25.0,23.51224112510681
4_082_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,185,30.966666666666665,28.599677324295044
000211.avi,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,285,57.08,45.16934823989868
3_079_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,269,45.011633333333336,42.47342085838318
2_065_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,270,45.0,42.022910356521606
1_081_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,77,12.979633333333334,11.980912446975708
3_089_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,179,29.99663333333333,28.17515754699707
D076_05.avi,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,350,70.04,54.75914144515991
D043_01.avi,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,430,86.04,67.44728493690491
1_088_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,269,45.011633333333336,41.34492540359497
2_068_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,210,35.0,32.70190453529358
000213.avi,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,313,62.72,49.21462893486023
000266.avi,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,271,54.32,44.22085618972778
1_071_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,119,19.986633333333334,18.42970585823059
D031_01.avi,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,405,81.04,81.15402030944824
4_079_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,209,34.96666666666667,32.136420249938965
3_076_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,298,49.78306666666667,46.43186211585999
2_081_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,102,17.0,15.843207120895386
000278.avi,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,122,24.52,19.260346174240112
1_072_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,149,24.991633333333333,23.27297067642212
2_077_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,72,12.0,11.359867811203005
4_096_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,137,22.966666666666665,21.283519983291622
000321.avi,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,167,33.52,26.954874277114868
2_076_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,150,25.0,23.399595499038696
4_103_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,107,17.966666666666665,16.523266553878784
000251.avi,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,304,60.8,49.46254014968872
1_083_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,89,14.981633333333331,13.828108072280884
4_105_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,209,34.96666666666667,31.89567279815674
000220.avi,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,166,33.36,26.12391567230225
2_086_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,300,50.0,46.601609230041504
3_078_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,299,50.01663333333333,47.63448357582092
4_081_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,119,19.966666666666665,18.514405727386475
3_095_1.mp4,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,149,24.991633333333333,23.57700133323669
D077_06.avi,4,0,0,0,0,a certain number of persons fighting,a certain number of persons fighting,430,86.04,68.21947646141052
