Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.16,188.35236287117004
000289.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,243,49.96,329.8335945606232
4_076_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,77,13.966666666666669,100.62808108329772
000326.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,157,32.68,213.1549813747406
000313.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,206,42.44,273.91147923469543
000325.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,140,29.36,190.57350707054127
000345.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,141,29.44,187.00863075256348
3_106_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,100.71228456497192
D013_03.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,324,66.04,208.3343725204468
000296.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,185,38.24,247.7259018421173
1_067_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,53,9.976633333333334,32.04155516624451
D047_05.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,54,12.04,31.29826736450196
1_066_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,65.45910096168518
000253.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.04,185.06678867340088
D235_01.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,314,64.04,179.5781593322754
D013_02.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,494,100.04,245.9472463130951
000324.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,165,34.24,250.74218940734863
2_096_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,84,15.0,110.58283495903017
4_077_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,59,10.966666666666669,75.88579630851746
000270.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,123,25.8,167.31575918197632
D235_07.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,484,98.04,249.3223669528961
3_105_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,114,20.053366666666665,129.9302797317505
000318.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,120,25.36,161.00631880760193
2_067_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,144,25.0,182.99641680717468
4_082_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,179,30.966666666666665,223.0044772624969
000211.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,279,57.08,364.6267213821411
3_079_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,263,45.011633333333336,349.9985110759735
2_065_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,264,45.0,329.7900097370148
1_081_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,71,12.979633333333334,47.12587022781372
3_089_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,173,29.99663333333333,218.66721773147583
D076_05.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,344,70.04,432.9561421871185
D043_01.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,424,86.04,499.3730418682098
1_088_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,263,45.011633333333336,329.6935703754425
2_068_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,204,35.0,254.9050281047821
000213.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,307,62.72,400.5927951335907
000266.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,265,54.32,341.90760827064514
1_071_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,113,19.986633333333334,145.7433159351349
D031_01.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,399,81.04,474.620923280716
4_079_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,203,34.96666666666667,246.8384454250336
