Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.16,179.6471071243286
000289.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,243,49.96,179.7880342006683
4_076_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,77,13.966666666666669,82.27197098731995
000326.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,157,32.68,196.07970356941223
000313.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,206,42.44,280.36930751800537
000325.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,140,29.36,181.24928975105288
000345.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,141,29.44,186.76726365089417
3_106_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,75.62448239326477
D013_03.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,324,66.04,112.72286677360536
000296.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,185,38.24,170.49568557739258
1_067_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,53,9.976633333333334,25.61304211616516
D047_05.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,54,12.04,20.279165267944336
1_066_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,54.66098546981812
000253.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.04,173.11727166175842
D235_01.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,314,64.04,106.04545092582704
D013_02.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,494,100.04,131.0849964618683
000324.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,165,34.24,201.6209795475006
2_096_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,84,15.0,46.31035280227661
4_077_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,59,10.966666666666669,35.8333752155304
000270.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,123,25.8,152.65984225273132
D235_07.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,484,98.04,122.15420150756836
3_105_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,114,20.053366666666665,69.26649451255798
000318.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,120,25.36,145.49463391304016
2_067_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,144,25.0,149.70675230026245
