Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.16,189.3705701828003
000289.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,243,49.96,329.738826751709
4_076_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,77,13.966666666666669,101.13601064682008
000326.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,157,32.68,216.75046277046204
000313.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,206,42.44,284.2576913833618
000325.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,140,29.36,193.43478393554688
000345.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,141,29.44,191.83790826797485
3_106_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,103.96293711662292
D013_03.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,324,66.04,216.1634731292725
000296.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,185,38.24,250.4283547401428
1_067_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,53,9.976633333333334,33.97721767425537
D047_05.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,54,12.04,32.00230026245117
1_066_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333331,65.74208879470825
000253.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.04,183.51706433296204
D235_01.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,314,64.04,179.25114107131958
D013_02.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,494,100.04,249.3791017532349
000324.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,165,34.24,235.57803058624268
2_096_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,84,15.0,108.21980285644533
4_077_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,59,10.966666666666669,74.03048491477966
000270.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,123,25.8,163.42822551727295
D235_07.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,484,98.04,248.77521085739136
3_105_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,114,20.053366666666665,129.42393016815186
000318.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,120,25.36,161.11136627197266
2_067_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,144,25.0,184.8124418258667
4_082_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,179,30.966666666666665,219.83512949943542
000211.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,279,57.08,368.88509488105774
3_079_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,263,45.011633333333336,349.9418559074402
2_065_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,264,45.0,327.75503373146057
1_081_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,71,12.979633333333334,46.98507881164551
3_089_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,173,29.996633333333335,213.9424011707306
D076_05.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,344,70.04,420.5887529850006
D043_01.avi,0,0,0,0,0,a video of multiple people engaged in a physical fight,,424,86.04,479.3311576843262
1_088_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,263,45.011633333333336,323.15285992622375
