Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
000350.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.16,190.76791310310364
000289.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,243,49.96,332.33834505081177
4_076_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,77,13.966666666666667,99.95545434951782
000326.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,157,32.68,213.56599712371826
000313.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,206,42.44,282.98962926864624
000325.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,140,29.36,190.84772968292236
000345.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,141,29.44,192.6577751636505
3_106_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333333,103.20861172676086
D013_03.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,324,66.04,212.51998686790466
000296.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,185,38.24,251.0921595096588
1_067_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,53,9.976633333333334,33.34409141540527
D047_05.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,54,12.04,32.12819194793701
1_066_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,83,14.981633333333333,66.2871458530426
000253.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,139,29.04,189.60801768302917
D235_01.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,314,64.04,181.12363600730896
D013_02.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,494,100.04,251.3379843235016
000324.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,165,34.24,220.53957557678223
2_096_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,84,15.0,106.82533740997314
4_077_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,59,10.966666666666667,74.71207618713379
000270.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,123,25.8,163.0783610343933
D235_07.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,484,98.04,248.2333574295044
3_105_1.mp4,0,0,0,0,0,a video of a person riding a bicycle on the street,,114,20.053366666666665,129.82360649108887
000318.avi,0,0,0,0,0,a video of a person riding a bicycle on the street,,120,25.36,161.40527272224426
2_067_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,144,25.0,185.22946619987488
4_082_1.mp4,0,0,0,0,0,a video of multiple people engaged in a physical fight,,179,30.966666666666665,224.684246301651
