Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
2_069_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,150,25.0,25.429768323898315
000214.avi,4,0,0,0,0,a person chasing other person,a person chasing other person,76,15.32,11.794652938842773
1_082_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,89,14.981633333333333,13.850180387496948
3_093_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,209,35.00163333333333,32.97069454193115
2_071_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,180,30.0,28.19801163673401
3_080_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,179,29.996633333333335,28.096279859542847
4_101_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,143,23.966666666666665,21.974087238311768
4_108_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,71,11.966666666666667,10.927090883255005
4_107_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,149,24.966666666666665,22.964981079101562
000312.avi,4,0,0,0,0,a person chasing other person,a person chasing other person,105,21.08,16.407424926757812
4_114_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,71,11.933333333333334,11.004854679107666
000235.avi,4,0,0,0,0,a person chasing other person,a person chasing other person,40,8.04,6.229694843292236
3_096_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,89,14.981633333333333,14.266058921813965
1_073_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,89,14.981633333333333,13.890517950057983
000307.avi,4,0,0,0,0,a person chasing other person,a person chasing other person,119,23.84,18.45025062561035
3_091_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,119,19.986633333333334,19.156732320785522
000264.avi,4,0,0,0,0,a person chasing other person,a person chasing other person,113,22.64,17.70380663871765
4_083_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,119,19.966666666666665,18.25227642059326
2_078_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,90,15.0,14.274813652038574
2_077_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,72,12.0,11.48796534538269
1_087_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,101,16.983633333333334,15.873687267303467
000351.avi,4,0,0,0,0,a person chasing other person,a person chasing other person,82,16.56,12.801868677139282
000311.avi,4,0,0,0,0,a person chasing other person,a person chasing other person,58,11.72,9.155688524246216
D076_03.avi,4,0,0,0,0,a person chasing other person,a person chasing other person,350,70.04,54.13472104072571
000305.avi,4,0,0,0,0,a person chasing other person,a person chasing other person,85,17.04,13.515162706375122
000316.avi,4,0,0,0,0,a person chasing other person,a person chasing other person,81,16.32,12.602585077285767
2_088_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,132,22.0,20.692638397216797
000212.avi,4,0,0,0,0,a person chasing other person,a person chasing other person,90,18.0,14.100669860839844
000231.avi,4,0,0,0,0,a person chasing other person,a person chasing other person,108,21.64,16.778748035430908
000356.avi,4,0,0,0,0,a person chasing other person,a person chasing other person,130,26.12,20.418341636657715
000257.avi,4,0,0,0,0,a person chasing other person,a person chasing other person,181,36.32,28.537318468093872
1_085_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,659,110.07663333333333,102.73667073249817
2_083_1.mp4,4,0,0,0,0,a person chasing other person,a person chasing other person,570,95.0,90.43650221824646
000281.avi,4,0,0,0,0,a person chasing other person,a person chasing other person,107,21.52,16.93655228614807
4_095_1.mp4,4,0,0,0,0,a person stealing other person,a person stealing other person,83,13.966666666666667,13.016855239868164
1_082_1.mp4,4,0,0,0,0,a person stealing other person,a person stealing other person,89,14.981633333333333,14.01973295211792
4_084_1.mp4,4,0,0,0,0,a person stealing other person,a person stealing other person,89,14.966666666666667,13.65492558479309
2_071_1.mp4,4,0,0,0,0,a person stealing other person,a person stealing other person,180,30.0,28.504124641418457
3_080_1.mp4,4,0,0,0,0,a person stealing other person,a person stealing other person,179,29.996633333333335,28.259985208511353
4_108_1.mp4,4,0,0,0,0,a person stealing other person,a person stealing other person,71,11.966666666666667,11.074169397354126
3_081_1.mp4,4,0,0,0,0,a person stealing other person,a person stealing other person,178,29.696333333333335,27.775187253952026
D077_01.avi,4,0,0,0,0,a person stealing other person,a person stealing other person,290,58.04,45.30070614814758
3_091_1.mp4,4,0,0,0,0,a person stealing other person,a person stealing other person,119,19.986633333333334,19.232792139053345
4_083_1.mp4,4,0,0,0,0,a person stealing other person,a person stealing other person,119,19.966666666666665,18.314884185791016
2_078_1.mp4,4,0,0,0,0,a person stealing other person,a person stealing other person,90,15.0,14.277688980102539
D068_10.avi,4,0,0,0,0,a person stealing other person,a person stealing other person,165,33.04,25.739134311676025
D158_01.avi,4,0,0,0,0,a person stealing other person,a person stealing other person,305,61.04,48.493170976638794
2_070_1.mp4,4,0,0,0,0,a person stealing other person,a person stealing other person,120,20.0,19.051567316055298
D077_03.avi,4,0,0,0,0,a person stealing other person,a person stealing other person,340,68.04,52.72820329666138
