Name,Mode,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number,Duration,Process time
4_076_1.mp4,1,26,7,22,22,a person riding a bicycle,a person riding a bicycle,77,13.966666666666669,65.33001661300659
3_106_1.mp4,1,47,3,4,29,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,72.9292426109314
1_067_1.mp4,1,21,3,3,26,a person riding a bicycle,a person riding a bicycle,53,9.976633333333334,46.56624698638916
1_066_1.mp4,1,24,7,1,51,a person riding a bicycle,a person riding a bicycle,83,14.981633333333331,73.02421164512634
2_096_1.mp4,1,37,1,2,44,a person riding a bicycle,a person riding a bicycle,84,15.0,74.01572751998901
4_077_1.mp4,1,23,3,20,13,a person riding a bicycle,a person riding a bicycle,59,10.966666666666669,49.12067341804504
3_105_1.mp4,1,49,8,4,53,a person riding a bicycle,a person riding a bicycle,114,20.053366666666665,100.51419019699097
2_067_1.mp4,1,5,1,24,114,a certain number of persons fighting,a certain number of persons fighting,144,25.0,129.0637240409851
4_082_1.mp4,1,60,14,94,11,a certain number of persons fighting,a certain number of persons fighting,179,30.966666666666665,153.79744577407837
3_079_1.mp4,1,1,0,107,155,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,242.68289947509768
2_065_1.mp4,1,21,35,110,98,a certain number of persons fighting,a certain number of persons fighting,264,45.0,237.50887203216556
1_081_1.mp4,1,5,35,23,8,a certain number of persons fighting,a certain number of persons fighting,71,12.979633333333334,65.2758617401123
3_089_1.mp4,1,0,0,116,57,a certain number of persons fighting,a certain number of persons fighting,173,29.99663333333333,159.43074083328247
1_088_1.mp4,1,2,4,161,96,a certain number of persons fighting,a certain number of persons fighting,263,45.011633333333336,243.6889536380768
2_068_1.mp4,1,16,34,95,59,a certain number of persons fighting,a certain number of persons fighting,204,35.0,189.6770534515381
1_071_1.mp4,1,7,0,58,48,a certain number of persons fighting,a certain number of persons fighting,113,19.986633333333334,104.51468300819396
