Name,Event,Mode,TP,FP,FN,TN
000350,a video of a person riding a bicycle,2,3,0,0,0
000289,a video of a person riding a bicycle,2,26,0,0,0
4_076_1,a video of a person riding a bicycle,2,6,0,0,0
000326,a video of a person riding a bicycle,2,0,0,0,0
000313,a video of a person riding a bicycle,2,0,0,0,0
000325,a video of a person riding a bicycle,2,0,0,0,0
000345,a video of a person riding a bicycle,2,0,0,0,0
3_106_1,a video of a person riding a bicycle,2,23,0,0,0
D013_03,a video of a person riding a bicycle,2,0,0,0,0
000296,a video of a person riding a bicycle,2,13,0,0,0
1_067_1,a video of a person riding a bicycle,2,14,0,0,0
D047_05,a video of a person riding a bicycle,2,6,0,0,0
1_066_1,a video of a person riding a bicycle,2,14,0,0,0
000253,a video of a person riding a bicycle,2,0,0,0,0
D235_01,a video of a person riding a bicycle,2,18,0,0,0
D013_02,a video of a person riding a bicycle,2,0,0,0,1
000324,a video of a person riding a bicycle,2,4,0,0,0
2_096_1,a video of a person riding a bicycle,2,21,0,0,0
4_077_1,a video of a person riding a bicycle,2,14,0,0,0
000270,a video of a person riding a bicycle,2,0,0,0,0
D235_07,a video of a person riding a bicycle,2,9,0,0,0
3_105_1,a video of a person riding a bicycle,2,13,0,0,0
000318,a video of a person riding a bicycle,2,0,0,0,0
2_067_1,a video of a certain number of persons fighting,2,0,0,0,58
4_082_1,a video of a certain number of persons fighting,2,0,0,0,0
000211,a video of a certain number of persons fighting,2,0,0,0,93
3_079_1,a video of a certain number of persons fighting,2,0,0,0,51
2_065_1,a video of a certain number of persons fighting,2,0,0,0,10
1_081_1,a video of a certain number of persons fighting,2,0,0,0,0
3_089_1,a video of a certain number of persons fighting,2,0,0,0,1
D076_05,a video of a certain number of persons fighting,2,0,0,0,110
D043_01,a video of a certain number of persons fighting,2,0,0,0,57
1_088_1,a video of a certain number of persons fighting,2,0,0,0,47
2_068_1,a video of a certain number of persons fighting,2,0,0,0,9
000213,a video of a certain number of persons fighting,2,12,0,0,41
000266,a video of a certain number of persons fighting,2,36,0,0,74
1_071_1,a video of a certain number of persons fighting,2,0,0,0,14
D031_01,a video of a certain number of persons fighting,2,0,0,0,84
4_079_1,a video of a certain number of persons fighting,2,0,0,0,51
3_076_1,a video of a certain number of persons fighting,2,0,0,0,16
2_081_1,a video of a certain number of persons fighting,2,0,0,0,2
000278,a video of a certain number of persons fighting,2,0,0,0,23
1_072_1,a video of a certain number of persons fighting,2,0,0,0,12
2_077_1,a video of a certain number of persons fighting,2,0,0,0,23
4_096_1,a video of a certain number of persons fighting,2,0,0,0,6
000321,a video of a certain number of persons fighting,2,0,0,0,73
2_076_1,a video of a certain number of persons fighting,2,0,0,0,7
4_103_1,a video of a certain number of persons fighting,2,0,0,0,27
000251,a video of a certain number of persons fighting,2,0,0,0,46
1_083_1,a video of a certain number of persons fighting,2,0,0,0,0
4_105_1,a video of a certain number of persons fighting,2,0,0,0,0
000220,a video of a certain number of persons fighting,2,0,0,0,0
2_086_1,a video of a certain number of persons fighting,2,3,0,0,47
3_078_1,a video of a certain number of persons fighting,2,0,0,0,154
4_081_1,a video of a certain number of persons fighting,2,0,0,0,47
3_095_1,a video of a certain number of persons fighting,2,0,0,0,69
D077_06,a video of a certain number of persons fighting,2,0,0,0,81
1_069_1,a video of a certain number of persons fighting,2,0,0,0,0
2_084_1,a video of a certain number of persons fighting,2,0,0,0,19
1_086_1,a video of a certain number of persons fighting,2,0,0,0,38
000284,a video of a certain number of persons fighting,2,9,0,0,119
2_079_1,a video of a certain number of persons fighting,2,1,0,0,4
4_093_1,a video of a certain number of persons fighting,2,0,0,0,25
D029_01,a video of a certain number of persons fighting,2,0,0,0,99
000256,a video of a group of persons playing,2,160,0,0,0
000334,a video of a group of persons playing,2,0,0,0,0
1_094_1,a video of a group of persons playing,2,121,20,0,26
000346,a video of a group of persons playing,2,28,0,0,0
3_101_1,a video of a group of persons playing,2,20,0,0,0
000310,a video of a group of persons playing,2,50,0,0,0
000336,a video of a group of persons playing,2,22,0,0,0
000314,a video of a group of persons playing,2,0,0,0,0
000222,a video of a group of persons playing,2,39,0,0,0
4_111_1,a video of a group of persons playing,2,0,0,0,3
3_102_1,a video of a group of persons playing,2,104,3,0,88
2_090_1,a video of a group of persons playing,2,0,0,0,0
000258,a video of a group of persons playing,2,1,0,0,0
000347,a video of a group of persons playing,2,0,0,0,0
000342,a video of a group of persons playing,2,0,0,0,0
000244,a video of a group of persons playing,2,14,0,0,0
1_093_1,a video of a group of persons playing,2,21,24,0,8
000327,a video of a group of persons playing,2,0,0,0,0
000265,a video of a group of persons playing,2,14,0,0,0
000267,a video of a group of persons playing,2,0,0,0,1
2_093_1,a video of a group of persons playing,2,0,0,0,4
4_109_1,a video of a group of persons playing,2,0,0,0,0
000297,a video of a person running,2,0,0,0,12
4_110_1,a video of a person running,2,0,0,0,77
3_090_1,a video of a person running,2,0,7,0,0
000317,a video of a person running,2,0,0,0,137
3_093_1,a video of a person running,2,45,35,0,8
4_092_1,a video of a person running,2,2,0,0,19
2_066_1,a video of a person running,2,18,0,0,24
4_101_1,a video of a person running,2,0,6,0,55
2_094_1,a video of a person running,2,19,183,0,261
1_068_1,a video of a person running,2,0,0,0,40
000261,a video of a person running,2,0,0,0,25
000337,a video of a person running,2,3,0,0,74
3_104_1,a video of a person running,2,38,9,0,0
3_094_1,a video of a person running,2,30,30,0,55
D068_09,a video of a person running,2,0,0,0,20
000227,a video of a person running,2,0,0,0,22
1_077_1,a video of a person running,2,4,6,0,52
4_087_1,a video of a person running,2,0,0,0,36
2_075_1,a video of a person running,2,0,0,0,0
D001_03,a video of a person running,2,12,4,0,27
4_090_1,a video of a person running,2,0,0,0,29
2_085_1,a video of a person running,2,4,5,0,31
3_085_1,a video of a person running,2,6,18,0,55
4_088_1,a video of a person running,2,10,16,0,31
1_096_1,a video of a person running,2,5,5,0,8
4_080_1,a video of a person running,2,18,2,0,49
D014_02,a video of a person running,2,0,0,0,0
1_070_1,a video of a person running,2,20,0,0,21
4_078_1,a video of a person running,2,10,0,0,25
000304,a video of a person running,2,4,0,0,89
000288,a video of a person running,2,0,4,0,130
4_104_1,a video of a person running,2,0,0,0,13
000228,a video of a person running,2,0,0,0,49
D158_02,a video of a person running,2,0,0,0,60
2_073_1,a video of a person running,2,7,54,0,127
000234,a video of a person running,2,0,0,0,65
4_112_1,a video of a person running,2,0,0,0,38
