Name,Event,Mode,TP,FP,FN,TN
000350,a video of a person riding a bicycle on the street,1,0,0,0,20
000289,a video of a person riding a bicycle on the street,1,19,0,1,127
4_076_1,a video of a person riding a bicycle on the street,1,8,0,0,29
000326,a video of a person riding a bicycle on the street,1,0,0,0,61
000313,a video of a person riding a bicycle on the street,1,0,0,0,40
000325,a video of a person riding a bicycle on the street,1,0,0,0,60
000345,a video of a person riding a bicycle on the street,1,0,0,0,27
3_106_1,a video of a person riding a bicycle on the street,1,24,0,0,3
D013_03,a video of a person riding a bicycle on the street,1,10,0,0,0
000296,a video of a person riding a bicycle on the street,1,8,0,7,0
1_067_1,a video of a person riding a bicycle on the street,1,14,0,0,0
D047_05,a video of a person riding a bicycle on the street,1,6,0,0,0
1_066_1,a video of a person riding a bicycle on the street,1,14,0,0,19
000253,a video of a person riding a bicycle on the street,1,0,0,0,27
D235_01,a video of a person riding a bicycle on the street,1,34,0,0,4
D013_02,a video of a person riding a bicycle on the street,1,16,0,0,1
000324,a video of a person riding a bicycle on the street,1,3,0,0,67
2_096_1,a video of a person riding a bicycle on the street,1,24,0,0,21
4_077_1,a video of a person riding a bicycle on the street,1,18,0,0,5
000270,a video of a person riding a bicycle on the street,1,0,0,2,41
D235_07,a video of a person riding a bicycle on the street,1,39,0,0,0
3_105_1,a video of a person riding a bicycle on the street,1,24,0,3,16
000318,a video of a person riding a bicycle on the street,1,0,0,0,6
2_067_1,a video of multiple people engaged in a physical fight,1,0,0,7,111
4_082_1,a video of multiple people engaged in a physical fight,1,2,0,67,25
000211,a video of multiple people engaged in a physical fight,1,0,0,37,94
3_079_1,a video of multiple people engaged in a physical fight,1,0,0,40,60
2_065_1,a video of multiple people engaged in a physical fight,1,0,0,52,129
1_081_1,a video of multiple people engaged in a physical fight,1,0,0,0,4
3_089_1,a video of multiple people engaged in a physical fight,1,0,0,34,3
D076_05,a video of multiple people engaged in a physical fight,1,0,0,0,187
D043_01,a video of multiple people engaged in a physical fight,1,0,0,19,259
1_088_1,a video of multiple people engaged in a physical fight,1,0,0,6,88
2_068_1,a video of multiple people engaged in a physical fight,1,0,0,27,69
000213,a video of multiple people engaged in a physical fight,1,130,0,28,58
000266,a video of multiple people engaged in a physical fight,1,94,0,23,34
1_071_1,a video of multiple people engaged in a physical fight,1,0,0,0,48
D031_01,a video of multiple people engaged in a physical fight,1,0,0,16,219
4_079_1,a video of multiple people engaged in a physical fight,1,0,0,40,79
3_076_1,a video of multiple people engaged in a physical fight,1,6,0,105,24
2_081_1,a video of multiple people engaged in a physical fight,1,0,0,4,11
000278,a video of multiple people engaged in a physical fight,1,8,0,11,19
1_072_1,a video of multiple people engaged in a physical fight,1,17,0,24,18
2_077_1,a video of multiple people engaged in a physical fight,1,0,0,20,38
4_096_1,a video of multiple people engaged in a physical fight,1,0,0,10,51
000321,a video of multiple people engaged in a physical fight,1,35,0,11,62
2_076_1,a video of multiple people engaged in a physical fight,1,0,0,7,57
4_103_1,a video of multiple people engaged in a physical fight,1,0,0,0,32
000251,a video of multiple people engaged in a physical fight,1,38,0,21,40
1_083_1,a video of multiple people engaged in a physical fight,1,0,0,0,33
4_105_1,a video of multiple people engaged in a physical fight,1,0,0,0,73
000220,a video of multiple people engaged in a physical fight,1,11,0,45,14
2_086_1,a video of multiple people engaged in a physical fight,1,11,0,89,69
3_078_1,a video of multiple people engaged in a physical fight,1,0,0,41,125
4_081_1,a video of multiple people engaged in a physical fight,1,0,0,3,55
3_095_1,a video of multiple people engaged in a physical fight,1,0,0,19,24
D077_06,a video of multiple people engaged in a physical fight,1,0,0,0,285
1_069_1,a video of multiple people engaged in a physical fight,1,0,0,6,58
2_084_1,a video of multiple people engaged in a physical fight,1,0,0,17,32
1_086_1,a video of multiple people engaged in a physical fight,1,0,0,7,77
000284,a video of multiple people engaged in a physical fight,1,156,0,9,145
2_079_1,a video of multiple people engaged in a physical fight,1,0,0,42,40
4_093_1,a video of multiple people engaged in a physical fight,1,0,0,0,29
D029_01,a video of multiple people engaged in a physical fight,1,0,0,5,341
000256,a video of a group of people playing a sport together,1,22,0,90,1
000334,a video of a group of people playing a sport together,1,0,0,13,0
1_094_1,a video of a group of people playing a sport together,1,79,16,83,117
000346,a video of a group of people playing a sport together,1,0,0,204,19
3_101_1,a video of a group of people playing a sport together,1,5,0,391,55
000310,a video of a group of people playing a sport together,1,26,0,10,3
000336,a video of a group of people playing a sport together,1,5,0,77,49
000314,a video of a group of people playing a sport together,1,0,0,3,0
000222,a video of a group of people playing a sport together,1,6,0,13,6
4_111_1,a video of a group of people playing a sport together,1,0,0,0,130
3_102_1,a video of a group of people playing a sport together,1,17,0,193,51
2_090_1,a video of a group of people playing a sport together,1,0,0,69,507
000258,a video of a group of people playing a sport together,1,0,0,10,1
000347,a video of a group of people playing a sport together,1,0,0,41,0
000342,a video of a group of people playing a sport together,1,0,0,22,54
000244,a video of a group of people playing a sport together,1,0,0,31,0
1_093_1,a video of a group of people playing a sport together,1,17,19,138,343
000327,a video of a group of people playing a sport together,1,0,0,1,0
000265,a video of a group of people playing a sport together,1,8,0,13,23
000267,a video of a group of people playing a sport together,1,0,0,30,10
2_093_1,a video of a group of people playing a sport together,1,0,0,125,124
4_109_1,a video of a group of people playing a sport together,1,0,0,0,245
000297,a video of a person running,1,0,0,0,6
4_110_1,a video of a person running,1,0,0,0,77
3_090_1,a video of a person running,1,0,0,0,13
000317,a video of a person running,1,0,0,2,124
3_093_1,a video of a person running,1,29,12,14,34
4_092_1,a video of a person running,1,2,0,0,19
2_066_1,a video of a person running,1,17,0,26,24
4_101_1,a video of a person running,1,0,1,0,55
2_094_1,a video of a person running,1,15,47,0,355
