Threshold,Answer,Event Not in Selected,Event in Selected,Prediction Normal Correct,Prediction Event Correct,AP,Precision,Recall,F1
-1,False,81.3449,18.6551,37.7512,62.2488,0.2512,0.548,0.1556,0.2085
0,False,81.3449,18.6551,37.7512,62.2488,0.2512,0.548,0.1556,0.2085
1,False,75.389,24.611,59.0,41.0,0.2519,0.5864,0.1424,0.194
51,False,71.7921,28.2079,65.8121,34.1879,0.2508,0.5862,0.1358,0.1897
61,False,63.7765,36.2235,78.1018,21.8982,0.2202,0.5865,0.1124,0.1684
71,False,59.3806,40.6194,84.8434,15.1566,0.1901,0.5869,0.0856,0.1364
76,False,55.7533,44.2467,90.3988,9.6012,0.1265,0.6025,0.0514,0.0854
-1,True,68.0474,31.9526,72.6389,27.3611,0.2537,0.5946,0.1294,0.1872
0,True,68.0474,31.9526,72.6389,27.3611,0.2537,0.5946,0.1294,0.1872
1,True,68.0474,31.9526,72.6389,27.3611,0.2537,0.5946,0.1294,0.1872
51,True,67.7634,32.2366,72.9857,27.0143,0.2536,0.5926,0.1276,0.1847
61,True,63.2767,36.7233,78.8122,21.1878,0.2228,0.5887,0.1122,0.1678
71,True,58.9792,41.0208,85.3424,14.6576,0.1943,0.5887,0.0854,0.1359
76,True,55.3557,44.6443,90.8065,9.1935,0.1266,0.6073,0.0512,0.0848
