Name,Event
211.0,Fighting
212.0,Chasing
213.0,Fighting
214.0,Chasing
220.0,Fighting
222.0,Playing
224.0,Running
227.0,Running
228.0,Running
231.0,Chasing
234.0,Running
235.0,Chasing
244.0,Playing
250.0,Running
251.0,Fighting
253.0,Riding
256.0,Playing
257.0,Chasing
258.0,Playing
259.0,Running
260.0,Running
261.0,Running
262.0,Running
264.0,Chasing
265.0,Playing
266.0,Fighting
267.0,Playing
270.0,Riding
278.0,Fighting
281.0,Chasing
282.0,Running
284.0,Fighting
288.0,Running
289.0,Riding
296.0,Riding
297.0,Running
304.0,Running
305.0,Chasing
307.0,Chasing
310.0,Playing
311.0,Chasing
312.0,Chasing
313.0,Riding
314.0,Playing
316.0,Chasing
317.0,Running
318.0,Riding
321.0,Fighting
324.0,Riding
325.0,Riding
326.0,Riding
327.0,Playing
334.0,Playing
336.0,Playing
337.0,Running
342.0,Playing
345.0,Riding
346.0,Playing
347.0,Playing
350.0,Riding
351.0,Chasing
356.0,Chasing
